Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2023-10-01;9.4;12.5;17;22.6;0;6.7
Alfeld;2023-10-01;9.6;10.8;15.4;22;0;2.283
Andernach;2023-10-01;4.4;8.2;14.7;24;0;7.567
Angermünde;2023-10-01;10.6;11.6;15.5;20.2;0;3.183
Arkona;2023-10-01;13.6;13.8;15.2;17.4;0.4;1.9
Artern;2023-10-01;7.8;10.1;16;22.5;0;NULL
Augsburg;2023-10-01;3.9;6.3;13.5;23.2;0;10.633
Bamberg;2023-10-01;4.8;6;12.7;23.3;0;9.033
Barth;2023-10-01;12;12.8;15.1;17.9;0.4;0.4
Baruth;2023-10-01;9.1;9.3;15.4;21.1;0;NULL
Belm;2023-10-01;11.7;13.1;16.9;21.9;0;2.767
Berge;2023-10-01;11.1;11.8;15.6;19.7;0;2.1
Berlin-Dahlem (FU);2023-10-01;11.1;11.5;15.5;19.8;0;3
Berlin-Tempelhof;2023-10-01;12.6;13.1;16.1;20.4;1.2;NULL
Bertsdorf-Hörnitz;2023-10-01;4.5;5.6;13.6;20.8;0;3.1
Berus;2023-10-01;6.7;9.2;16.1;22.9;0;10.467
Boizenburg;2023-10-01;11.5;12.8;15.1;17.7;1.7;0.1
Boltenhagen;2023-10-01;12;12.5;14.9;19.1;1.4;0.617
Braunlage;2023-10-01;6.8;8.9;13.2;18;0;NULL
Braunschweig;2023-10-01;10.5;12.3;16.3;20.8;0;1.617
Bremen;2023-10-01;9.1;10.7;15.7;19.7;0.2;0
Bremerhaven;2023-10-01;13.4;13.8;16.1;18.7;0.2;0.117
Bremervörde;2023-10-01;12.4;12.9;15.5;17.9;1.1;0.067
Carlsfeld;2023-10-01;1.4;4.7;11;17.4;0;9.283
Chemnitz;2023-10-01;8;9.5;15;21.3;0;7
Chieming;2023-10-01;6.9;8.8;14.9;21.4;0;10.417
Cottbus;2023-10-01;8.8;9.8;16;20.5;0;0.567
Cuxhaven;2023-10-01;13.3;14.5;15.9;17.7;3.8;0
Deuselbach;2023-10-01;5.8;9.4;15.5;22.2;0;10.567
Diepholz;2023-10-01;8.3;10.8;15.8;21.3;0;0.917
Doberlug-Kirchhain;2023-10-01;9.3;9.9;15.7;21.3;0;1.85
Dresden-Klotzsche;2023-10-01;7.8;8.9;15.4;20.9;0;2.583
Düsseldorf;2023-10-01;9.4;11.4;17;24;0;9.667
Dörnick;2023-10-01;11.9;13;15;17.1;2;0.05
Dörpen;2023-10-01;10.9;13.5;16.6;21.2;0.4;0.4
Eisenach;2023-10-01;5.9;8.4;15.1;21;0;8.533
Elpersbüttel;2023-10-01;12.5;13.4;15.4;17.6;9.2;0
Emden;2023-10-01;13.5;14.1;16.9;20.2;0.3;0.167
Erfurt-Weimar;2023-10-01;6.7;7.9;15.1;21.5;0;NULL
Essen-Bredeney;2023-10-01;10.1;11.5;17.2;22.9;0;10.167
Fehmarn;2023-10-01;14.4;14.8;15.8;17;3.4;0.867
Feldberg/Mecklenburg;2023-10-01;10.2;10.9;14.5;20;0.2;1.617
Feldberg/Schwarzwald;2023-10-01;1.7;9.5;15.9;20.7;0;11
Feuchtwangen-Heilbronn;2023-10-01;1.7;4.8;13;22.4;0;11.033
Fichtelberg;2023-10-01;5.7;6.3;10.3;16.2;0;7.033
Fichtelberg/Oberfranken-Hüttstadl;2023-10-01;4;6.4;11.8;19.2;0;NULL
Frankfurt/Main;2023-10-01;4.5;6.3;14.1;23.3;0;10.467
Freiburg;2023-10-01;4.6;7.6;15.9;24.6;0;10.5
Freudenstadt;2023-10-01;5.2;7.5;14.4;21.5;0;10.55
Friesoythe-Altenoythe;2023-10-01;11.7;12.7;16.2;20.6;0;0.067
Fürstenzell;2023-10-01;5.7;7.8;13.7;20;0.1;8.617
Gardelegen;2023-10-01;11.4;12.3;15.9;19.2;0;0.233
Garmisch-Partenkirchen;2023-10-01;6;7.2;13.6;22.3;0;10.367
Geisenheim;2023-10-01;6.5;8.6;15.5;24.7;0;10.6
Gelbelsee;2023-10-01;7.6;10.7;15.8;21.5;0;10.817
Genthin;2023-10-01;9.2;9.7;15.8;19.9;0;1.033
Gera-Leumnitz;2023-10-01;8.6;9.5;15.3;22.5;0;7
Gießen/Wettenberg;2023-10-01;3.5;5.8;13.4;22.2;0;8.317
Goldberg;2023-10-01;10.8;11.9;14.7;19.1;0.4;0.95
Gottfrieding;2023-10-01;4.1;5.8;13;22.7;0.1;8.317
Greifswald;2023-10-01;11.8;12.6;15.4;18.8;0.2;1.5
Greifswalder Oie;2023-10-01;14.7;14.8;16;17.8;0;1.733
Groß Lüsewitz;2023-10-01;10.6;11.5;14.7;18.4;1.1;NULL
Großer Arber;2023-10-01;NULL;5.9;9.5;13.9;0;8.467
Grünow;2023-10-01;11.3;12;15.6;20;0;NULL
Gülzow-Prüzen;2023-10-01;10.8;12.2;14.9;19.3;0.5;NULL
Günzburg;2023-10-01;3;6.1;13.3;23.2;0;NULL
Görlitz;2023-10-01;6.3;8.9;15.3;20.4;0;2.25
Göttingen;2023-10-01;10.1;11;16.2;22.3;0;4.933
Hahn;2023-10-01;5.2;9.9;16;21.8;0;10.933
Hamburg-Fuhlsbüttel;2023-10-01;11.4;13.1;15.4;17.9;1.5;0.15
Hannover;2023-10-01;11.1;13.5;16.6;20.8;0;0.983
Harburg;2023-10-01;6.1;7.9;15.2;21.8;0;10.45
Harzgerode;2023-10-01;7.7;8.5;14;19.8;0;3.25
Hasenkrug-Hardebek;2023-10-01;11.6;12.6;14.7;16.9;12.5;NULL
Heckelberg;2023-10-01;11.4;12.4;15.4;20.3;0.2;NULL
Helgoland;2023-10-01;NULL;13.7;16.8;18.2;5.1;0
Hersfeld, Bad;2023-10-01;4.5;6;13.6;22.5;0;10.033
Hof;2023-10-01;2.6;6.7;14;20.2;0;9.65
Hohenpeißenberg;2023-10-01;8.3;11.4;15.7;21.4;0;10.4
Hoherodskopf/Vogelsberg;2023-10-01;6.9;9.8;13.2;16.6;0;10.917
Holzdorf-Bernsdorf;2023-10-01;NULL;NULL;15.4;NULL;0;2.1
Hoyerswerda;2023-10-01;4.6;7.4;15.3;20.9;0;2.733
Itzehoe;2023-10-01;11.8;13;15;16.7;10.5;NULL
Kahler Asten;2023-10-01;7.3;8.5;12.9;18;0;9.75
Kaisersbach-Cronhütte;2023-10-01;3.2;4.8;12.6;22.8;0;10.233
Kall-Sistig;2023-10-01;8.2;10.3;16.1;21.6;0;NULL
Kempten;2023-10-01;6.4;8;14.4;22.7;0;10.483
Kiel-Holtenau;2023-10-01;12.7;13.4;15.1;16.9;2.3;NULL
Kissingen, Bad;2023-10-01;4.2;6;12.9;21.6;0;8.733
Kleiner Feldberg/Taunus;2023-10-01;6.1;9.3;13.4;17.9;0;10
Klippeneck;2023-10-01;5.1;8.4;14.6;22.4;0;10.55
Konstanz;2023-10-01;8.2;9.3;14.9;22.7;0.1;8.1
Krölpa-Rockendorf;2023-10-01;7.3;8.1;15.8;22.8;0;NULL
Kyritz;2023-10-01;10;10.7;14.4;20.1;4.5;1.317
Köln/Bonn;2023-10-01;6.8;8.2;16.5;23.6;0;10.517
Königswinter-Heiderhof;2023-10-01;8.2;10.5;17.4;24;0;NULL
Lahr;2023-10-01;5.7;7.7;15.6;24.5;0;10.433
Langenlipsdorf;2023-10-01;9.4;10.5;15.6;20;0;NULL
Lauchstädt, Bad;2023-10-01;9.1;12.4;16.3;22.2;0;NULL
Lautertal-Oberlauter;2023-10-01;4.3;5.7;13;21.7;0;10.667
Leck;2023-10-01;11.3;12.4;15.2;17.1;10.2;0
Leinefelde;2023-10-01;7.8;11.3;15.9;21.2;0;6.383
Leipzig-Holzhausen;2023-10-01;9.1;10.9;15.8;23;0;NULL
Leipzig/Halle;2023-10-01;9.1;11.1;16.2;22.1;0;2.467
Leuchtturm Alte Weser;2023-10-01;NULL;14.1;16.5;18.7;NULL;0
Leutkirch-Herlazhofen;2023-10-01;3.1;6.2;13.5;22.9;0;10.817
Lichtenhain-Mittelndorf;2023-10-01;5.1;7.4;14.4;20.9;0;2.233
Lichtentanne;2023-10-01;6;7.2;15.7;22.2;0;NULL
Lindenberg;2023-10-01;10.1;11.2;15.2;20.1;0.2;2.883
Lingen-Baccum;2023-10-01;13.3;13.9;17.3;22.4;0;NULL
Lippspringe, Bad;2023-10-01;9.7;12.1;16.3;22.2;0;4.983
List auf Sylt;2023-10-01;13.2;14;16;17.3;7.2;0
Lübeck-Blankensee;2023-10-01;11.5;12.7;15;18.4;6.1;0.083
Lüchow;2023-10-01;10.7;12.1;15.5;17.7;0;0.283
Lüdenscheid;2023-10-01;7.4;9.4;15.7;20.7;0;9.933
Lügde-Paenbruch;2023-10-01;11.1;11.6;15.9;21.5;0;6.583
Magdeburg;2023-10-01;11.6;13.3;16.6;21.3;0;1.083
Mannheim;2023-10-01;5.4;7.9;15.5;24.1;0;10.883
Manschnow;2023-10-01;9.2;10.9;16.1;21.3;0;5.233
Marienberg;2023-10-01;4.5;6;13.2;18.8;0;NULL
Marienberg, Bad;2023-10-01;5.4;9.1;14.3;19.9;0;10.167
Marnitz;2023-10-01;12.1;12.8;14.9;19.1;4.4;NULL
Meiningen;2023-10-01;4.1;5.7;12.8;20.2;0;9.833
Memmingen;2023-10-01;5;6.8;13.8;23;0;10.6
Meßstetten-Appental;2023-10-01;1.3;4.1;12.7;22.4;0;10.55
Michelstadt-Vielbrunn;2023-10-01;4.8;9;15.7;22;0;9.917
Mühlacker;2023-10-01;4.3;5.5;13.7;24.7;0;NULL
Mühldorf;2023-10-01;4.7;6.6;13.6;22.3;0;8.367
Müncheberg;2023-10-01;9.1;10.2;15.1;20.4;0.1;4.3
München-Flughafen;2023-10-01;4.3;5.5;13.4;22.8;0;10.633
München-Stadt;2023-10-01;8.7;9.3;15.8;23.5;0;10.85
Münsingen-Apfelstetten;2023-10-01;2.3;7.2;14.3;23.3;0;NULL
Neu-Ulrichstein;2023-10-01;7.8;8.9;14.4;19.9;0;10.533
Neuhaus am Rennweg;2023-10-01;5.2;8.1;12.6;17.5;0;NULL
Neuruppin-Alt Ruppin;2023-10-01;10.2;10.7;14.6;20.4;1.7;NULL
Norderney;2023-10-01;14;14.2;16.6;18.6;0.1;0
Nossen;2023-10-01;9.5;10.6;15.9;20.9;0;4.4
Nürburg-Barweiler;2023-10-01;6.5;7.9;15.3;22;0;10.883
Nürnberg;2023-10-01;5.2;6.1;14;23.3;0;10.767
Oberstdorf;2023-10-01;3.5;6.2;12.9;22.9;0;9.7
Oschatz;2023-10-01;11;11.5;16.2;21.5;0;1.467
Osterfeld;2023-10-01;8.5;10.4;16.2;22.9;0;NULL
Pelzerhaken;2023-10-01;13.5;14.2;15.6;17.8;1.6;NULL
Pforzheim-Ispringen;2023-10-01;5.4;8.4;15.5;23.7;0;NULL
Plauen;2023-10-01;5;6.5;13.8;21.5;0;NULL
Potsdam;2023-10-01;11.5;12.4;16;20.7;0;2.333
Putbus;2023-10-01;11.8;12.5;14.8;17.8;0.3;1.25
Quedlinburg;2023-10-01;10.6;12.2;17.5;22.5;0;NULL
