Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2023-01-01;9.8;10.3;12.7;16.1;9.3;0.2
Alfeld;2023-01-01;9.4;10.6;14.3;17.1;1.1;0
Andernach;2023-01-01;2.9;9.3;12.5;14.8;0.1;0
Angermünde;2023-01-01;7.7;9;13.7;16.5;0;0
Arkona;2023-01-01;5.5;7.5;10.7;13.7;2.3;2.5
Artern;2023-01-01;8.5;10.5;13.3;15;0;NULL
Augsburg;2023-01-01;-0.1;3.2;9.2;17.7;0;7.5
Bamberg;2023-01-01;0.7;3.6;10.8;15.2;0;3.3
Barth;2023-01-01;5.6;8.1;12.3;15.2;2;2.9
Baruth;2023-01-01;5.7;10.1;14.4;16.8;0;NULL
Belm;2023-01-01;9.4;10.1;12.8;16.6;4.1;0
Berge;2023-01-01;6.3;8.6;13.5;16;0;0
Berlin-Dahlem (FU);2023-01-01;5.7;9.6;14.1;16;0;0
Berlin-Tempelhof;2023-01-01;7.2;10.5;14.5;16.2;0;NULL
Bertsdorf-Hörnitz;2023-01-01;6.7;10;12.6;14;0;2.8
Berus;2023-01-01;8.7;10.5;11.9;13.3;0;0.6
Boizenburg;2023-01-01;4.9;9.2;13.1;16;1.7;1.7
Boltenhagen;2023-01-01;7.8;9.1;12.4;15.3;1.5;3
Braunlage;2023-01-01;6.4;8.1;10;11.8;1.8;NULL
Braunschweig;2023-01-01;6;8.6;12.8;15.9;0.3;0
Bremen;2023-01-01;8.9;10;13.1;16.1;2.1;1.8
Bremerhaven;2023-01-01;5.7;6.8;10.5;13.6;1.7;2.1
Bremervörde;2023-01-01;8.8;10.2;12.8;15.3;1.3;2.8
Carlsfeld;2023-01-01;3.6;6.4;8.7;10.2;0;3.5
Chemnitz;2023-01-01;9.8;11.6;13.6;15.4;0;1.8
Chieming;2023-01-01;1.4;4;9.1;16.2;0;7.3
Cottbus;2023-01-01;7.1;11.7;15.4;17.8;0;0
Cuxhaven;2023-01-01;8.8;9.9;11.9;14.4;1.5;3
Deuselbach;2023-01-01;9.1;10.9;11.7;12.9;0;0.1
Diepholz;2023-01-01;7.6;9.5;12.8;16.3;3.8;0
Doberlug-Kirchhain;2023-01-01;9.6;11.6;14.6;16.8;0;0.1
Dresden-Klotzsche;2023-01-01;10.4;12.8;15.1;16.8;0;1.2
Düsseldorf;2023-01-01;10.2;11;13.7;17.3;5.7;0
Dörnick;2023-01-01;7.7;8.9;12.3;15;1.5;1.7
Dörpen;2023-01-01;8.8;10;12.5;14.9;3.7;1.8
Eisenach;2023-01-01;7.2;11.4;13.5;15.4;0.1;1.4
