Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2024-12-01;-3.7;-1.2;4;7.6;0.3;6.583
Alfeld;2024-12-01;-4.1;-1.6;1.7;5.1;0;NULL
Andernach;2024-12-01;-8.2;-4.6;-0.7;2.6;0;NULL
Angermünde;2024-12-01;-4;-2.3;0;3.1;0;NULL
Arkona;2024-12-01;-0.9;0.3;2.4;4.6;0;6.717
Artern;2024-12-01;-8.1;-5.7;-4;-1.1;0;NULL
Augsburg;2024-12-01;-5.5;-4;-1.7;-0.3;0;0
Bamberg;2024-12-01;-8.7;-6.7;-2.2;1.4;0.1;3.767
Barth;2024-12-01;-5;-1.6;0.5;3.3;0;NULL
Baruth;2024-12-01;-6.7;-4.4;-0.5;5.7;0;NULL
Belm;2024-12-01;-3.8;-0.6;3.1;6.8;0.1;6.683
Berge;2024-12-01;-5.6;-2.9;0.6;4.5;0;7.65
Berlin-Dahlem (FU);2024-12-01;-6;-3;0.3;5.8;0;7.7
Berlin-Tempelhof;2024-12-01;-5.5;-1.9;0.9;5.3;0;NULL
Bertsdorf-Hörnitz;2024-12-01;-4.3;-1.8;0.9;4.4;0;NULL
Berus;2024-12-01;-2.4;-2.8;-0.6;1.6;0.6;0
Boizenburg;2024-12-01;-5.8;-2.9;-0.4;3.7;0;6.467
Boltenhagen;2024-12-01;-3.3;-2.1;0.8;4.6;0;6.65
Braunlage;2024-12-01;-6.5;-0.5;2.8;7.7;0;NULL
Braunschweig;2024-12-01;-6;-4;0.7;6;0;6.867
Bremen;2024-12-01;-4.4;-2.9;1.6;5.5;0;6.917
Bremerhaven;2024-12-01;-0.1;1.1;3.6;6.5;0.1;6.7
Bremervörde;2024-12-01;-3.1;-1;2.7;6.4;0.3;5.917
Carlsfeld;2024-12-01;-3.8;-3.3;-0.5;4.2;0;7.583
Chemnitz;2024-12-01;-4.1;-1.4;2.6;9;0;7.417
Chieming;2024-12-01;-7.6;-6.2;-3.2;-1.1;0;2.95
Cottbus;2024-12-01;-6.4;-3.5;1;7;0;6.683
Cuxhaven;2024-12-01;0.5;1.7;4.2;6.6;0;NULL
Deuselbach;2024-12-01;-6.8;-2.7;1;7.3;0;7.15
Diepholz;2024-12-01;-6.7;-3.6;1.1;6.5;0.2;6.65
Doberlug-Kirchhain;2024-12-01;-5.5;-2.5;0.1;5.5;0;NULL
Dresden-Klotzsche;2024-12-01;-2.8;-1.4;0.5;4.8;0;7.717
Düsseldorf;2024-12-01;0.2;1.8;4.2;7.8;0;7.05
Dörnick;2024-12-01;-2.1;0.1;2.4;5.7;0.2;4.533
Dörpen;2024-12-01;-0.9;1;4.6;6.9;0.2;NULL
Eisenach;2024-12-01;-8.9;-4.8;-0.3;5.9;0;NULL
Elpersbüttel;2024-12-01;0;1.5;3.4;5.8;0.1;NULL
Emden;2024-12-01;1.5;2.2;5;6.4;0.5;6.5
Erfurt-Weimar;2024-12-01;-8.1;-3.4;-0.4;4.5;0;NULL
Essen-Bredeney;2024-12-01;0.7;2.6;4.9;8.4;0;7.533
Fehmarn;2024-12-01;-1.4;0.3;2.6;5.4;0.1;NULL
Feldberg/Mecklenburg;2024-12-01;-5.5;-2.7;0.2;3.7;0;NULL
Feldberg/Schwarzwald;2024-12-01;-7;5;7.2;8.8;0.4;7.467
Feuchtwangen-Heilbronn;2024-12-01;-8.6;-4.3;-2.4;-1.3;0;NULL
Fichtelberg;2024-12-01;-2.3;1.2;4.2;10.5;0;8.383
Fichtelberg/Oberfranken-Hüttstadl;2024-12-01;-9.1;-6.6;-2.6;3.6;0;NULL
Frankfurt/Main;2024-12-01;-6;-4.1;-1.4;0;0.3;0
Freiburg;2024-12-01;-3.5;-3.3;-1.3;2.4;0.7;0.033
Freudenstadt;2024-12-01;-7;-4.2;3.2;8.3;0;7.1
Friesoythe-Altenoythe;2024-12-01;-0.6;0.9;3.8;7;0.1;6.533
Fürstenzell;2024-12-01;-6.3;-3.1;-1.9;-0.7;0;0
Gardelegen;2024-12-01;-7.5;-5.2;-1;4.9;0;NULL
Garmisch-Partenkirchen;2024-12-01;-9.3;-6.4;-3.4;4.9;0;4.55
Geisenheim;2024-12-01;-5.9;-3;-0.9;0.7;0;0
Gelbelsee;2024-12-01;-4.8;-3.2;-2.3;-0.4;0;NULL
Genthin;2024-12-01;-9;-6.4;-0.5;6.5;0;6.267
Gera-Leumnitz;2024-12-01;-3.7;-1.4;1.2;5.8;0;6.95
Gießen/Wettenberg;2024-12-01;-7.1;-5.4;-2.4;-0.4;0;0.233
Goldberg;2024-12-01;-5.1;-1.9;0.5;3.6;0;NULL
Gottfrieding;2024-12-01;-6.6;-4.3;-1.5;-0.3;0;0
Greifswald;2024-12-01;-4.2;-1.3;0.9;3.5;0;NULL
Greifswalder Oie;2024-12-01;0.7;1.7;2.8;3.7;0;NULL
Groß Lüsewitz;2024-12-01;-6.4;-2.4;0.1;3.9;0;NULL
Großer Arber;2024-12-01;NULL;0;4.1;7.6;0;8.45
Grünow;2024-12-01;-3.3;-2.2;0;2.7;0;NULL
Gülzow-Prüzen;2024-12-01;-3.5;-1.4;0.8;4.6;0;NULL
Günzburg;2024-12-01;-1.5;-1.8;-0.7;0.3;0.2;NULL
Görlitz;2024-12-01;-2.3;-0.3;2.4;7.5;0;7.817
Göttingen;2024-12-01;-6.9;-4.9;0.1;5.1;0;7.083
Hahn;2024-12-01;-3.5;-3.7;-1.5;0.1;0;0
Hamburg-Fuhlsbüttel;2024-12-01;-3.6;-1.5;1.3;4.9;0;6.35
Hannover;2024-12-01;-5.6;-0.3;3;7.2;0;6.217
Harburg;2024-12-01;-5;-4.2;-2.2;-1.3;0;NULL
Harzgerode;2024-12-01;-4.8;-3.8;1;6;0;NULL
Hasenkrug-Hardebek;2024-12-01;-4.1;-1.2;2.1;6.3;1;NULL
Heckelberg;2024-12-01;-6.6;-2.8;0.6;5.6;0;NULL
Helgoland;2024-12-01;5.5;6.7;7.3;8.4;1.8;4.533
Hersfeld, Bad;2024-12-01;-8.3;-7.6;-2.4;3.6;0;6.517
Hof;2024-12-01;-6;-3.8;-2.1;1;0;6.8
Hohenpeißenberg;2024-12-01;-5.8;-0.7;3.8;7.8;0;8.35
Hoherodskopf/Vogelsberg;2024-12-01;-3.6;-3.1;-0.8;1.4;0;7.617
Hoyerswerda;2024-12-01;-7.3;-3.3;0.7;6.4;0;NULL
Itzehoe;2024-12-01;-2.6;0.2;2.5;6.1;0.6;NULL
Kahler Asten;2024-12-01;-1.5;-0.1;1.8;4;0.1;7.067
Kaisersbach-Cronhütte;2024-12-01;-7.7;-4.8;-2.1;3.9;0.7;NULL
Kall-Sistig;2024-12-01;-4.7;-2.1;4.4;10.6;0;NULL
Kaufbeuren-Oberbeuren Bayern;2024-12-01;-7.4;-5.2;0.3;6.1;0;NULL
Kempten;2024-12-01;-7.8;-7.2;-2.5;5.8;0;7.433
Kiel-Holtenau;2024-12-01;-2.3;0.8;3.2;6.7;0.2;NULL
Kissingen, Bad;2024-12-01;-7.2;-5;-2.3;-0.2;0.2;2.733
Kleiner Feldberg/Taunus;2024-12-01;-2.2;-0.7;2;5.7;0;6.2
Klippeneck;2024-12-01;-5.6;-2.8;3.9;9.8;0.1;6.933
Konstanz;2024-12-01;-3.2;-2.4;0;2.9;0;1.817
Krölpa-Rockendorf;2024-12-01;-6.6;-4;0.6;7.5;0;NULL
Kyritz;2024-12-01;-6.6;-4.1;-0.9;2.9;0;7.433
Köln/Bonn;2024-12-01;-0.1;1.4;2.7;4.9;0;6.933
Königswinter-Heiderhof;2024-12-01;-3.2;0.4;1.7;6.2;0;NULL
Lahr;2024-12-01;-2.4;-0.9;0.5;3.7;0;NULL
Langenlipsdorf;2024-12-01;-6;-2.4;0.1;5.4;0;NULL
Lauchstädt, Bad;2024-12-01;-8.7;-5.4;0.1;6.2;0;NULL
Lautertal-Oberlauter;2024-12-01;-5;-4;-1;2.5;0;7.017
Leck;2024-12-01;1.5;2.9;4.4;6.6;2.2;2.567
Leinefelde;2024-12-01;-4.8;-0.8;1.7;5.5;0;7.067
Leipzig-Holzhausen;2024-12-01;-5.9;-2.3;1.8;7;0;NULL
Leipzig/Halle;2024-12-01;-4.2;-1.9;1.4;6.8;0;7.917
Leutkirch-Herlazhofen;2024-12-01;-7.4;-5.1;-2.2;2.8;0.1;NULL
Lichtenhain-Mittelndorf;2024-12-01;-2;-1.8;-1.1;0.3;0;NULL
Lichtentanne;2024-12-01;-7;-4.2;0.7;6.7;0;NULL
Lindenberg;2024-12-01;-4.5;-2.1;0.3;4.4;0;7.617
Lingen-Baccum;2024-12-01;-1.3;0.4;4;6.8;0.2;NULL
Lippspringe, Bad;2024-12-01;-5.3;-0.8;2.8;7.3;0.7;6.317
List auf Sylt;2024-12-01;3.4;4.5;5.5;6.9;2.4;1.683
Lübeck-Blankensee;2024-12-01;-5.1;-1.8;0.9;4.7;0;6.55
Lüchow;2024-12-01;-7.2;-4.5;-0.9;3.7;0;NULL
Lüdenscheid;2024-12-01;-2.9;2;4.1;8.4;0.1;7.117
Lügde-Paenbruch;2024-12-01;-1.9;-0.6;1.4;4.6;0;6.25
Magdeburg;2024-12-01;-7;-3.9;0.4;5.5;0;6.4
Mannheim;2024-12-01;-3.4;-1.3;-0.8;-0.2;0;0
Manschnow;2024-12-01;-5.2;-2.2;0.4;4;0;NULL
Marienberg;2024-12-01;-5.6;-2.4;1.9;7.3;0;NULL
Marienberg, Bad;2024-12-01;-3.5;-2.8;-1.5;0.6;0;3.75
Marnitz;2024-12-01;-4.5;-1.5;0.6;3.2;0;NULL
Meiningen;2024-12-01;-7;-3.9;-2;1.8;0.1;5.867
Memmingen;2024-12-01;-7;-3.2;-1.6;3.2;0.1;NULL
Meßstetten-Appental;2024-12-01;-11.3;-9.9;-3.3;3.6;0;NULL
Michelstadt-Vielbrunn;2024-12-01;-6.2;-3.5;-2.1;-1.2;0.1;0
Mühlacker;2024-12-01;-7;-5.9;-2.3;2.4;0;NULL
Mühldorf;2024-12-01;-6.7;-3.9;-1.9;-1;0;0
Müncheberg;2024-12-01;-6.5;-2.6;-0.1;4.4;0;NULL
München-Flughafen;2024-12-01;-2.5;-3.4;-2.2;-0.5;0;0
München-Stadt;2024-12-01;-4.3;-3.3;-1.5;-0.1;0;0.183
Münsingen-Apfelstetten;2024-12-01;-5.7;-4.5;-3.3;-1.6;0.4;NULL
Neu-Ulrichstein;2024-12-01;-7;-3.9;-1.4;0.5;0;NULL
Neuhaus am Rennweg;2024-12-01;-5;-4.5;-1.2;3.3;0;NULL
Neuhütten/Spessart;2024-12-01;-8.1;-5;-2.4;-1.2;0.2;NULL
Neuruppin-Alt Ruppin;2024-12-01;-7.6;-4.4;-1;4.2;0;NULL
Norderney;2024-12-01;3.8;3.9;5.2;6;1.2;5.217
Nossen;2024-12-01;-4.9;-0.3;3.3;8.6;0;NULL
Nürburg-Barweiler;2024-12-01;-4.1;-1.5;1.4;4.6;0;6.967
Nürnberg;2024-12-01;-7.5;-4.5;-1.7;0;0.1;0
Oberstdorf;2024-12-01;-10.3;-8.1;-3.9;2.7;0;5.75
Osterfeld;2024-12-01;-3.9;-1;2.4;7.9;0;NULL
Pelzerhaken;2024-12-01;0.1;1.5;3.2;5.3;0;NULL
