Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2024-07-01;13.3;13.8;15.4;17.7;2.5;1.983
Alfeld;2024-07-01;12.2;12.7;15.3;18.6;2.5;2.35
Andernach;2024-07-01;12.8;14.8;17.4;20.3;0;4.867
Angermünde;2024-07-01;12;12.6;16.9;20.4;3.6;0.883
Arkona;2024-07-01;13.8;14.6;16.4;18.4;0.1;4.683
Artern;2024-07-01;12.8;13.3;16.6;20.2;2.6;NULL
Augsburg;2024-07-01;10.1;11.8;16.6;22.6;0.7;3.967
Bamberg;2024-07-01;13.2;13.3;16.6;20.8;7;2.7
Barth;2024-07-01;12.8;14.6;16.6;19;4.4;NULL
Baruth;2024-07-01;11.4;12.2;17;21;13.7;NULL
Belm;2024-07-01;12.8;13.3;15;18.6;2.3;3.45
Berge;2024-07-01;11.8;12.9;16.6;19.1;2.6;1.75
Berlin-Dahlem (FU);2024-07-01;11.8;12.9;16.9;19.2;6.6;1.017
Berlin-Tempelhof;2024-07-01;12;13.4;17.5;20.4;3.3;NULL
Bertsdorf-Hörnitz;2024-07-01;13;13.5;17.5;22.9;0.9;NULL
Berus;2024-07-01;12.2;12.9;15.7;19.8;0.7;5.383
Boizenburg;2024-07-01;10.9;12.5;14.6;18.5;11.3;2.667
Boltenhagen;2024-07-01;11;12.1;15.4;18.3;1.5;4.317
Braunlage;2024-07-01;9.4;9.8;12.3;14.9;5.4;NULL
Braunschweig;2024-07-01;12.7;13.3;15.4;18.6;6.7;2.317
Bremen;2024-07-01;12.5;13;14.9;18.4;11.9;1.5
Bremerhaven;2024-07-01;13.6;13.9;16.1;17.7;4.7;4.667
Bremervörde;2024-07-01;11.6;12.8;15.2;19.3;4.3;3.333
Carlsfeld;2024-07-01;7.4;8.2;11.9;15.9;4.2;1.817
Chieming;2024-07-01;12.6;14.4;16.9;20.2;7.4;1.7
Cottbus;2024-07-01;12.7;13.5;17.8;24;13.6;4.5
Cuxhaven;2024-07-01;12.2;14.3;16.2;18.7;2.2;4.033
Deuselbach;2024-07-01;8.5;11;14.6;17.5;0;3.033
Diepholz;2024-07-01;13.2;13;15;18.1;11.5;1.933
Doberlug-Kirchhain;2024-07-01;11.7;12.7;16.9;21.9;11.6;3.867
Dresden-Klotzsche;2024-07-01;11.6;12.3;16.8;22.3;3.4;3
Düsseldorf;2024-07-01;13;13.8;16.7;19.8;1.2;4.267
Dörnick;2024-07-01;10;11.4;14.3;17.6;2.3;2.317
Dörpen;2024-07-01;12.5;12.9;15;18.5;13.5;2.833
Eisenach;2024-07-01;11.1;12.3;15.4;18.3;1.9;NULL
Elpersbüttel;2024-07-01;10.1;12.9;15.4;18.7;2.7;5.2
Emden;2024-07-01;13.1;13.5;15.7;19.3;2.7;5.567
Erfurt-Weimar;2024-07-01;12;12.3;15.2;18.6;5.3;NULL
Essen-Bredeney;2024-07-01;12.9;13;15.4;18.3;1.7;1.983
Fehmarn;2024-07-01;14;15.4;16.2;18.1;0.3;4.817
Feldberg/Mecklenburg;2024-07-01;11.4;12.1;15.8;19.4;9.6;1.1
Feldberg/Schwarzwald;2024-07-01;4.9;5.8;8.6;12.2;5.8;2.467
Feuchtwangen-Heilbronn;2024-07-01;8.2;10.1;15.3;20.3;0.1;NULL
