Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2025-01-01;3.9;4.5;6.6;7.9;9.3;0
Alfeld;2025-01-01;1.2;1.9;5.3;7.4;7.6;NULL
Andernach;2025-01-01;0.5;1.6;4.8;7.9;9.1;NULL
Angermünde;2025-01-01;2.6;2.8;5.8;8.2;1.3;NULL
Arkona;2025-01-01;4.3;4.4;6.2;7.8;3.8;0
Artern;2025-01-01;-0.2;0.5;4.8;7.8;0.3;NULL
Augsburg;2025-01-01;-8.8;-6.5;2.3;10.4;0;7.4
Bamberg;2025-01-01;-3.7;-2;1;5.4;0;2.7
Barth;2025-01-01;4.5;5.4;7;8.6;5.8;NULL
Baruth;2025-01-01;0.2;1;5.2;8.7;0;NULL
Belm;2025-01-01;3.8;4.6;6.5;8.1;6;0
Berge;2025-01-01;1.1;2.1;5.5;7.7;2;0
Berlin-Dahlem (FU);2025-01-01;0.7;1.7;5.3;8.3;1.3;0.1
Berlin-Tempelhof;2025-01-01;1.2;2;5.5;8.5;0.8;NULL
Bertsdorf-Hörnitz;2025-01-01;-5.2;-3.3;1.8;7.5;0;NULL
Berus;2025-01-01;-2.9;-2;1.3;5.1;2.9;6.1
Boizenburg;2025-01-01;4;4.8;6.8;8.5;7.2;0
Boltenhagen;2025-01-01;4.8;5.3;6.9;8.2;8.4;0
Braunlage;2025-01-01;-1.6;-1.8;0.8;2.9;7.6;NULL
Braunschweig;2025-01-01;1.1;2;4.8;7.2;4.8;0
Bremen;2025-01-01;4.6;5.2;7.1;8.7;4.7;0
Bremerhaven;2025-01-01;4.9;5.5;7.2;8.3;10.2;0
Bremervörde;2025-01-01;4.7;5.3;7.2;8.6;9.4;0
Carlsfeld;2025-01-01;-2.5;-3.8;-0.5;2.9;0.1;1
Chemnitz;2025-01-01;-1;-0.3;4.8;8.5;0.3;0
Chieming;2025-01-01;-5.8;-3.5;2.8;9.8;0;7.5
Cottbus;2025-01-01;-0.4;1.2;6.2;9.7;2.5;0.1
Cuxhaven;2025-01-01;3.8;4.2;7.4;8.7;14.4;NULL
Deuselbach;2025-01-01;-0.8;-0.7;1.8;4.7;11.9;1.2
Diepholz;2025-01-01;4.5;5.1;7;8.4;3.7;0
Doberlug-Kirchhain;2025-01-01;-1;0.1;5.1;9.1;1.7;NULL
Dresden-Klotzsche;2025-01-01;-5.8;-3;6.6;10.8;0;0.3
Düsseldorf;2025-01-01;4.2;4.7;7;9.1;9.3;0
Dörnick;2025-01-01;4.4;5.2;7;8.5;12.3;0
Dörpen;2025-01-01;4.6;5.2;7.3;8.8;14.2;NULL
Eisenach;2025-01-01;-0.5;-0.4;3.6;6.2;2.4;NULL
Elpersbüttel;2025-01-01;3.4;4.7;7.1;8.5;12.3;NULL
Emden;2025-01-01;4.7;5.5;7.7;9.3;13.2;0
Erfurt-Weimar;2025-01-01;0.3;1.2;4;7.7;2.1;NULL
Essen-Bredeney;2025-01-01;3;3.5;6;8.4;11.7;0
Fehmarn;2025-01-01;4.7;5.4;7;8.3;8.2;NULL
Feldberg/Mecklenburg;2025-01-01;2.1;2.2;5.2;7.5;2.4;NULL
Feldberg/Schwarzwald;2025-01-01;-1;-0.4;2.2;4.3;0;6.8
Feuchtwangen-Heilbronn;2025-01-01;-8.8;-5.7;1.5;8.4;0;NULL
Fichtelberg;2025-01-01;-0.2;-2.7;-1.4;0.5;0;1
Fichtelberg/Oberfranken-Hüttstadl;2025-01-01;-4.3;-3.1;0.2;4.3;0;NULL
Frankfurt/Main;2025-01-01;-1.5;-0.3;3.4;7.9;1.8;3.1
Freiburg;2025-01-01;-6.6;-3.9;4.8;11.9;0;6.7
Freudenstadt;2025-01-01;-1.4;1;4.7;7.7;0;5.5
Friesoythe-Altenoythe;2025-01-01;4.6;5.3;7.1;8.5;11;0
Fürstenzell;2025-01-01;-6.9;-7;-3.2;0;0;6.7
