Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2024-11-01;3;6.5;9.2;11;1.2;0
Alfeld;2024-11-01;5.5;7.3;10.6;11.5;0.8;NULL
Andernach;2024-11-01;9.7;10.5;11.2;12.4;0;0
Angermünde;2024-11-01;9.7;9.9;11.5;12.1;0.8;NULL
Arkona;2024-11-01;7.9;9.2;12.3;13.3;0;0
Artern;2024-11-01;3.2;6.4;9.8;11.7;0.2;NULL
Augsburg;2024-11-01;1.5;2.6;8.5;12.8;0;4.117
Bamberg;2024-11-01;9;9.1;9.6;10.2;0;0
Barth;2024-11-01;6.7;8.5;12.7;13.8;0;NULL
Baruth;2024-11-01;7.5;8.7;10.8;12.7;0;NULL
Belm;2024-11-01;3.3;7.2;9.4;10.7;1.3;0
Berge;2024-11-01;9.6;9.7;10.9;11.9;0.4;0
Berlin-Dahlem (FU);2024-11-01;9.7;9.9;11;12.5;1.2;0
Berlin-Tempelhof;2024-11-01;9.7;10;11.3;12.6;0.6;NULL
Bertsdorf-Hörnitz;2024-11-01;1.1;3.5;8;10.6;0;NULL
Berus;2024-11-01;7.1;7.3;8;9.3;0;0
Boizenburg;2024-11-01;8.8;10.3;11.8;12.4;0.3;0
Boltenhagen;2024-11-01;9.1;9.3;12.5;13.4;0.1;0.017
Braunlage;2024-11-01;5.4;6.9;7.4;7.9;0.4;NULL
Braunschweig;2024-11-01;6.8;8.6;10.5;11.5;0.7;0
Bremen;2024-11-01;10.5;10.8;11.7;12.5;0.3;0
Bremerhaven;2024-11-01;9.3;10.9;12.7;13.5;1.3;0
Bremervörde;2024-11-01;9.3;10.2;12.3;13.3;0.8;0
Carlsfeld;2024-11-01;0.7;3.7;6.5;13.3;1.2;9.167
Chemnitz;2024-11-01;4.6;5.9;8.8;12.6;0.4;8.917
Chieming;2024-11-01;3.3;6.8;9.7;14.6;0;6.567
Cottbus;2024-11-01;7;8.4;10.6;13.2;0.5;0.65
Cuxhaven;2024-11-01;9;10.7;12.8;13.3;0.8;NULL
Deuselbach;2024-11-01;1.8;5.1;7.5;10.7;0;2.5
Diepholz;2024-11-01;5.7;7.4;10.3;11.7;0.5;0
Doberlug-Kirchhain;2024-11-01;4.6;7.3;10;11.6;0.3;NULL
Dresden-Klotzsche;2024-11-01;3.7;6.3;10;14.1;0.5;8.867
Düsseldorf;2024-11-01;5.5;7.4;9.8;10.9;0.1;0
Dörnick;2024-11-01;5.6;7.9;12.4;13.4;0.2;0
Dörpen;2024-11-01;11.2;11.1;11.8;12.7;0.8;NULL
Eisenach;2024-11-01;8.6;8.8;9.6;10.6;0.3;NULL
Elpersbüttel;2024-11-01;6.4;8.4;12.5;13.3;0.4;NULL
Emden;2024-11-01;9.6;11;12.7;13.7;0.7;0
Erfurt-Weimar;2024-11-01;1.9;4.3;8.5;12.5;0;NULL
Essen-Bredeney;2024-11-01;6.2;7.4;9.1;10.1;1.7;0
Fehmarn;2024-11-01;7.6;8.8;12.5;13.4;0.1;NULL
Feldberg/Mecklenburg;2024-11-01;8.3;9.7;11.4;12.1;0.4;NULL
Feldberg/Schwarzwald;2024-11-01;3.8;7.8;10.2;12.1;0;7.433
Feuchtwangen-Heilbronn;2024-11-01;4;6.9;8.1;11;0;NULL
Fichtelberg;2024-11-01;2.7;2.6;9.1;15.9;0.6;9.683
Fichtelberg/Oberfranken-Hüttstadl;2024-11-01;5.8;5.6;6.6;8.1;0;NULL
Frankfurt/Main;2024-11-01;9.6;9.7;10.2;10.9;0;0
Freiburg;2024-11-01;4.1;7.7;10.1;15.8;0.1;4.4
Freudenstadt;2024-11-01;1.1;3.1;9;15.6;0;8.717
Friesoythe-Altenoythe;2024-11-01;10.9;11.2;11.9;12.8;0.8;0
Fürstenzell;2024-11-01;3.9;6.4;8.4;10.7;0.1;1.2
Gardelegen;2024-11-01;5.9;7.8;10.5;11.7;0.3;NULL
Garmisch-Partenkirchen;2024-11-01;-0.8;1.6;7.4;18.3;0;7.767
Geisenheim;2024-11-01;8.8;9.6;10.3;11.6;0;0
Gelbelsee;2024-11-01;7.5;7.5;8.1;9;0;0
Genthin;2024-11-01;4.1;6.9;10.8;12.9;0.3;0
Gera-Leumnitz;2024-11-01;4.3;5.7;9.5;14.2;0.3;8.1
Gießen/Wettenberg;2024-11-01;8.4;8.5;9.4;10.3;0;0
Goldberg;2024-11-01;7.6;9.4;12.1;12.6;0.1;NULL
Gottfrieding;2024-11-01;2.2;4;9;12.4;0;2.567
Greifswald;2024-11-01;8.1;9.2;12.9;14.1;0;0.017
Greifswalder Oie;2024-11-01;8.9;9.7;12.4;13.1;0.1;NULL
Groß Lüsewitz;2024-11-01;7.3;8.7;12.6;13.5;0.6;NULL
Großer Arber;2024-11-01;NULL;4.4;10;12.7;0;9.483
Grünow;2024-11-01;8;9.2;11.9;12.9;0.3;NULL
Gülzow-Prüzen;2024-11-01;7.7;9.2;12.6;13.5;0.2;NULL
Günzburg;2024-11-01;1;3.6;8.9;12.9;0;NULL
Görlitz;2024-11-01;4.8;6.8;9.7;13.9;0.7;8.95
Göttingen;2024-11-01;3.3;6.6;9.6;10.7;0.7;0
Hahn;2024-11-01;5.5;6.3;7.3;8.5;0.1;0.333
Hamburg-Fuhlsbüttel;2024-11-01;6.6;8.6;12.3;13;0.8;0
Hannover;2024-11-01;6.4;8.2;10.2;11;0.3;0
Harburg;2024-11-01;4.3;6.8;8.5;11.1;0;NULL
Harzgerode;2024-11-01;6.6;7.7;8.9;10.2;0.9;NULL
Hasenkrug-Hardebek;2024-11-01;5.8;8.2;12.3;13.1;0.3;NULL
Heckelberg;2024-11-01;10.2;10.2;10.9;11.7;1;NULL
Helgoland;2024-11-01;9.7;10.9;13.3;14;0.2;0
Hersfeld, Bad;2024-11-01;8.6;8.8;9.9;11.2;0.1;0
Hof;2024-11-01;6.6;6.6;7.6;9.7;0;2.033
Hohenpeißenberg;2024-11-01;4;7.7;11.9;17.6;0;9.633
Hoherodskopf/Vogelsberg;2024-11-01;4.8;4.7;5.8;6.8;0.3;0
Hoyerswerda;2024-11-01;5.5;8.5;10.5;13.8;0.8;NULL
Itzehoe;2024-11-01;3.7;7.9;12.4;13.1;0.8;NULL
Kahler Asten;2024-11-01;5.1;5;5.6;6.3;0.7;0
Kaisersbach-Cronhütte;2024-11-01;2.4;5.8;8.5;13.8;0;NULL
Kall-Sistig;2024-11-01;6.4;6.2;7.9;10.6;0.3;NULL
Kaufbeuren-Oberbeuren Bayern;2024-11-01;0.8;2.9;9.8;15.8;0;NULL
Kempten;2024-11-01;2.5;2.8;8.8;18;0;8.267
Kiel-Holtenau;2024-11-01;4.4;7.1;12.5;13.8;0;NULL
Kissingen, Bad;2024-11-01;8.2;8.7;9.7;10.7;0;0
Kleiner Feldberg/Taunus;2024-11-01;4.8;4.4;5.1;6;0.3;0
Klippeneck;2024-11-01;1;2.8;10.4;15.2;0;8.783
Konstanz;2024-11-01;4.4;5.7;9.6;13.1;0.2;4.717
Krölpa-Rockendorf;2024-11-01;0.8;2.4;8.6;14.1;0;NULL
Kyritz;2024-11-01;10.5;10.8;11.3;12;1.6;0
Köln/Bonn;2024-11-01;2.4;5;8.8;10.3;0.5;0
Königswinter-Heiderhof;2024-11-01;2.9;6.8;9.1;10.2;0.5;NULL
Lahr;2024-11-01;5.5;7.6;10.2;13.4;0;NULL
Langenlipsdorf;2024-11-01;2.5;4.8;9.7;13.2;0.3;NULL
Lauchstädt, Bad;2024-11-01;2.7;6.9;9.9;12.3;0.3;NULL
Lautertal-Oberlauter;2024-11-01;8.3;8.4;9.2;9.9;0;0
Leck;2024-11-01;4.6;7;12.4;14;0.1;0
Leinefelde;2024-11-01;4.3;7.2;8.7;9.5;0.4;0
Leipzig-Holzhausen;2024-11-01;6;7.6;10.2;13.7;1.2;NULL
Leipzig/Halle;2024-11-01;6;7;9.8;12.6;0.2;1.967
Leutkirch-Herlazhofen;2024-11-01;-0.6;2.3;8.5;15.4;0;NULL
Lichtenhain-Mittelndorf;2024-11-01;2.6;3.5;8.3;11.8;1.6;NULL
Lichtentanne;2024-11-01;6.1;7.8;9.5;12.8;0.4;NULL
Lindenberg;2024-11-01;7.4;8.5;10.5;12;0.4;0
Lingen-Baccum;2024-11-01;7.2;8.6;10.4;11.6;1;NULL
Lippspringe, Bad;2024-11-01;3.8;6.7;9.2;10.8;3.6;0
List auf Sylt;2024-11-01;7.5;9;12.6;14;0;0.017
Lübeck-Blankensee;2024-11-01;NULL;8.6;12.4;13.3;0.2;0
Lüchow;2024-11-01;10.5;11.2;11.6;12.4;0.3;NULL
Lüdenscheid;2024-11-01;7.8;8;8.4;9.1;0.9;0
Lügde-Paenbruch;2024-11-01;7.3;8.1;9.3;10.2;1.7;0
Magdeburg;2024-11-01;2.9;6.7;10.7;12.8;0.5;0
Mannheim;2024-11-01;9.9;10.1;10.8;11.6;0;0
Manschnow;2024-11-01;10.5;10.6;11.6;12.6;0.7;NULL
Marienberg;2024-11-01;0.1;3.1;7.8;13.3;1.8;NULL
Marienberg, Bad;2024-11-01;6.9;6.5;6.9;7.4;0.1;0
Marnitz;2024-11-01;8.6;9.4;11.5;11.9;0.9;NULL
Meiningen;2024-11-01;7.2;7.3;8.4;9.1;0;0
Memmingen;2024-11-01;1.6;4.5;9.8;16.1;0.1;NULL
Meßstetten-Appental;2024-11-01;-2;0.3;5.5;15.5;0;NULL
Michelstadt-Vielbrunn;2024-11-01;6.9;7.1;8.3;9.5;0.1;0
Mühlacker;2024-11-01;8.9;8.7;10;11.6;0;NULL
Mühldorf;2024-11-01;2.5;4.2;9.6;15;0;5.967
Müncheberg;2024-11-01;9.8;9.9;11;12.1;0.5;NULL
München-Flughafen;2024-11-01;1.5;2.2;9.4;14.9;0;6.133
München-Stadt;2024-11-01;4.2;5.8;10.6;17;0.1;7.533
Münsingen-Apfelstetten;2024-11-01;1;3.2;7.2;12.8;0.1;NULL
Neu-Ulrichstein;2024-11-01;7.6;7.7;8.4;9.6;0;NULL
Neuhaus am Rennweg;2024-11-01;4.7;4.6;5.5;6.3;0.5;NULL
Neuhütten/Spessart;2024-11-01;7.7;7.9;8.9;10.1;0;0
Neuruppin-Alt Ruppin;2024-11-01;10.3;10.5;11.1;11.8;0.6;NULL
Norderney;2024-11-01;10.5;11.6;12.8;13.3;0.2;0
Nossen;2024-11-01;6.1;7.8;9.8;13.2;0.1;NULL
Nürburg-Barweiler;2024-11-01;7.2;7;8.2;9.8;0.2;1.783
Nürnberg;2024-11-01;8.7;8.8;9.5;11.1;0;0
Oberstdorf;2024-11-01;-2.7;-0.3;7;18.5;0;7.283
Osterfeld;2024-11-01;4.2;6.2;9.4;13.8;0.2;NULL
Pelzerhaken;2024-11-01;7;8.7;12.8;13.5;0.1;NULL
Pforzheim-Ispringen;2024-11-01;8;7.5;8.9;11;0;NULL
Plauen;2024-11-01;3.9;7.1;9;12.5;0;NULL
Potsdam;2024-11-01;5.7;8.4;10.6;12.4;0.4;0
Putbus;2024-11-01;5.7;7.6;12.5;13.5;0.2;NULL
Quedlinburg;2024-11-01;2.2;5;10;14.9;0.5;NULL
Querfurt-Mühle Lodersleben;2024-11-01;6.4;8.4;10;11.5;0.4;NULL
Quickborn;2024-11-01;5.7;8.2;12.4;13.1;0.7;NULL
Regensburg;2024-11-01;7.9;8.6;9.4;10.8;0;0
Rheinstetten;2024-11-01;9.4;9.8;10.5;11.4;0.1;0
Rostock-Warnemünde;2024-11-01;8.9;9.7;12.9;13.7;0.3;0
Roth;2024-11-01;7.6;8.3;9.3;11.3;0;NULL
Runkel-Ennerich;2024-11-01;8.6;8.9;9.6;10.3;0;0
Saarbrücken-Ensheim;2024-11-01;7.5;7.7;8.3;8.9;0;0
Salzuflen, Bad;2024-11-01;4.7;6.9;9.1;10.2;2.1;NULL
Sankt Peter-Ording;2024-11-01;7.9;9.8;12.7;13.5;0.4;0
Schleiz;2024-11-01;4.5;6.2;7.9;10.7;0.2;NULL
Schleswig;2024-11-01;4.8;7;11.9;13.3;0.8;0
Schmücke;2024-11-01;4;3.9;5;5.8;0.5;0
Schwerin;2024-11-01;7.6;9.1;12.3;12.9;0.1;NULL
Schönhagen (Ostseebad);2024-11-01;5.9;7.6;12.5;13.9;0.1;NULL
Seehausen;2024-11-01;10.5;10.7;11.3;12.2;0.4;NULL
Soltau;2024-11-01;8.5;9.9;10.8;11.5;0.7;0
Straubing;2024-11-01;2.9;6.1;9.4;11.6;0;0
Stuttgart (Schnarrenberg);2024-11-01;6.6;8.1;9.7;11.6;0;4.483
Stuttgart-Echterdingen;2024-11-01;4.7;7.3;9.6;14.1;0;NULL
Stötten;2024-11-01;4.6;5.6;8.1;14;0.2;6.3
Tholey;2024-11-01;4.6;6.7;7.9;8.8;0;0
Trier-Petrisberg;2024-11-01;4.1;6.1;8.8;10.1;0;0.233
Trollenhagen;2024-11-01;7.5;9.1;12.1;12.7;0.4;NULL
Ueckermünde;2024-11-01;8.8;9.9;12.8;13.9;0;0.05
UFS Deutsche Bucht;2024-11-01;NULL;11.1;13.3;14;NULL;0
UFS TW Ems;2024-11-01;NULL;11.2;13.1;13.8;NULL;0
Ummendorf;2024-11-01;6.5;8.3;10.5;11.8;0.2;NULL
Waibstadt;2024-11-01;9.2;9.4;10;10.8;0;NULL
Waldmünchen;2024-11-01;7.1;7.1;8;9.3;0;0
Warburg;2024-11-01;1.4;3.2;8.5;11.2;0.1;NULL
Waren (Müritz);2024-11-01;8.3;9.5;11.9;12.2;0.8;0
Wasserkuppe;2024-11-01;3.1;3.7;5;9;0.4;1.367
Weiden;2024-11-01;7.5;7.4;8.5;10.1;0;0
Weihenstephan-Dürnast;2024-11-01;1.7;3.4;8.9;13.5;0;5.133
Weinbiet;2024-11-01;6.7;6.4;7.2;9.3;0;0.167
Weingarten, Kr. Ravensburg;2024-11-01;2.9;4.3;9.2;13.6;0;NULL
Weißenburg-Emetzheim;2024-11-01;2.9;7.3;9;10.6;0;0
Werl;2024-11-01;3.4;6.4;9.6;11;0.6;0
Wernigerode;2024-11-01;-0.3;2.3;8.8;14.3;1.1;NULL
Wielenbach (Demollstr.);2024-11-01;2.8;3.8;9.5;17.1;0;6.633
