Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2024-01-01;4.1;5.3;6.9;8.7;12.7;0.1
Alfeld;2024-01-01;1;3.1;6.3;7.4;7.1;0
Andernach;2024-01-01;5.1;6.9;7.9;9.1;3.1;0.3
Angermünde;2024-01-01;1.4;3.6;5.4;7.7;1.5;1
Arkona;2024-01-01;3.5;4.6;5.2;5.7;6.7;1
Artern;2024-01-01;2.3;4;6.5;8.5;1;NULL
Augsburg;2024-01-01;-0.3;2;4.8;7.9;0.9;5.6
Bamberg;2024-01-01;-0.1;3;6.2;8.7;3.5;0.8
Barth;2024-01-01;1.2;3.9;5.8;7;6.2;NULL
Baruth;2024-01-01;2.5;5.4;6.7;8.3;0.8;NULL
Belm;2024-01-01;3.6;5.1;6.7;8.4;5.1;0
Berge;2024-01-01;2.5;4.2;6.3;8.5;0;0
Berlin-Dahlem (FU);2024-01-01;0.2;4;6.2;8.2;1;0.6
Berlin-Tempelhof;2024-01-01;2.2;4.9;6.6;8.3;0.9;NULL
Bertsdorf-Hörnitz;2024-01-01;-1.4;0.6;4.6;6.3;2.8;0.9
Berus;2024-01-01;4;5;5.8;7.2;8.8;0.2
Boizenburg;2024-01-01;1.3;4.1;6.5;7.9;0;0
Boltenhagen;2024-01-01;2.3;4;5.9;7;4.3;0.1
Braunlage;2024-01-01;0.4;1.5;3.1;3.8;7.9;NULL
Braunschweig;2024-01-01;1.2;3.9;6.8;8;2.2;0
Bremen;2024-01-01;1.9;3.6;7.1;8.5;3;0.3
Bremerhaven;2024-01-01;3.8;4.7;7;8.3;10;0.2
Bremervörde;2024-01-01;3.2;4.4;7;8.3;9.2;0
Carlsfeld;2024-01-01;-0.6;0.1;1;1.6;6.3;0
Chemnitz;2024-01-01;1.8;3.1;4.8;6.4;3.4;3.7
Chieming;2024-01-01;-2.4;0.3;4.4;7.4;0;2.5
Cottbus;2024-01-01;0.3;4.6;6.4;8.2;1.8;0.1
Cuxhaven;2024-01-01;3.6;5.3;7.1;8.2;2.7;0
Deuselbach;2024-01-01;3.1;4;4.9;5.5;8.6;0
Diepholz;2024-01-01;2.4;4.5;7;8.4;5.2;0.8
Doberlug-Kirchhain;2024-01-01;2.6;4.8;6.7;8.5;1.2;0.1
Dresden-Klotzsche;2024-01-01;2.6;4.5;6.2;8.8;1.1;2.4
Düsseldorf;2024-01-01;5.3;6.8;7.8;9.3;13.3;0.3
Dörnick;2024-01-01;3.9;5.1;6.3;6.8;2.9;0
Dörpen;2024-01-01;4.1;5.4;7.3;8.7;7.9;1.2
Eisenach;2024-01-01;1.9;3.8;5.9;7;5.1;1.2
Elpersbüttel;2024-01-01;3.9;5.1;6.8;7.8;7.1;0
Emden;2024-01-01;3.9;5;7.1;8.4;13.7;0.1
Erfurt-Weimar;2024-01-01;1.3;2.8;5.4;7.7;0.8;NULL
Essen-Bredeney;2024-01-01;5;5.8;7;8.6;11.5;0
Fehmarn;2024-01-01;3.9;5.2;6;6.7;2.4;0
Feldberg/Mecklenburg;2024-01-01;-0.1;2.4;4.8;5.9;1.1;0.3
Feldberg/Schwarzwald;2024-01-01;0;-3;-2.5;-1.8;1.6;0
Feuchtwangen-Heilbronn;2024-01-01;1.5;3.2;4.5;6.2;2.7;2
Fichtelberg;2024-01-01;0.1;-1.9;-1.2;-0.7;4.8;0
Fichtelberg/Oberfranken-Hüttstadl;2024-01-01;1;2.1;2.9;3.8;7.5;NULL
Frankfurt/Main;2024-01-01;4.3;6;7.3;8.5;8.8;0.5
Freiburg;2024-01-01;4.6;6.3;7.9;9.2;0.1;4.6
Freudenstadt;2024-01-01;0.5;1.2;2.3;3.3;8.5;0
Friesoythe-Altenoythe;2024-01-01;3.5;4.8;7.3;8.6;9.2;0.6
Fürstenzell;2024-01-01;-0.2;1.8;4.1;7.1;0;3.6
Gardelegen;2024-01-01;2.1;4.5;6.7;8.9;0;0
Garmisch-Partenkirchen;2024-01-01;-4.6;-2.9;0.9;5.7;0;2
Geisenheim;2024-01-01;2.4;5.2;6.9;8.9;5.7;1
