Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2024-03-01;5.4;6.9;8.8;11.4;0;3.667
Alfeld;2024-03-01;-0.4;1.6;7.3;11.1;0;3.767
Andernach;2024-03-01;-4.4;-0.9;6;11.4;0;2.833
Angermünde;2024-03-01;2.8;4.5;8;10.5;0.4;0
Arkona;2024-03-01;3;4.4;5.9;7.6;0.7;0
Artern;2024-03-01;-3.8;-0.7;5.4;10.8;0.2;NULL
Augsburg;2024-03-01;-2.2;-0.6;4.8;8.5;1.3;0
Bamberg;2024-03-01;-3.8;-2.1;3.7;10.6;0;0.033
Barth;2024-03-01;-0.2;2.3;6.2;10.3;1.3;NULL
Baruth;2024-03-01;3.5;4.3;7;10.1;0.1;NULL
Belm;2024-03-01;3.3;5.6;7.8;10.2;0;2.583
Berge;2024-03-01;1.2;4;6.9;10.7;1.6;1.467
Berlin-Dahlem (FU);2024-03-01;1.7;5.2;7.4;10.3;0.1;0.333
Berlin-Tempelhof;2024-03-01;2.8;5.5;7.8;10;0.3;NULL
Bertsdorf-Hörnitz;2024-03-01;6.8;9.1;10.5;12.8;0.6;0.117
Berus;2024-03-01;3.5;4.5;6.3;9.7;0;2.567
Boizenburg;2024-03-01;0.2;1.5;6.8;13;0;5.883
Boltenhagen;2024-03-01;0.4;2.7;7;12.2;0;5.917
Braunlage;2024-03-01;-3.8;0;4.3;9;0;NULL
Braunschweig;2024-03-01;-2;0.8;6.9;12.5;0;5.783
Bremen;2024-03-01;0.9;3.1;7.3;11.1;0;2.4
Bremerhaven;2024-03-01;3.8;5.4;7.8;10.5;0;2.267
Bremervörde;2024-03-01;1.7;3.7;7.6;11;0;1.7
Carlsfeld;2024-03-01;1.2;2.1;4.5;7.7;0;0
Chemnitz;2024-03-01;-1.3;1;5.8;9.1;0.2;0.133
Chieming;2024-03-01;-0.7;0.8;4.6;8.1;2;0
Cottbus;2024-03-01;3.2;5.7;8.7;12.7;0.3;1.7
Cuxhaven;2024-03-01;3;5.1;7.9;10.2;0;2.217
Deuselbach;2024-03-01;3.7;4.1;5.8;7.9;0;3.567
Diepholz;2024-03-01;-0.7;3.1;7.3;10.4;0;2.35
Doberlug-Kirchhain;2024-03-01;2.7;3;6.3;10.7;0.1;0
Dresden-Klotzsche;2024-03-01;1.3;5.2;9;11.6;0.2;1.1
Düsseldorf;2024-03-01;5.6;7.1;9;11.9;0;4.117
Dörnick;2024-03-01;1.2;3;7;10.7;0.1;3.883
Dörpen;2024-03-01;4.9;6.5;8.7;10.7;0;3.133
Eisenach;2024-03-01;-2;1;6.3;9.7;0;0.917
Elpersbüttel;2024-03-01;1.3;3.4;6.2;9.5;0;1.767
Emden;2024-03-01;4.6;5.9;8.2;10.3;0;3.733
Erfurt-Weimar;2024-03-01;-2.7;-0.1;5.7;11.3;0;NULL
Essen-Bredeney;2024-03-01;5.5;6.2;8.2;10.9;0;4.217
Fehmarn;2024-03-01;2.5;3.4;6.5;10.2;0;6.917
Feldberg/Mecklenburg;2024-03-01;0;2.7;6.9;9.6;0.7;0
Feldberg/Schwarzwald;2024-03-01;0;-1.8;-0.3;3.4;0;0
Feuchtwangen-Heilbronn;2024-03-01;-3.1;-1.6;4.3;9;0.1;0.183
Fichtelberg;2024-03-01;0.1;2.6;4.5;7.3;0.7;0
Fichtelberg/Oberfranken-Hüttstadl;2024-03-01;-0.1;0.6;3.6;7.2;2.4;NULL
Frankfurt/Main;2024-03-01;-2.8;-1.3;4.8;10.4;0;2.7
Freiburg;2024-03-01;-2.6;2.1;7.7;10.1;0;0.133
Freudenstadt;2024-03-01;-0.9;1.4;4.1;5.5;0;0
Friesoythe-Altenoythe;2024-03-01;5.2;6.4;8;10.2;0;2.867
Gardelegen;2024-03-01;-2.4;0.6;6.9;12.8;0;4.25
Garmisch-Partenkirchen;2024-03-01;-0.3;1.3;4.5;7;2;0
Geisenheim;2024-03-01;-1.4;0.9;5.3;10.1;0;0.333
Gelbelsee;2024-03-01;-2.3;0.1;4.2;7.5;0.6;0.017
Genthin;2024-03-01;-2.8;-0.5;5.5;10.7;2.4;2.917
Gera-Leumnitz;2024-03-01;-2;0.5;5.4;9.7;0;0.117
Gießen/Wettenberg;2024-03-01;-3.3;-0.1;5.2;9.4;0;0.633
Goldberg;2024-03-01;1.4;4.3;6.7;11.1;1.4;NULL
Gottfrieding;2024-03-01;-2.2;-1.4;3.4;6.4;2.1;0
Greifswald;2024-03-01;0.3;3;7.3;9.9;1;0
Greifswalder Oie;2024-03-01;3.4;4.8;6;7.9;0.7;NULL
Groß Lüsewitz;2024-03-01;0;3;6.8;10.7;0.8;NULL
Großer Arber;2024-03-01;NULL;-0.6;3.7;6.3;1.6;1.25
Grünow;2024-03-01;4.7;5.9;8;9.8;0.2;NULL
Gülzow-Prüzen;2024-03-01;0.6;3.1;6.9;11.4;1.2;NULL
Günzburg;2024-03-01;-2.7;-1.3;4.2;8.5;0.7;NULL
Görlitz;2024-03-01;1.6;2.1;9.4;13.9;0.2;1.517
Göttingen;2024-03-01;-2.1;0.8;6.4;10.5;0;2.4
Hahn;2024-03-01;-0.9;1.7;5.3;8.1;0;4.783
Hamburg-Fuhlsbüttel;2024-03-01;0.3;2.5;7.3;11.8;0.4;3.533
Hannover;2024-03-01;0.4;3.7;8.3;12.8;0;4.483
Harburg;2024-03-01;-1.1;0.9;5.1;9.3;1;NULL
Harzgerode;2024-03-01;-2.3;-0.3;4.8;10.2;0.1;3.65
Hasenkrug-Hardebek;2024-03-01;0.3;2.1;6.8;11.3;0.9;NULL
Heckelberg;2024-03-01;2.8;5.2;7.8;10.5;0.4;NULL
Helgoland;2024-03-01;5.3;6.4;7.2;8.1;0;3.817
Hersfeld, Bad;2024-03-01;-3.3;-1.9;4.4;10;0;1.75
Hof;2024-03-01;-0.2;2.9;4.6;7.9;0.8;0
Hohenpeißenberg;2024-03-01;1.6;2.3;4;9.1;0.5;0
Hoherodskopf/Vogelsberg;2024-03-01;0.3;1.5;2.7;4.1;0;0.017
Holzdorf-Bernsdorf;2024-03-01;NULL;NULL;5.8;NULL;0;0.5
Hoyerswerda;2024-03-01;-1.4;-0.2;8;12.9;0.3;NULL
Itzehoe;2024-03-01;1.1;2.7;6.9;10.9;0;NULL
Kahler Asten;2024-03-01;0;0.8;1.9;3.4;0;0.15
Kaisersbach-Cronhütte;2024-03-01;-3.2;-1.8;3.1;8.4;0.8;0
Kall-Sistig;2024-03-01;3.3;4.2;5.5;6.8;0.1;NULL
Kempten;2024-03-01;-0.8;1;4;6;2.6;0
Kiel-Holtenau;2024-03-01;0.9;3.3;7.5;11;0.2;NULL
Kissingen, Bad;2024-03-01;-1.6;0.8;4.9;8.4;0;0
Kleiner Feldberg/Taunus;2024-03-01;-1.1;1.3;2.1;3.1;0;0.117
Klippeneck;2024-03-01;1.1;2.3;3.8;5.1;1.7;0.133
Konstanz;2024-03-01;0.5;1.4;5.3;8.3;4;0.017
Krölpa-Rockendorf;2024-03-01;-3;-1;5;11.3;1.6;NULL
Kyritz;2024-03-01;1.1;3.2;6.5;10.4;3.2;2.5
