Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2023-07-01;15.3;15.4;17.3;19.6;3.1;0.083
Alfeld;2023-07-01;9.6;10.5;16.5;20.1;2.5;0.117
Andernach;2023-07-01;11.6;12.2;17.1;21.7;2.9;0.267
Angermünde;2023-07-01;10.9;12.5;18;23.7;2.3;3.917
Arkona;2023-07-01;12.6;13.5;16.3;20.2;5.6;0.083
Artern;2023-07-01;7.7;11.1;17.8;24.7;0.9;NULL
Augsburg;2023-07-01;14.2;14.1;18.5;23.7;0.2;5.533
Bamberg;2023-07-01;7.8;9;17.9;25.1;0.5;6.633
Barth;2023-07-01;9.8;10.8;16.1;20;3.5;0
Baruth;2023-07-01;14;14.7;19.7;25.2;0.3;NULL
Belm;2023-07-01;12.7;14.4;16.9;18.8;3.1;0.25
Berge;2023-07-01;13;13.9;18.5;23.8;1.4;6.2
Berlin-Dahlem (FU);2023-07-01;13.4;15.3;19.3;25.2;0.6;7.1
Berlin-Tempelhof;2023-07-01;14.7;16.1;19.9;25.6;0.5;NULL
Bertsdorf-Hörnitz;2023-07-01;15.5;15.8;19.5;24.1;0;8.2
Berus;2023-07-01;12.5;13.5;15.3;17.7;2.2;0.3
Boizenburg;2023-07-01;11.7;13.7;15.9;17.2;11;0
Boltenhagen;2023-07-01;13.8;13.9;15.9;17.3;8.7;0
Braunlage;2023-07-01;5.1;9.2;13.6;18.6;4;NULL
Braunschweig;2023-07-01;10.2;12.2;17.1;20.7;2.7;0.65
Bremen;2023-07-01;13.1;14.6;17.1;19.3;4.7;0.317
Bremerhaven;2023-07-01;14.5;14.9;17.4;19.7;8.3;0.167
Bremervörde;2023-07-01;14.2;15.1;16.5;19;4.7;0.25
Carlsfeld;2023-07-01;5.8;9.6;14.2;18.8;6.3;8.467
Chemnitz;2023-07-01;12.1;12.7;17.7;24;2.2;8.25
Chieming;2023-07-01;14.6;14.6;17.9;21.7;5;5.117
Cottbus;2023-07-01;14.9;15.9;20.2;24.9;0.8;5.067
Cuxhaven;2023-07-01;14.3;14.4;16.8;19;9.8;0.567
Deuselbach;2023-07-01;12.2;13.5;15.6;18.6;0.7;1.433
Diepholz;2023-07-01;13.2;14.6;17.1;18.8;3;0.617
Doberlug-Kirchhain;2023-07-01;12.9;15.2;19.7;24.9;1;6.3
Dresden-Klotzsche;2023-07-01;15.1;15.6;19.6;24.8;1.7;7.867
Düsseldorf;2023-07-01;14.8;16.3;18.5;22.5;2.8;0.433
Dörnick;2023-07-01;13.9;14.9;16.2;17.7;9.3;0.033
Dörpen;2023-07-01;13.9;14.9;16.9;19.7;3.6;0.3
Eisenach;2023-07-01;6.8;8.9;16.2;22.2;0.3;4.417
Elpersbüttel;2023-07-01;14.1;14.2;16.5;19.1;9.7;0.783
Emden;2023-07-01;14.4;15.3;17.4;20.4;2.4;0.15
Erfurt-Weimar;2023-07-01;8.4;10.1;17;23.3;0.4;NULL
Essen-Bredeney;2023-07-01;14.6;15.2;17.1;21.2;2.4;0.483
Fehmarn;2023-07-01;13.7;14.9;16.5;18.3;5.7;0
Feldberg/Mecklenburg;2023-07-01;12.1;12.8;17.1;22.9;6.3;4
Feldberg/Schwarzwald;2023-07-01;6.7;6.6;9.1;10.6;5.5;3.8
Feuchtwangen-Heilbronn;2023-07-01;10.9;13.5;18.2;23.8;0.5;8.667
Fichtelberg;2023-07-01;8.7;8.7;12.1;16.2;2.4;6.783
Fichtelberg/Oberfranken-Hüttstadl;2023-07-01;9.2;11.7;16.1;21.4;4.3;NULL
Frankfurt/Main;2023-07-01;8.5;10.2;17;21.6;1.2;3
Freiburg;2023-07-01;12.3;15.1;18.8;21.4;0.7;4.167
Freudenstadt;2023-07-01;10;11.5;14.1;17.9;3.4;5.433
Friesoythe-Altenoythe;2023-07-01;14.2;15;17;20;3.2;NULL
Fürstenzell;2023-07-01;16.6;16.4;19;23;0.3;4.017
Gardelegen;2023-07-01;9.2;10.3;17.6;22.5;3.4;1.7
Garmisch-Partenkirchen;2023-07-01;13.4;13.5;16.8;21.8;2.2;3.083
Geisenheim;2023-07-01;10.9;12.8;17.4;21;0.6;1
Gelbelsee;2023-07-01;14.4;14.7;18.6;23.6;0.5;6.333
Genthin;2023-07-01;9.7;11.3;18.2;24.6;0.6;5.25
Gera-Leumnitz;2023-07-01;9.9;12.4;18;23.6;0.9;7.1
Gießen/Wettenberg;2023-07-01;7.2;9.7;16;21.1;1.5;0.233
Goldberg;2023-07-01;9.6;12.7;16.2;20.2;NULL;0
Gottfrieding;2023-07-01;14.8;15.9;19.9;24;0.5;4.167
Greifswald;2023-07-01;11.5;13.6;17.3;22.1;2.2;0.933
Greifswalder Oie;2023-07-01;15.2;16;17.9;21.4;2.3;2.6
Groß Lüsewitz;2023-07-01;11.5;12.5;16;19.3;4.7;NULL
Großer Arber;2023-07-01;NULL;7.7;11.3;14.6;2.6;4.567
Gülzow-Prüzen;2023-07-01;12.4;13.9;16.4;19.5;2.9;NULL
Günzburg;2023-07-01;14.8;15.2;18.8;24.1;0.9;NULL
Görlitz;2023-07-01;16;16.2;20;24.8;3.1;7.75
Göttingen;2023-07-01;8.2;8.8;16.1;20.9;1.6;2.583
Hahn;2023-07-01;10.8;12.7;15.1;18;3;0.517
Hamburg-Fuhlsbüttel;2023-07-01;12.3;14.4;16.7;18;6.7;0.183
Hannover;2023-07-01;11.9;14.6;17.2;20.1;6.7;0
Harburg;2023-07-01;13.6;14.4;18.2;23.5;1.8;5.9
Harzgerode;2023-07-01;7.4;8.1;15;20.5;1.4;0.65
Hasenkrug-Hardebek;2023-07-01;13.5;14.5;16.1;18.2;10.2;NULL
