Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2024-06-01;12.7;13.9;16.8;21.3;0.2;0.883
Alfeld;2024-06-01;14.6;15.1;18.7;23.9;0;6.7
Andernach;2024-06-01;14.1;14.8;16.7;18.8;3.7;0.2
Angermünde;2024-06-01;13.8;14.9;20.2;26.3;0;11.617
Arkona;2024-06-01;12.4;13.5;16.6;18.8;0;14.967
Artern;2024-06-01;12.4;14.5;18.4;24.9;7.5;NULL
Bamberg;2024-06-01;13.1;13.4;15.2;21;25.4;0.517
Barth;2024-06-01;11.9;13.1;17.9;21.8;0.1;NULL
Baruth;2024-06-01;11.4;12.8;19;27.3;10.6;NULL
Belm;2024-06-01;14;14;18.1;24;0;4.95
Berge;2024-06-01;12.3;13.9;19.8;25.6;0.1;9.1
Berlin-Dahlem (FU);2024-06-01;11.9;15.2;20.6;25.9;0.7;9.25
Berlin-Tempelhof;2024-06-01;11.9;15.2;21.1;26.6;0;NULL
Bertsdorf-Hörnitz;2024-06-01;12.9;13.3;15.5;19.5;11.5;NULL
Berus;2024-06-01;9.7;10.7;14.6;18.5;0.3;1.35
Boizenburg;2024-06-01;12.8;13.7;18.9;24.4;0;11.467
Boltenhagen;2024-06-01;13.5;12.9;17;21.7;0;11.1
Braunlage;2024-06-01;11;12.5;16;20;6.9;NULL
Braunschweig;2024-06-01;12.3;13.9;19.1;24.6;0;8.8
Bremen;2024-06-01;11.7;12.5;18.8;24.3;0;11.467
Bremerhaven;2024-06-01;14.7;15.5;18.6;23;0;11.367
Bremervörde;2024-06-01;10.9;13.5;18.2;23.8;0;7.167
Carlsfeld;2024-06-01;9.4;10.5;11.9;17;28.8;0.817
Chemnitz;2024-06-01;12.8;13.2;15;21.3;4.6;2.2
Chieming;2024-06-01;8.3;8.8;10.7;12.4;29.5;0
Cottbus;2024-06-01;12.2;13.7;19.6;28.1;4.2;9.567
Cuxhaven;2024-06-01;14.7;15.9;18.5;22.3;0;13.017
Deuselbach;2024-06-01;10;10.7;13.5;16.2;0.1;0.333
Diepholz;2024-06-01;14.8;15;19.1;24.4;0;6.533
Doberlug-Kirchhain;2024-06-01;12.6;13.9;19;26.7;3.6;10.267
Dresden-Klotzsche;2024-06-01;14.1;14.4;16.5;22.3;14.8;1.783
Düsseldorf;2024-06-01;13.7;14;16.9;21;6.9;0.5
Dörnick;2024-06-01;12.9;14.4;18.6;23.4;0;10.05
Dörpen;2024-06-01;14.2;14.3;17.5;22;0;4.2
Eisenach;2024-06-01;11.8;13.3;16.7;22.2;4.1;2.9
Elpersbüttel;2024-06-01;12;13.4;19;24.7;0;11.933
Emden;2024-06-01;13.2;13.9;16.8;21.2;0;2.85
Erfurt-Weimar;2024-06-01;13.1;13.5;17.1;23.2;5.2;NULL
Essen-Bredeney;2024-06-01;13.4;13.7;16.4;20.6;1.3;0.933
Fehmarn;2024-06-01;13.7;14.6;17.5;20.4;0;13.233
Feldberg/Mecklenburg;2024-06-01;13.2;14;19.1;24.8;0;12.1
Feldberg/Schwarzwald;2024-06-01;4.7;4.4;5.7;7.2;8.7;0.033
Feuchtwangen-Heilbronn;2024-06-01;11.4;11.5;12.6;13.4;21.3;NULL
