Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2024-05-01;10.5;13.8;20.1;27.3;0;10.45
Alfeld;2024-05-01;7.6;10.1;18.2;24.6;0;13.217
Andernach;2024-05-01;7.3;10.4;19;27.2;0;10.183
Angermünde;2024-05-01;8.6;11.5;19.7;26;0;12.95
Arkona;2024-05-01;7.2;7.9;9.7;11.7;0;12.883
Artern;2024-05-01;7.1;11.3;18.8;25.6;0;NULL
Augsburg;2024-05-01;2.7;6;16.6;24;0;12.183
Bamberg;2024-05-01;5.6;8.2;18.5;26.9;0;11.817
Barth;2024-05-01;6.1;8.7;15.1;22.1;0;NULL
Baruth;2024-05-01;9.4;12.9;20.1;26.5;0;NULL
Belm;2024-05-01;13.1;14.3;19.6;25;0;11.283
Berge;2024-05-01;11.2;14.3;20.6;25.9;0;13.267
Berlin-Dahlem (FU);2024-05-01;8.5;13.9;20.5;26.9;0;13.317
Berlin-Tempelhof;2024-05-01;9.4;13;21.1;26.6;0;NULL
Bertsdorf-Hörnitz;2024-05-01;12.4;15.6;19.6;23.7;0;13.15
Berus;2024-05-01;10.6;12.3;18.9;25;0;10.6
Boizenburg;2024-05-01;8.3;10.4;19.5;26.2;0;13.517
Boltenhagen;2024-05-01;8.6;9.3;11.1;13.5;0;13.117
Braunlage;2024-05-01;8.3;12.5;17.9;22;0;NULL
Braunschweig;2024-05-01;6.5;10.5;19;25.1;0;13.7
Bremen;2024-05-01;10.8;12.4;19.4;25.8;0;12.267
Bremerhaven;2024-05-01;10.3;11;18.7;25.9;0;13.1
Bremervörde;2024-05-01;8;9.4;18;25.9;0;12.9
Carlsfeld;2024-05-01;8.5;11;14.4;18.6;0;12.967
Chemnitz;2024-05-01;12.9;14.5;18.4;23;0;11.867
Chieming;2024-05-01;6.9;9.7;18.2;24.6;0;10.3
Cottbus;2024-05-01;11.3;14.2;21.2;27.4;0;13.333
Cuxhaven;2024-05-01;9.3;10.8;16.1;22.2;0;13.083
Deuselbach;2024-05-01;7.6;11.4;18.3;24;0;9.833
Diepholz;2024-05-01;9.7;13.2;20.2;25.7;0;13.033
Doberlug-Kirchhain;2024-05-01;6.9;10.7;20.2;25.5;0;13.4
Dresden-Klotzsche;2024-05-01;14.5;16;20.1;24.4;0;12.483
Düsseldorf;2024-05-01;8;10.2;18.6;28;4.3;8.683
Dörnick;2024-05-01;6.7;7.9;14.9;22.4;0;13.35
Dörpen;2024-05-01;9.1;12.9;19.3;26.1;0.3;9.35
Eisenach;2024-05-01;6.7;11;17.6;24;0;13.15
Elpersbüttel;2024-05-01;8;8.8;16.1;24.1;0;13.467
Emden;2024-05-01;9.8;10.9;18.1;25.2;0;10.767
Erfurt-Weimar;2024-05-01;8.3;12.8;18.8;24.8;0;NULL
Essen-Bredeney;2024-05-01;10.1;12.8;20.1;26.8;0;8.917
Fehmarn;2024-05-01;8;8.6;11;14.7;0;13.5
Feldberg/Mecklenburg;2024-05-01;7.1;9.4;18.5;24.4;0;12.283
Feldberg/Schwarzwald;2024-05-01;0.1;9.1;12.9;15.7;0;10.583
Feuchtwangen-Heilbronn;2024-05-01;3.8;7.2;16.6;24.3;0;NULL
Fichtelberg;2024-05-01;5.7;7;11.1;16.2;0;12.533
Fichtelberg/Oberfranken-Hüttstadl;2024-05-01;4.7;8.5;15.8;22.2;0;NULL
Frankfurt/Main;2024-05-01;8.4;12.1;20.6;27;0;11.517
Freiburg;2024-05-01;5.1;8.4;18.7;27.9;0;10.6
Freudenstadt;2024-05-01;5.9;9.4;17;22.8;0;12.317
Friesoythe-Altenoythe;2024-05-01;10.6;12.1;19.5;26;0;11.883
Fürstenzell;2024-05-01;10;13;18.4;23.5;0;13.883
Gardelegen;2024-05-01;6.6;9.3;19.7;27.2;0;13.183
Garmisch-Partenkirchen;2024-05-01;3.2;5;15.4;24.1;0;7.6
Geisenheim;2024-05-01;9.5;12.5;19.8;26.6;0;10.7
Gelbelsee;2024-05-01;7.8;11.6;17.4;22.4;0;13.167
Genthin;2024-05-01;5.7;12.2;19.4;26.2;0;13.45
Gera-Leumnitz;2024-05-01;6.7;11;18.1;25.4;0;12.65
Gießen/Wettenberg;2024-05-01;8.1;11.5;19.5;26.8;0;10.833
Goldberg;2024-05-01;6.9;10.7;18.4;24.8;0;NULL
Gottfrieding;2024-05-01;8.8;11.3;18.9;25.2;0;13.517
Greifswald;2024-05-01;5.4;7.7;13.5;19.4;0;13.117
Greifswalder Oie;2024-05-01;9.7;10.5;12.2;15.2;0;NULL
Groß Lüsewitz;2024-05-01;6.6;9.2;17;24.9;0;NULL
Großer Arber;2024-05-01;NULL;8.6;12.6;17;0;13.683
Grünow;2024-05-01;11.7;12.9;19.3;25;0;NULL
Gülzow-Prüzen;2024-05-01;6.9;8.3;17.2;25.6;0;NULL
Günzburg;2024-05-01;2.7;5.4;15.4;24.6;0;NULL
Görlitz;2024-05-01;9.1;13.3;20.4;24.8;0;13.133
Göttingen;2024-05-01;6.6;7.8;18.1;25.2;0;13.083
Hahn;2024-05-01;7.1;12;18.2;23.3;0;11.983
Hamburg-Fuhlsbüttel;2024-05-01;8.3;9.3;17.5;25.9;0;13.333
Hannover;2024-05-01;9.7;12.4;19.3;25.3;0;13.017
Harburg;2024-05-01;8.1;11.1;17.8;24.1;0;NULL
Harzgerode;2024-05-01;5.8;8.2;16.6;22.9;0;13.2
Hasenkrug-Hardebek;2024-05-01;6.1;7.5;16.5;25.9;0;NULL
Heckelberg;2024-05-01;7.9;12.4;19.8;25.3;0;NULL
Helgoland;2024-05-01;9.2;10.2;13.1;16.7;0;12.983
Hersfeld, Bad;2024-05-01;7.7;10;19.1;26.5;0;11.8
Hof;2024-05-01;8.2;12.1;17.1;22.5;0;12.8
Hohenpeißenberg;2024-05-01;10.4;14;17.3;23.3;0;8.983
Hoherodskopf/Vogelsberg;2024-05-01;11.4;13.8;18.3;22.5;0;11.3
Hoyerswerda;2024-05-01;7.6;14.7;20.7;25.6;0;NULL
Itzehoe;2024-05-01;6.9;8.1;16.4;24.3;0;NULL
Kahler Asten;2024-05-01;10.1;13.7;18.1;22;0;11.517
Kaisersbach-Cronhütte;2024-05-01;4.8;6.9;17.3;24.5;0;NULL
Kall-Sistig;2024-05-01;8.3;11.3;16.4;21.2;0;NULL
Kempten;2024-05-01;4;6;15.2;24;0;7.733
Kiel-Holtenau;2024-05-01;7.6;8.6;12.8;17.9;0;NULL
Kissingen, Bad;2024-05-01;9;11.7;18.7;25.8;0;11.833
Kleiner Feldberg/Taunus;2024-05-01;11.8;14.2;17.8;21.6;0;11.067
Klippeneck;2024-05-01;6.9;10.6;16.6;21.3;0;9.45
Konstanz;2024-05-01;6.5;7.8;18;26.5;0;10.983
Krölpa-Rockendorf;2024-05-01;11.7;13.8;19.5;25.1;0;NULL
Kyritz;2024-05-01;9.8;13.4;20;25.6;0;12.933
Köln/Bonn;2024-05-01;8.4;10.3;18.8;27;0;9.833
Königswinter-Heiderhof;2024-05-01;8.7;11.5;18.7;27;0;NULL
Lahr;2024-05-01;7.6;9.6;18.6;27.8;0;11.233
Langenlipsdorf;2024-05-01;10.7;12.7;20;26;0;NULL
Lauchstädt, Bad;2024-05-01;6.3;9.3;18.7;24.9;0;NULL
Lautertal-Oberlauter;2024-05-01;8.9;10.8;19;24.9;0;12.7
Leck;2024-05-01;8.3;9.5;15.1;21.8;0;12.683
Leinefelde;2024-05-01;8.6;12.6;18.4;23.6;0;13.7
Leipzig-Holzhausen;2024-05-01;7.6;11.3;19.1;25.4;0;NULL
Leipzig/Halle;2024-05-01;10;11.5;18.8;25;0;13.35
Leuchtturm Alte Weser;2024-05-01;NULL;10.9;14.9;22.2;NULL;13.283
Leutkirch-Herlazhofen;2024-05-01;1.4;3.9;14.1;24;0;NULL
Lichtenhain-Mittelndorf;2024-05-01;12.6;15.2;18.9;23.6;0;12.583
Lichtentanne;2024-05-01;7.1;9.2;18.4;24.1;0;NULL
Lindenberg;2024-05-01;13;14.7;21;26.2;0;12.867
Lingen-Baccum;2024-05-01;9.8;12.3;19.8;27.4;0;NULL
Lippspringe, Bad;2024-05-01;8.2;12;20.5;25.8;0;12.75
List auf Sylt;2024-05-01;8.9;10.3;15.6;21.8;0;13.583
Lübeck-Blankensee;2024-05-01;6.4;8;16.5;24.3;0;12.883
Lüchow;2024-05-01;7.1;9.7;19.9;26.5;0;13.3
Lüdenscheid;2024-05-01;9.1;10.9;19.4;26.2;0;9.983
Lügde-Paenbruch;2024-05-01;7.6;12.1;19.4;24.9;0;13.383
Magdeburg;2024-05-01;6.8;10.2;20;26.6;0;13.267
Mannheim;2024-05-01;7.1;9.3;19.2;27.8;0;11.3
Manschnow;2024-05-01;11;12.8;20.7;27.3;0;13.733
Marienberg, Bad;2024-05-01;9.2;11.6;19;23.7;0;11.833
Marnitz;2024-05-01;7;9.3;19;25.9;0;NULL
Meiningen;2024-05-01;8.8;14.2;19.5;25;0;10.683
Memmingen;2024-05-01;3.3;5.9;15.5;24;0;11.45
Meßstetten-Appental;2024-05-01;3.6;5.4;14.1;21.1;0.3;9.317
Michelstadt-Vielbrunn;2024-05-01;7.6;12.6;18.1;22.4;0;9.8
Mühlacker;2024-05-01;6.1;7.4;17.1;27.1;0;NULL
Mühldorf;2024-05-01;3.7;7;17.7;24.1;0;12.65
Müncheberg;2024-05-01;9.2;14;20.6;26.1;0;NULL
München-Flughafen;2024-05-01;4.3;7;16.6;23.6;0;11.833
