Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2023-08-01;13.7;14.6;16.8;21;9.6;3.083
Alfeld;2023-08-01;12.5;13.3;16.3;19.3;9.7;3.633
Andernach;2023-08-01;14.4;16;18.6;22.6;1.7;4.95
Angermünde;2023-08-01;13.6;14.9;17.6;21.5;3.6;2.95
Arkona;2023-08-01;14.4;15.1;17.1;20.3;6.1;4.283
Artern;2023-08-01;13.6;15;17.3;22.4;2.4;NULL
Augsburg;2023-08-01;12;13.9;17.4;20.3;3.8;2.817
Bamberg;2023-08-01;12.7;13.7;17.4;21.6;5.7;2.6
Barth;2023-08-01;14;15;17.3;21.1;1.2;3.35
Baruth;2023-08-01;13;14.8;18;22.2;4;NULL
Belm;2023-08-01;14.4;15;16.4;19.9;8.4;2.867
Berge;2023-08-01;14.3;15.7;17.8;21.9;7.2;3.4
Berlin-Dahlem (FU);2023-08-01;13.9;15.9;17.9;22.1;3.3;3.6
Berlin-Tempelhof;2023-08-01;14.9;16.1;18.2;22.8;5.2;NULL
Bertsdorf-Hörnitz;2023-08-01;11.2;13.1;16.8;22.7;6.7;3.1
Berus;2023-08-01;13.9;14.8;16.8;20.8;6.8;4.983
Boizenburg;2023-08-01;9.9;13.3;16.6;21.5;9.8;2.717
Boltenhagen;2023-08-01;14.4;14.9;16.8;21.5;5.2;3.533
Braunlage;2023-08-01;10.6;11.7;13.7;17.6;16.1;NULL
Braunschweig;2023-08-01;14.6;15.7;17.2;20.4;0.9;6.15
Bremen;2023-08-01;13.8;15.1;17;20.3;3;3.883
Bremerhaven;2023-08-01;15.4;15.5;17.1;19.2;5.8;3.717
Bremervörde;2023-08-01;14.2;14.7;16.4;19.6;8.6;3.733
Carlsfeld;2023-08-01;9.8;10.9;12.7;15.4;12.2;2.167
Chemnitz;2023-08-01;12.5;13.3;16.1;20.2;12.7;2.7
Chieming;2023-08-01;13.9;14.5;17.2;20.2;5.9;0.733
Cottbus;2023-08-01;12.3;14.2;18.4;22.3;3.2;2.7
Cuxhaven;2023-08-01;14.9;15.5;16.9;20.3;NULL;5.8
Deuselbach;2023-08-01;13;13.6;15.6;19.4;12.9;4.067
Diepholz;2023-08-01;13.7;14.8;16.8;20.4;5.1;3.383
Dresden-Klotzsche;2023-08-01;13.9;16;18.1;21.5;2.7;3.15
Düsseldorf;2023-08-01;13.7;15.1;17.6;21.6;1;4.6
Dörnick;2023-08-01;14.7;15.1;16.6;20;5.1;3.633
Dörpen;2023-08-01;13.7;14.8;16.7;20.6;1.4;4.2
Eisenach;2023-08-01;13.3;13.9;16.2;20.2;6.1;3.95
Elpersbüttel;2023-08-01;14.2;14.5;16.8;20;11.4;5.583
Emden;2023-08-01;13.9;15.2;16.7;19.7;4;2.467
Erfurt-Weimar;2023-08-01;12.4;13.6;16.1;20.6;17.5;NULL
Essen-Bredeney;2023-08-01;13.7;14.6;16.5;19.9;8.5;4.167
Fehmarn;2023-08-01;14.6;15.2;17;19.6;2.1;4.967
Feldberg/Mecklenburg;2023-08-01;13.4;14.5;16.8;20.5;8.8;2.65
Feldberg/Schwarzwald;2023-08-01;7.3;7.8;9.8;11.8;26;1.433
Feuchtwangen-Heilbronn;2023-08-01;10.7;12.6;16.4;20.3;7.8;4.283
Fichtelberg;2023-08-01;8.4;8.7;10.8;13.1;8.8;2.6
Fichtelberg/Oberfranken-Hüttstadl;2023-08-01;11.8;12.6;14.4;17.2;14.7;NULL
Frankfurt/Main;2023-08-01;14.2;15.6;18.5;23.6;4.4;5.083
Freudenstadt;2023-08-01;10.8;12.2;14.6;17.9;22.6;4.433
Friesoythe-Altenoythe;2023-08-01;14.1;14.7;16.4;19.7;5.2;NULL
Fürstenzell;2023-08-01;13.9;15.2;17;20;7.4;2.133
Gardelegen;2023-08-01;13.8;15.6;17.3;21.8;3;3.517
Garmisch-Partenkirchen;2023-08-01;11.4;12;16;21.2;2.1;0.767
Geisenheim;2023-08-01;15;16.2;18.5;22.6;3.2;5.983
Gelbelsee;2023-08-01;11.1;13;16.3;20;4.5;4.467
Genthin;2023-08-01;15;16;17.9;22.6;8.7;4.033
Gera-Leumnitz;2023-08-01;13.2;14;16.7;20.5;6.2;3.9
Gießen/Wettenberg;2023-08-01;13.2;13.9;16.9;21.9;2.5;4.95
Goldberg;2023-08-01;13.5;14.6;17;21.5;1;3.433
Gottfrieding;2023-08-01;12.1;14.4;17.1;21;4.3;3.367
Greifswald;2023-08-01;14.1;14.6;17;21;2.1;2.383
Greifswalder Oie;2023-08-01;15.1;15.6;17.6;20.1;7.1;1.8
Groß Lüsewitz;2023-08-01;13.1;14.7;16.8;20.3;6.9;NULL
Großer Arber;2023-08-01;NULL;7.2;9.6;10.5;10.2;0
Gülzow-Prüzen;2023-08-01;13.8;14.7;17.1;21.7;2.8;NULL
Günzburg;2023-08-01;11.2;13.9;17.5;21.6;2.4;NULL
Görlitz;2023-08-01;12.7;14.2;18.3;24.1;2.5;4.25
Göttingen;2023-08-01;13.8;15;17.6;22.6;4.6;4.217
Hahn;2023-08-01;11.9;13.3;15.1;19;3.8;3.167
Hamburg-Fuhlsbüttel;2023-08-01;14.2;14.8;16.6;19.6;10;3.4
Hannover;2023-08-01;14.4;14.6;17;20;4.2;5.083
Harburg;2023-08-01;10.1;13.1;17;21;6.4;5.55
Harzgerode;2023-08-01;11.6;12.8;15.7;20.4;2.7;4.617
Hasenkrug-Hardebek;2023-08-01;14.8;14.3;16.8;20.1;19.9;NULL
Helgoland;2023-08-01;14.3;15.3;17;18.5;5;6.333
Hersfeld, Bad;2023-08-01;12.7;13.7;16.8;21.7;1.5;3.117
Hof;2023-08-01;12.4;13.5;15.6;19.1;NULL;4.483
Hohenpeißenberg;2023-08-01;11.5;12.5;15.1;17.8;2.3;1.383
Hoherodskopf/Vogelsberg;2023-08-01;11;11;13;15.7;12.7;2.5
Holzdorf-Bernsdorf;2023-08-01;NULL;NULL;17.3;NULL;4.1;3.2
Hoyerswerda;2023-08-01;11.3;12.6;17.7;21.5;12.3;3.817
Itzehoe;2023-08-01;14.7;15.1;16.9;20.2;11.6;NULL
Kahler Asten;2023-08-01;10;9.9;11.5;13.7;6.6;1.183
Kaisersbach-Cronhütte;2023-08-01;10;12.6;16.8;20.7;10.1;5.367
Kall-Sistig;2023-08-01;12;12.7;14.5;17.6;5.2;NULL
Kempten;2023-08-01;10.8;13.5;16.7;20.1;5.2;1.767
Kiel-Holtenau;2023-08-01;14;15;16.3;18.9;9.8;NULL
Kissingen, Bad;2023-08-01;13.4;14.8;17.1;20.6;6.6;4.85
Kleiner Feldberg/Taunus;2023-08-01;10.2;10.8;12.4;15.5;15.2;2.533
Klippeneck;2023-08-01;9.9;11.2;13.9;16.6;14.3;1.2
Konstanz;2023-08-01;10.9;13.4;17.7;20;3.8;1.767
Krölpa-Rockendorf;2023-08-01;13.2;13.8;17.7;23.3;7.7;NULL
Kyritz;2023-08-01;13.6;14.8;17.1;21.5;3.9;4.25
Köln/Bonn;2023-08-01;14.2;14.8;17.5;22.2;0.8;2.533
Königswinter-Heiderhof;2023-08-01;13;14.5;17;21.7;2.5;NULL
Lahr;2023-08-01;16.2;17;20.2;24;8.1;6.017
Langenlipsdorf;2023-08-01;11.7;13.4;17.5;22.5;2.3;NULL
Lauchstädt, Bad;2023-08-01;14.1;15.7;18;22.4;2.1;4.6
Lautertal-Oberlauter;2023-08-01;13.6;14.4;16.8;20.4;10.3;3.5
Leck;2023-08-01;11.5;14;16.4;19.6;8.2;3.05
Leinefelde;2023-08-01;12.1;13.7;15.7;18.7;6.2;4.717
Leipzig-Holzhausen;2023-08-01;13.6;15.8;17.6;21.9;13.5;NULL
Leipzig/Halle;2023-08-01;14.1;15.4;17.9;22.7;1.9;4.517
Leuchtturm Alte Weser;2023-08-01;NULL;15.2;16.9;17.9;NULL;8.05
Leutkirch-Herlazhofen;2023-08-01;8.9;12.6;16.2;18.8;7.2;2.017
