Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2025-04-01;-3.2;1.1;7.5;14.3;0;8.733
Alfeld;2025-04-01;-3.2;-0.7;6.8;13.5;0;NULL
Andernach;2025-04-01;-5.1;-1;7.2;13.2;0;NULL
Angermünde;2025-04-01;-0.4;2.5;7.5;14.3;0;NULL
Arkona;2025-04-01;1.8;3.7;6.1;9;0;12.25
Artern;2025-04-01;-1.2;3.5;7.4;13.6;0;NULL
Augsburg;2025-04-01;-0.9;0.9;5.9;10.3;0.1;3.283
Bamberg;2025-04-01;-3.1;-1;7.3;13.8;0;8.167
Barth;2025-04-01;-5.2;-3.9;4.7;11.6;0;NULL
Baruth;2025-04-01;-0.5;0.9;8;14.5;0;NULL
Belm;2025-04-01;-3.2;0.6;7.3;13.4;0;10.167
Berge;2025-04-01;0;2.6;7.8;14.4;0;NULL
Berlin-Dahlem (FU);2025-04-01;0.6;5;9.3;14.4;0;9.283
Berlin-Tempelhof;2025-04-01;1;4.3;8.8;14.2;0;NULL
Bertsdorf-Hörnitz;2025-04-01;2.8;3.6;6.9;11.7;0;NULL
Berus;2025-04-01;0.5;2.5;6.9;10.8;0;8.1
Boizenburg;2025-04-01;-3;0.5;7.2;14.5;0;10.233
Boltenhagen;2025-04-01;2.4;4.6;6.6;9;0;11.85
Braunlage;2025-04-01;-0.5;1.8;5.1;9.2;0;NULL
Braunschweig;2025-04-01;-3.8;-0.3;7.3;14.1;0;9.717
Bremen;2025-04-01;-3.9;-2.7;7.5;15.2;0;11.2
Bremerhaven;2025-04-01;2.3;3.7;9.2;14.3;0;12
Bremervörde;2025-04-01;-5.1;-1.8;7;14.8;0;11.833
Carlsfeld;2025-04-01;-0.5;-0.5;1.6;4.9;0;NULL
Chemnitz;2025-04-01;-0.2;3.1;5.5;8.7;0;3.65
Chieming;2025-04-01;1.7;2.2;4.9;8.3;0.7;0.933
Cottbus;2025-04-01;1.9;4.2;8.3;13.8;0;8.25
Cuxhaven;2025-04-01;1.6;5.8;8.8;12.8;0;NULL
Deuselbach;2025-04-01;-3.1;1.8;5.9;9.2;0;6.85
Diepholz;2025-04-01;-3;1.4;8;14.5;0;10.017
Doberlug-Kirchhain;2025-04-01;-0.2;2.8;7.5;13;0;NULL
Dresden-Klotzsche;2025-04-01;0.6;4.1;7.1;11.8;0;6.117
Düsseldorf;2025-04-01;-4.2;0.9;8.7;15.1;0;NULL
Dörnick;2025-04-01;-3.3;-0.7;6.6;13.2;0;11.867
Dörpen;2025-04-01;1.5;1.7;8;15.6;0;NULL
Eisenach;2025-04-01;-0.4;2.3;6.3;10.9;0;NULL
Elpersbüttel;2025-04-01;-3.6;0.3;7.5;15.1;0;NULL
Emden;2025-04-01;-4;-0.5;7.2;14.6;0;11.45
Erfurt-Weimar;2025-04-01;-2.1;3.6;6.2;10.9;0;NULL
Essen-Bredeney;2025-04-01;1.3;3.1;8.8;14;0;11.833
Fehmarn;2025-04-01;2.9;5.2;7.3;10.1;0;NULL
Feldberg/Mecklenburg;2025-04-01;-0.4;1.7;6.7;13;0;NULL
Feldberg/Schwarzwald;2025-04-01;-4.6;-4.5;-2.3;0.3;0;3.017
Feuchtwangen-Heilbronn;2025-04-01;-6.6;-2.5;5.3;11.7;0;NULL
Fichtelberg;2025-04-01;-1.6;-2.5;-0.6;0.9;0;3.9
Fichtelberg/Oberfranken-Hüttstadl;2025-04-01;-0.9;0.9;4.5;10;0;NULL
Frankfurt/Main;2025-04-01;3.7;4.8;9.1;14.4;0.7;4.167
Freiburg;2025-04-01;-2.4;3;9.3;13.5;0;7.233
Freudenstadt;2025-04-01;-1;1;4;7.5;0;3.767
Friesoythe-Altenoythe;2025-04-01;1.2;1;7.8;15.2;0;9.933
Fürstenzell;2025-04-01;2.9;3.5;6.7;11.2;0;3.767
Gardelegen;2025-04-01;-5.7;-3.4;6.5;15.1;0;NULL
Garmisch-Partenkirchen;2025-04-01;0;0.4;3.1;6.3;1.9;0.467
Geisenheim;2025-04-01;-1.6;2.6;8.7;14;0;6.983
Gelbelsee;2025-04-01;0.3;1.8;5.6;9.6;0;NULL
Genthin;2025-04-01;-1.6;1.7;7.7;15;0;NULL
Gera-Leumnitz;2025-04-01;2.2;3.9;6.3;10.4;0;2.483
Gießen/Wettenberg;2025-04-01;-3.3;0.5;7;12.4;0;8.2
Goldberg;2025-04-01;-3.5;-1;7;14.6;0;NULL
Gottfrieding;2025-04-01;3;4;7.6;12.1;0;5.167
Greifswald;2025-04-01;-3.9;-0.5;5.4;11;0;NULL
Greifswalder Oie;2025-04-01;2.9;3.5;5.8;8.4;0;NULL
Groß Lüsewitz;2025-04-01;-4.2;-0.9;6.3;13.4;0;NULL
Großer Arber;2025-04-01;NULL;-3.1;-1.7;-0.4;0.2;2.933
Grünow;2025-04-01;-1.9;0.4;6.4;12.8;0;NULL
Gülzow-Prüzen;2025-04-01;-3;-1.3;7;14.2;0;NULL
Günzburg;2025-04-01;-1.9;0.2;6.1;10.4;0;NULL
Görlitz;2025-04-01;4;4.1;7.6;12.8;0;5.467
Göttingen;2025-04-01;-3.9;-2.1;6.2;12.7;0;8.533
Hahn;2025-04-01;-1.4;2;5.8;9.8;0;7.8
Hamburg-Fuhlsbüttel;2025-04-01;-4.4;-2;7.4;15;0;11.683
Hannover;2025-04-01;-4;-2;7.1;14.1;0;11.067
Harburg;2025-04-01;-0.8;1.3;6.1;10.8;0;NULL
Harzgerode;2025-04-01;-0.4;2.1;5.8;10.5;0;NULL
Hasenkrug-Hardebek;2025-04-01;-4.6;-1.1;6.9;15.1;0;NULL
Heckelberg;2025-04-01;0.2;2.8;7.7;13.4;0;NULL
Helgoland;2025-04-01;3.5;6;7.7;10.1;0;12.15
Hersfeld, Bad;2025-04-01;-1.9;0.9;6.9;12.2;0;6.533
Hof;2025-04-01;-0.7;2.1;4.7;9.2;0;7.417
Hohenpeißenberg;2025-04-01;-0.4;-0.6;1.3;4.1;2.1;1.317
Hoherodskopf/Vogelsberg;2025-04-01;-1.4;0.4;3.5;8.8;0;5.633
Hoyerswerda;2025-04-01;0.9;3;8;13.1;0;NULL
Itzehoe;2025-04-01;-4.8;-1.7;7.1;14.7;0;NULL
Kahler Asten;2025-04-01;-2;-0.6;2.9;6.4;0;4.7
Kaisersbach-Cronhütte;2025-04-01;-3.4;-0.6;5.4;10.6;0;NULL
Kall-Sistig;2025-04-01;-5.2;-1.4;4.7;10.2;0;NULL
Kaufbeuren-Oberbeuren Bayern;2025-04-01;0;0;2.9;5.7;0.7;NULL
Kempten;2025-04-01;0.5;1.4;4;6.7;0.9;1.217
Kiel-Holtenau;2025-04-01;-4.1;0.3;7;11.8;0;NULL
Kissingen, Bad;2025-04-01;0;3.8;7.1;12.3;0.2;5.783
Kleiner Feldberg/Taunus;2025-04-01;-1.4;-0.1;2.9;7.6;0;5.117
Klippeneck;2025-04-01;-1.8;-0.4;2.7;6.2;0;4.917
Konstanz;2025-04-01;-0.6;1.6;7;10.7;0;9.083
Krölpa-Rockendorf;2025-04-01;-1.4;0.4;5.8;10.6;0;NULL
Kyritz;2025-04-01;-2.2;1;7.7;14.6;0;8.483
Köln/Bonn;2025-04-01;-4.7;-1.6;7.6;14.5;0;10.317
Königswinter-Heiderhof;2025-04-01;-4.1;0.3;7.6;13;0;NULL
Lahr;2025-04-01;0.1;3.3;9.4;13.7;0;NULL
Langenlipsdorf;2025-04-01;3;4.2;8.4;13.7;0;NULL
Lauchstädt, Bad;2025-04-01;-2;4;7.6;13;0;NULL
Lautertal-Oberlauter;2025-04-01;2.6;3.3;7.1;11.3;0;9.233
