Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2023-02-01;3.1;4.6;5.9;7.5;5.9;0.1
Alfeld;2023-02-01;0.9;1.8;4.8;6.2;7.6;0.1
Andernach;2023-02-01;1.1;4.8;7;8.7;1.4;0.4
Angermünde;2023-02-01;1.8;2.2;3.7;5.3;6;0.6
Arkona;2023-02-01;3;3.3;4.2;5.3;2.5;3.1
Artern;2023-02-01;-0.4;1;4.5;7.3;4.2;NULL
Augsburg;2023-02-01;0.8;2.2;3.7;4.6;0.1;0
Bamberg;2023-02-01;1.9;2.4;5.1;6.3;15.9;0.9
Barth;2023-02-01;1.3;2;4.4;5.5;7;1.2
Baruth;2023-02-01;1.7;2.9;4.5;6.3;4;NULL
Belm;2023-02-01;2.3;4;5.3;6.2;2.7;0.2
Berge;2023-02-01;0;0.9;4.2;6.4;7.2;0.1
Berlin-Dahlem (FU);2023-02-01;0.7;1.9;4.4;6.3;8.4;0.2
Berlin-Tempelhof;2023-02-01;1.3;1.8;4.6;6.5;6.8;NULL
Bertsdorf-Hörnitz;2023-02-01;-0.1;1.8;3.2;4.6;5.9;0.2
Berus;2023-02-01;2.5;3.3;4.2;6.5;0.2;0.9
Boizenburg;2023-02-01;-1.2;1.1;4.1;6.1;13.1;0.5
Boltenhagen;2023-02-01;0.8;1.8;4.7;7.2;4.1;1.5
Braunlage;2023-02-01;0.1;-0.2;0.9;1.5;19;NULL
Braunschweig;2023-02-01;1.4;2.6;4.8;6.8;5.2;0.2
Bremen;2023-02-01;2.4;2.7;5.6;6.9;5.4;1.3
Bremerhaven;2023-02-01;2.4;2.8;5.6;6.6;6.9;0.9
Bremervörde;2023-02-01;1.6;2;5.1;6.6;11.2;0.3
Carlsfeld;2023-02-01;-0.3;-1.8;-1.1;-0.6;12.7;0
Chemnitz;2023-02-01;-0.5;0;2.6;4.3;3.5;0
Chieming;2023-02-01;0.9;2.1;4.1;5.2;0.6;0
Cottbus;2023-02-01;1.6;3.1;4.4;6.3;3.6;0.4
Cuxhaven;2023-02-01;3.3;4;6.1;7;2.1;1.2
Deuselbach;2023-02-01;1.8;2.8;3.8;5;0.2;1.2
Diepholz;2023-02-01;0;0.8;5.3;6.6;10.6;0.5
Doberlug-Kirchhain;2023-02-01;1.8;3.2;4.4;6.2;3;0.3
Dresden-Klotzsche;2023-02-01;0.5;1.3;3.9;5.7;4;0
Düsseldorf;2023-02-01;3.3;5.1;6.9;8.4;0.3;0
