Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2025-02-01;-6.5;-3.5;0.2;6.8;0;7.867
Alfeld;2025-02-01;-5.4;-4.1;-0.5;4.9;0;NULL
Andernach;2025-02-01;-7.5;-3.8;-0.8;5.9;0;NULL
Angermünde;2025-02-01;0.7;1.6;3.1;5.4;0.4;NULL
Arkona;2025-02-01;1.3;2.5;3.6;4.3;0.7;0
Artern;2025-02-01;-7.1;-3.7;-1.4;0.7;0;NULL
Augsburg;2025-02-01;-7.2;-4.3;-1;3.7;0;3.033
Bamberg;2025-02-01;-8.9;-5.7;-1.3;5;0;8.467
Barth;2025-02-01;0.4;2;3.9;5.9;2.1;NULL
Baruth;2025-02-01;-3.6;-0.5;2.5;5.2;0;NULL
Belm;2025-02-01;-7.1;-4.2;-0.3;5.1;0;7.383
Berge;2025-02-01;-1.4;0.8;2.6;4.6;0;0
Berlin-Dahlem (FU);2025-02-01;-2.8;0;2.8;5;0;0.083
Berlin-Tempelhof;2025-02-01;-2.6;0.3;3.1;5.5;0;NULL
Bertsdorf-Hörnitz;2025-02-01;-1.9;0;1.9;3.8;0;NULL
Berus;2025-02-01;-2.9;-2;0.2;3.9;0;8.35
Boizenburg;2025-02-01;-1.4;-1.5;2;5.9;0;3.6
Boltenhagen;2025-02-01;-1.6;-0.9;3.2;6;0;0
Braunlage;2025-02-01;-8.6;-4.6;-2.1;1.7;0;NULL
Braunschweig;2025-02-01;-3.8;-1.3;0.7;3.7;0;0.633
Bremen;2025-02-01;-4.2;-3.6;-0.8;1.7;0;0
Bremerhaven;2025-02-01;-2.2;-2.4;-0.2;1.5;0;0
Bremervörde;2025-02-01;-5.1;-2.3;-0.8;0.6;0;0
Carlsfeld;2025-02-01;-7.2;-8.2;-5;-1.1;0;4.583
Chemnitz;2025-02-01;-3.1;-2.3;0.5;3;0;2.483
Chieming;2025-02-01;-0.7;-0.3;0.9;2.3;0;0
Cottbus;2025-02-01;-3.5;-1.2;2.9;5.4;0;0
Cuxhaven;2025-02-01;-0.8;-1.1;0.5;2.5;0;NULL
Deuselbach;2025-02-01;-5.8;-1.8;0;2.4;0;8.317
Diepholz;2025-02-01;-5.2;-3.6;-0.2;5.9;0;7.083
Doberlug-Kirchhain;2025-02-01;1.1;1.7;3.1;4.8;0;NULL
Dresden-Klotzsche;2025-02-01;0.8;1.5;2.6;4;0;0
Düsseldorf;2025-02-01;-7.3;-4.3;1;6.8;0;NULL
Dörnick;2025-02-01;-1.6;0.1;2.3;3.8;0;2.883
Dörpen;2025-02-01;-5.3;-2.8;0.6;7;0;NULL
Eisenach;2025-02-01;-7.1;-5.2;-1.7;2.7;0;NULL
Elpersbüttel;2025-02-01;-1;-1.1;1.6;4.3;0;NULL
Emden;2025-02-01;-5.3;-4.1;-0.1;5.4;0;3.95
Erfurt-Weimar;2025-02-01;-9.1;-6.2;-1.8;2.8;0;NULL
Essen-Bredeney;2025-02-01;-4.8;-1.4;2.1;5.9;0;8.683
Fehmarn;2025-02-01;2.3;2.6;3.8;4.7;0;NULL
Feldberg/Mecklenburg;2025-02-01;0.7;1.3;2.6;4.5;0.8;NULL
Feldberg/Schwarzwald;2025-02-01;-7.3;-7.2;-2.6;1.8;0;7.7
Feuchtwangen-Heilbronn;2025-02-01;-8.4;-4.5;-1.2;3.6;0;NULL
Fichtelberg;2025-02-01;0.1;-7.5;-5.9;-3.4;0;3.517
Fichtelberg/Oberfranken-Hüttstadl;2025-02-01;-9;-6.2;-2.8;1.6;0;NULL
Frankfurt/Main;2025-02-01;-5.5;-3.2;1.4;6.3;0;8.167
Freiburg;2025-02-01;-6.1;-3.5;1.5;5;0;3.883
Freudenstadt;2025-02-01;-6.3;-4.5;-2.1;1;0;7.967
Friesoythe-Altenoythe;2025-02-01;-3.8;-2.7;-0.1;6.4;0;4.15
Fürstenzell;2025-02-01;-4.3;-3.2;0.1;4.9;0;7.367
Gardelegen;2025-02-01;-4.6;-2.5;-0.2;1.8;0;NULL
Garmisch-Partenkirchen;2025-02-01;-0.3;-0.8;0.6;2.6;0;1.1
Geisenheim;2025-02-01;-5.3;-2.8;1;6.1;0;8.967
Gelbelsee;2025-02-01;-5.9;-3.1;-0.5;3;0;NULL
Genthin;2025-02-01;-5;-2.3;1.1;6.1;0;0.767
Gera-Leumnitz;2025-02-01;-4.1;-2.6;0;4;0;1.5
Gießen/Wettenberg;2025-02-01;-7;-4.4;-0.7;4.3;0;8.183
Goldberg;2025-02-01;0.4;1.6;3.2;5.3;0;NULL
Gottfrieding;2025-02-01;-8.3;-5.8;-1.3;4.9;0;9.017
Greifswald;2025-02-01;1.1;2.8;3.8;5.4;0.3;NULL
Greifswalder Oie;2025-02-01;1.9;2.7;3.3;3.9;0.1;NULL
Groß Lüsewitz;2025-02-01;1.1;2.1;3.8;6;0.9;NULL
Großer Arber;2025-02-01;NULL;-8.2;-5.2;-2;0;9.167
Grünow;2025-02-01;1.2;2.1;3.3;5.1;0.6;NULL
Gülzow-Prüzen;2025-02-01;-0.4;1.6;3.4;5.6;0;NULL
Günzburg;2025-02-01;-5.7;-3.4;-0.5;3;0;NULL
Görlitz;2025-02-01;-2.8;-1.1;2.2;4;0;0
Göttingen;2025-02-01;-6.7;-5.1;-1.3;3.9;0;3.117
Hahn;2025-02-01;-6.5;-3.6;-0.9;2.7;0;9.1
Hamburg-Fuhlsbüttel;2025-02-01;-2.9;-1.1;1;2.8;0;0
Hannover;2025-02-01;-5.8;-4.4;0.3;7.3;0;5.433
Harburg;2025-02-01;-5.6;-3.1;0.1;4.3;0;NULL
Harzgerode;2025-02-01;-6.4;-5.2;-1.9;2.1;0;NULL
Hasenkrug-Hardebek;2025-02-01;-1.5;-0.9;1.2;2.3;0;NULL
Heckelberg;2025-02-01;0.1;1.3;2.9;4.7;0.1;NULL
Helgoland;2025-02-01;1.6;2.2;4.3;5.4;0;0.267
Hersfeld, Bad;2025-02-01;-6;-5.1;-1.7;4.3;0;4.633
Hof;2025-02-01;-9.8;-7.4;-3;1.9;0;5.267
Hohenpeißenberg;2025-02-01;-2.5;-2.7;-2.2;-1.6;0;0
Hoherodskopf/Vogelsberg;2025-02-01;-7.2;-4.6;-2.8;0.1;0;8.65
Hoyerswerda;2025-02-01;-1.7;0.3;2.7;4.8;0;NULL
Itzehoe;2025-02-01;-0.8;-1;1.3;3;0;NULL
Kahler Asten;2025-02-01;-11.5;-5;-3.1;-1.2;0;8.15
Kaisersbach-Cronhütte;2025-02-01;-6.9;-3.6;-1.2;3.6;0;NULL
Kall-Sistig;2025-02-01;-7.9;-4.6;-1.6;2.4;0;NULL
Kaufbeuren-Oberbeuren Bayern;2025-02-01;-3.1;-1.8;-1.2;-0.6;0;NULL
Kempten;2025-02-01;-0.3;-0.2;0.2;1.2;0;0
Kiel-Holtenau;2025-02-01;-2;1;3;5.6;0;NULL
Kissingen, Bad;2025-02-01;-7.7;-4.9;-1;4.1;0;8.6
Kleiner Feldberg/Taunus;2025-02-01;-5.5;-4.6;-2.8;-0.7;0;7.05
Klippeneck;2025-02-01;-5.2;-4;-3;-1.8;0;0.567
Konstanz;2025-02-01;1.2;1.2;1.8;2.8;0;0
Krölpa-Rockendorf;2025-02-01;-8.3;-5.8;-1.7;3.9;0;NULL
Kyritz;2025-02-01;-1.2;-0.2;2.5;5.2;0;0
Köln/Bonn;2025-02-01;-8;-6.3;0.1;5.9;0;8.25
Königswinter-Heiderhof;2025-02-01;-6.4;-3;0.6;5.1;0;NULL
Lahr;2025-02-01;-5.5;-4.2;0.4;5.9;0;NULL
Langenlipsdorf;2025-02-01;-3.8;-1;2.1;4.3;0;NULL
Lauchstädt, Bad;2025-02-01;-2.6;0.2;1.7;3.6;0;NULL
Lautertal-Oberlauter;2025-02-01;-7.1;-5.3;-0.9;3.7;0;8.133
Leck;2025-02-01;-3;0.4;2.9;6.6;0;3.433
Leinefelde;2025-02-01;-6.2;-4.1;-0.7;3.1;0;0.917
Leipzig-Holzhausen;2025-02-01;-0.5;0.7;2.4;4.3;0;NULL
Leipzig/Halle;2025-02-01;-3;0.9;2;3.7;0;0
Leutkirch-Herlazhofen;2025-02-01;-0.3;-0.2;0.2;1;0;NULL
Lichtenhain-Mittelndorf;2025-02-01;-1.5;-1.2;1.1;3;0;NULL
Lichtentanne;2025-02-01;-6.5;-3.9;-0.2;3.8;0;NULL
Lindenberg;2025-02-01;-3.4;-0.9;2.3;4.9;0;0.217
Lingen-Baccum;2025-02-01;-5;-2.4;1.2;5.8;0;NULL
Lippspringe, Bad;2025-02-01;-7.4;-4.1;-0.2;5.7;0;6.767
List auf Sylt;2025-02-01;0.1;2.2;4.3;7.3;0;7.5
