Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2023-12-01;-4.8;-3;-1.4;0.1;0;0
Alfeld;2023-12-01;-1.6;-3;-2.4;-1.8;0;0
Angermünde;2023-12-01;-16.7;-13.1;-7.7;-2.2;0;6.9
Arkona;2023-12-01;-4.2;-1.6;-0.4;0.8;5.1;0
Artern;2023-12-01;-2.2;-4;-2.9;-1.4;0;NULL
Augsburg;2023-12-01;0;-0.9;-0.1;0.4;21.4;0
Bamberg;2023-12-01;-1.2;-1.1;0.2;1.3;2.3;0
Barth;2023-12-01;-6.8;-9.1;-3.4;2;0.2;NULL
Baruth;2023-12-01;-11;-8;-3.9;-1.2;0;NULL
Belm;2023-12-01;-4.4;-3.6;-2.6;-1.2;0;0
Berge;2023-12-01;-10.1;-9.7;-6.5;-4.3;0;0
Berlin-Dahlem (FU);2023-12-01;-10;-6.2;-4.8;-2.3;0;5.5
Berlin-Tempelhof;2023-12-01;-14.1;-8.5;-5;0.3;0;NULL
Bertsdorf-Hörnitz;2023-12-01;-10;-7.6;-3.1;-1;2.2;0
Berus;2023-12-01;-1.9;-1.9;-0.5;0.6;0;0
Boizenburg;2023-12-01;-11.9;-7;-2.8;-0.6;0.1;4.8
Boltenhagen;2023-12-01;-1.4;-5.4;-0.6;1;0.3;2.7
Braunlage;2023-12-01;-1;-11.5;-7.3;-5;0;NULL
Braunschweig;2023-12-01;-4.2;-2.9;-2.1;-1.5;0;1.2
Bremen;2023-12-01;-7.5;-6.1;-2.8;-1.6;0;0.2
Bremerhaven;2023-12-01;-7.3;-6.6;-2;1.3;0.4;4.9
Bremervörde;2023-12-01;-6.5;-6.9;-3.4;-1;0.4;3.2
Carlsfeld;2023-12-01;-0.1;-6.2;-4.6;-3.5;1.9;0
Chemnitz;2023-12-01;-3.7;-4.5;-2.5;-1.7;0.1;0
Chieming;2023-12-01;0;-0.4;0.4;1.4;37.3;0
Cottbus;2023-12-01;-4;-5.3;-2.4;-1;0;0
Cuxhaven;2023-12-01;-9.6;-5;-0.5;2;0;5.6
Deuselbach;2023-12-01;-3.8;-3.8;-1.8;-0.2;0;0
Diepholz;2023-12-01;-7.6;-5.9;-2.7;-1.5;0;0.7
Doberlug-Kirchhain;2023-12-01;-6.9;-6.4;-2.7;-1.5;0.6;0
Dresden-Klotzsche;2023-12-01;-2.7;-3.2;-1.7;-0.5;0.1;0
Düsseldorf;2023-12-01;-2.1;-1.7;-0.2;0.7;0;0
Dörnick;2023-12-01;-10.8;-12.4;-4.6;-1.8;0.4;0.9
Dörpen;2023-12-01;-6.5;-5;-2.5;-1.1;0;1.2
Eisenach;2023-12-01;-3.7;-4.8;-3.1;-1.7;0;0
Elpersbüttel;2023-12-01;-7.9;-11.5;-5.4;-2.2;0.1;5.6
Emden;2023-12-01;-8.4;-6.1;-2.9;-0.7;0.2;3.7
Erfurt-Weimar;2023-12-01;-3;-5.1;-3.8;-2.1;0.1;NULL
Essen-Bredeney;2023-12-01;-2.3;-2.4;-1.2;-0.1;0;0
Fehmarn;2023-12-01;-3.5;-1.5;0;0.6;0.1;0.7
Feldberg/Mecklenburg;2023-12-01;-9.8;-13.6;-8.4;-5.6;0;5.8
Feldberg/Schwarzwald;2023-12-01;-0.2;-4.3;-1.9;0;5.5;0
Feuchtwangen-Heilbronn;2023-12-01;-1.6;-2.7;-0.6;0.1;6.7;0
Fichtelberg;2023-12-01;-0.3;-7.7;-5.7;-4.2;3.9;0
Fichtelberg/Oberfranken-Hüttstadl;2023-12-01;-4.7;-4.4;-2.5;-0.9;3.4;NULL
Frankfurt/Main;2023-12-01;-1.2;-1.1;1.1;2.3;0;0
Freudenstadt;2023-12-01;-0.1;-2.7;-1.3;-0.3;3.8;0
Friesoythe-Altenoythe;2023-12-01;-5.8;-4.9;-2.9;-1.8;0.3;0.2
Fürstenzell;2023-12-01;-1.1;-1.6;-0.6;0.7;31.5;0
Gardelegen;2023-12-01;-5.1;-3.8;-2.7;-1.8;0;0
Garmisch-Partenkirchen;2023-12-01;-0.2;-0.3;0.4;1.1;42.7;0
Geisenheim;2023-12-01;-1;-0.9;1.2;2.2;0;0
Gelbelsee;2023-12-01;-0.2;-1.8;-1;-0.4;7.1;0
Genthin;2023-12-01;-6.6;-5.4;-4.3;-3.2;0;0
Gera-Leumnitz;2023-12-01;-4;-4.4;-2.8;-1.3;0.6;0
Gießen/Wettenberg;2023-12-01;-3.5;-3.2;-0.8;0.2;0;0
Goldberg;2023-12-01;-5.5;-9.4;-4.3;-2.2;0;NULL
Gottfrieding;2023-12-01;-0.6;-0.7;-0.3;0.5;30.1;0
Greifswald;2023-12-01;-3.3;-7.7;-5.2;-2.6;0;3
Greifswalder Oie;2023-12-01;-2.8;-1.9;-0.3;1.8;0;NULL
Groß Lüsewitz;2023-12-01;-12.6;-7.7;-4.2;-1;0;NULL
Großer Arber;2023-12-01;NULL;-6.4;-3.7;-2.6;17.2;0
Grünow;2023-12-01;-14;-11;-7.6;-4.6;0;NULL
Gülzow-Prüzen;2023-12-01;-6.7;-4.9;-3.2;-0.7;0;NULL
Günzburg;2023-12-01;0;-0.2;0.3;0.6;14.5;NULL
Görlitz;2023-12-01;-0.8;-3.1;-2;-0.9;0;0
Göttingen;2023-12-01;-3.3;-2.8;-2.2;-1.1;0;0
Hahn;2023-12-01;-1.3;-4.3;-2.4;-0.9;0;0
Hamburg-Fuhlsbüttel;2023-12-01;-8;-8.5;-3.5;0.1;1.3;5
Harburg;2023-12-01;-0.6;-1.1;-0.3;0.7;15.4;NULL
Harzgerode;2023-12-01;-1.6;-5.9;-5.1;-3.4;0;0
Hasenkrug-Hardebek;2023-12-01;-6;-10;-4.7;-1;0.9;NULL
Heckelberg;2023-12-01;-18.3;-14.8;-9.6;-3.7;0;NULL
Helgoland;2023-12-01;-1;0.9;1.4;2.2;0;1.1
