Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2023-06-01;9.8;9.9;12.3;17.6;0;4.083
Alfeld;2023-06-01;8.4;9;11.6;14.5;0;0.033
Andernach;2023-06-01;6.4;10.5;17.6;23.5;0;14.483
Angermünde;2023-06-01;7.2;9.5;15;20.9;0;8.45
Arkona;2023-06-01;9.1;10.8;13;16;0;7.867
Artern;2023-06-01;4.3;8.8;15.4;24;0;NULL
Augsburg;2023-06-01;7;10.2;17.9;25.1;0;13.217
Bamberg;2023-06-01;4.2;6.9;18.4;27;0;13.933
Barth;2023-06-01;3.7;7;13.2;17.2;0;7.25
Baruth;2023-06-01;7;8.8;16.5;24.1;0;NULL
Belm;2023-06-01;9.2;9.4;11.2;14.7;0;0.217
Berge;2023-06-01;7.3;9.4;14.9;21.1;0;11.1
Berlin-Dahlem (FU);2023-06-01;8.3;10.8;16;21.9;0;12.6
Berlin-Tempelhof;2023-06-01;10.2;11.1;16.6;22.7;0;NULL
Bertsdorf-Hörnitz;2023-06-01;3.5;5.5;16.3;25.1;0;14.6
Berus;2023-06-01;12.2;13.6;20;26.7;0;14.55
Boizenburg;2023-06-01;7.1;8.4;12.4;17.2;0;7.583
Boltenhagen;2023-06-01;8.7;10;13.5;19.1;0;7.917
Braunlage;2023-06-01;3.7;5.6;13.8;20.5;0;NULL
Braunschweig;2023-06-01;8.4;9.6;12.4;16.8;0;NULL
Bremen;2023-06-01;9.5;9.8;11.9;14;0;0.2
Bremerhaven;2023-06-01;10.9;11.2;11.8;12.6;0;0.033
Bremervörde;2023-06-01;9.7;9.9;11.4;13.7;0;0.317
Carlsfeld;2023-06-01;2.4;5.7;13.7;21;0;14.317
Chemnitz;2023-06-01;8;9.4;15.7;21.5;0;14.55
Chieming;2023-06-01;7.6;9.7;17.4;24.3;0;13.583
Cottbus;2023-06-01;5.9;8.6;17.4;24.7;0;14.35
Cuxhaven;2023-06-01;9.3;10.5;11.4;12.8;0;0.25
Deuselbach;2023-06-01;6.5;10.7;17.3;22.8;0;14.717
Diepholz;2023-06-01;9.9;10.1;11.9;15.2;0;0.183
Doberlug-Kirchhain;2023-06-01;5.5;8.4;16.3;23.4;0;14.783
Dresden-Klotzsche;2023-06-01;7.4;9.8;17;23.1;0;14.5
Düsseldorf;2023-06-01;9.4;10.6;15.2;20.6;0;12.1
Dörnick;2023-06-01;6.4;8.4;12.7;17.7;0;8.767
Dörpen;2023-06-01;10.1;10.4;11.7;13.7;0.1;0
Eisenach;2023-06-01;3.9;8.6;15.3;22.3;0;14.617
Elpersbüttel;2023-06-01;7;9.4;11.4;13.3;0;0.95
Emden;2023-06-01;7.3;9.5;11.2;12.9;0.1;0
Erfurt-Weimar;2023-06-01;4.8;7.4;14.7;22.4;0;14.8
Essen-Bredeney;2023-06-01;9.7;9.6;14.1;18.8;0;11.8
Fehmarn;2023-06-01;11.1;11;13.4;16.3;0;8.433
Feldberg/Mecklenburg;2023-06-01;6.7;9.8;13.8;19.4;0;8.9
Feldberg/Schwarzwald;2023-06-01;7.7;10.4;13;15.8;0;11.783
Feuchtwangen-Heilbronn;2023-06-01;4.2;7.8;17.6;24.9;0;13.1
Fichtelberg;2023-06-01;5.8;6.4;13.2;18.8;0;14.917
Fichtelberg/Oberfranken-Hüttstadl;2023-06-01;4.3;7.4;16.6;25;0;NULL
Frankfurt/Main;2023-06-01;11.8;13.3;21;28.3;0;14.117
Freiburg;2023-06-01;6.2;9.3;19.3;27.2;0;14.3
Freudenstadt;2023-06-01;6.3;11.4;17.4;22.9;0;14.533
Friesoythe-Altenoythe;2023-06-01;5.8;8.1;11.6;14;0.1;NULL
Fürstenzell;2023-06-01;9.8;12;19;25.1;0;14.583
Gardelegen;2023-06-01;3.5;6.4;14.7;21.7;0;10.967
Garmisch-Partenkirchen;2023-06-01;6.7;7.6;15.4;24.4;0.9;9.7
Geisenheim;2023-06-01;9.3;13.2;20.5;27;0;13.967
Gelbelsee;2023-06-01;6.8;11.7;18.4;24.4;0;12.433
Genthin;2023-06-01;8.1;9.5;15.6;22.6;0;11.05
Gera-Leumnitz;2023-06-01;5;8.1;15.8;24;0;14.383
Gießen/Wettenberg;2023-06-01;6.2;10;17.5;26.1;0;14.467
Goldberg;2023-06-01;7.9;9.5;13.8;19.3;0;7.817
Gottfrieding;2023-06-01;5.8;9.1;18.2;25.4;0;14.3
Greifswalder Oie;2023-06-01;11.5;11.5;14.1;16.4;0;7.633
Groß Lüsewitz;2023-06-01;6.6;9;13.4;17.1;0;NULL
Großer Arber;2023-06-01;NULL;9.3;13.5;18.6;0;12.483
Gülzow-Prüzen;2023-06-01;7;9.2;13.7;18.5;0;NULL
Günzburg;2023-06-01;4.8;8;17.8;25.8;0;NULL
Görlitz;2023-06-01;6.3;9.6;17.8;24.2;0;14.617
Göttingen;2023-06-01;3.8;5.1;12.4;18.2;0;9.167
Hahn;2023-06-01;7.1;9.8;16.5;21.9;0;14.917
Hamburg-Fuhlsbüttel;2023-06-01;7.9;9.7;12.1;15.3;0;4.433
Hannover;2023-06-01;9.3;9.9;11.9;15.5;0;1.917
Harburg;2023-06-01;8.8;11.3;18.8;25.8;0;12.983
Harzgerode;2023-06-01;3.7;6.7;11.5;17.1;0;13.95
Hasenkrug-Hardebek;2023-06-01;5.7;8.9;12.2;16.3;0;NULL
Heckelberg;2023-06-01;4.8;7.6;14.7;21.8;0;12.5
Helgoland;2023-06-01;9.1;10;11.2;13.2;0;1.483
Hersfeld, Bad;2023-06-01;4.9;7.3;16.2;24.7;0;14.983
Hof;2023-06-01;2.4;8.2;16.4;23.4;0;15
Hohenpeißenberg;2023-06-01;8;11.3;16.4;21.6;0;12.133
Hoherodskopf/Vogelsberg;2023-06-01;6.5;7.1;15.1;21;0;14.8
Holzdorf-Bernsdorf;2023-06-01;NULL;NULL;16.5;NULL;0;13.9
Hoyerswerda;2023-06-01;2.9;6.7;17.4;25.4;0;14.067
Itzehoe;2023-06-01;8.2;9.5;11.8;14.9;0;NULL
Kahler Asten;2023-06-01;3.6;5.4;12.2;17.3;0;14.5
Kaisersbach-Cronhütte;2023-06-01;5.4;10.1;18.1;25.1;0;14.05
Kall-Sistig;2023-06-01;5.2;8.1;13.9;19;0;13.8
Kempten;2023-06-01;6.6;8;15.6;24.1;0;11.55
Kiel-Holtenau;2023-06-01;4.8;7.3;13.1;18.1;0;NULL
Kissingen, Bad;2023-06-01;7.3;10;18.6;27.2;0;14.533
Kleiner Feldberg/Taunus;2023-06-01;5.7;6.5;15.8;21.9;0;13.883
Klippeneck;2023-06-01;9.7;11.2;17.1;22.9;0;12.1
Konstanz;2023-06-01;9.1;10.2;18.7;27;0;13.9
Krölpa-Rockendorf;2023-06-01;5.7;7.2;17;25.8;0;NULL
Kyritz;2023-06-01;8.7;10;14.8;21;0;10.25
Köln/Bonn;2023-06-01;7.8;9.8;16.2;22.5;0;13.967
Königswinter-Heiderhof;2023-06-01;8.2;10.2;16.1;21.7;0;NULL
Lahr;2023-06-01;6.5;9.7;19.3;27.3;0;14.867
Langenlipsdorf;2023-06-01;7.2;9.8;16.1;23;0;NULL
Lauchstädt, Bad;2023-06-01;5.9;9.1;14.9;21.6;0;14.9
