Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2023-09-01;7;9.4;14.7;17.9;0.5;0.133
Alfeld;2023-09-01;7.2;8.6;13.9;18.5;0.5;3.417
Andernach;2023-09-01;10.6;13;16.6;21.4;7.5;0.233
Angermünde;2023-09-01;6.8;9.9;14.7;20.7;0;6.6
Arkona;2023-09-01;12.3;12.9;15.9;18.9;0;7.65
Artern;2023-09-01;7.5;10.2;14.9;19.6;2.3;NULL
Augsburg;2023-09-01;11.3;12.8;17.5;23.4;0.2;6.267
Bamberg;2023-09-01;12.7;12.8;16;20;7;0.333
Barth;2023-09-01;7.2;12;15.6;20;0.4;7.25
Baruth;2023-09-01;5.2;7.9;15.6;22.1;0;NULL
Belm;2023-09-01;8.3;10.1;14.5;17.9;0;2.183
Berge;2023-09-01;8.4;9.8;15.1;20.4;0;7.6
Berlin-Dahlem (FU);2023-09-01;7.2;9;14.8;20.8;0;8
Berlin-Tempelhof;2023-09-01;8.6;10;15.5;21.6;0;NULL
Bertsdorf-Hörnitz;2023-09-01;6.8;8.4;15;20.1;2.6;6.9
Berus;2023-09-01;13.3;14.7;16.9;20.9;0.6;1.133
Boizenburg;2023-09-01;9.2;10.6;15;19.3;0;9.367
Boltenhagen;2023-09-01;9.7;11.7;15.7;20.9;0.2;6.633
Braunlage;2023-09-01;4.5;6.8;11.9;15.8;0.5;NULL
Braunschweig;2023-09-01;6.8;10.2;15.1;19.5;0.3;NULL
Bremen;2023-09-01;4.6;6.5;14;20;0;6.5
Bremerhaven;2023-09-01;10.4;11.2;16;19.7;0;11.95
Bremervörde;2023-09-01;6.9;8.5;13.9;20.7;0;10.467
Carlsfeld;2023-09-01;6.2;7.8;11.3;14.2;14.7;0
Chemnitz;2023-09-01;9.4;10.6;14.7;19;9.2;4.333
Chieming;2023-09-01;11.5;12.2;17.2;23.5;0.2;6.95
Cottbus;2023-09-01;6.4;8.8;16.3;23;0;8.2
Cuxhaven;2023-09-01;9.5;14;16.5;19.3;0;10.467
Deuselbach;2023-09-01;11.2;13;15.7;18.3;4.5;0.467
Diepholz;2023-09-01;6.7;8.8;14.7;19.3;0;2.1
Doberlug-Kirchhain;2023-09-01;7.3;9.6;15.9;21.9;0.5;7.733
Dresden-Klotzsche;2023-09-01;9.5;10.9;15.9;20.7;3.6;6
Düsseldorf;2023-09-01;11.1;11.6;16.3;20.7;11.4;2.3
Dörnick;2023-09-01;8.6;12;15.6;19.8;0;3.633
Dörpen;2023-09-01;6.2;8.1;14.2;19.7;0;5.4
Eisenach;2023-09-01;7.1;9.6;14.2;16.7;5.4;0.983
Elpersbüttel;2023-09-01;7.9;10.3;16.2;19.2;0;8.883
Emden;2023-09-01;5.2;8.4;14.8;20.1;0;7.917
Erfurt-Weimar;2023-09-01;7.5;9.2;14.4;18.3;6.7;NULL
Essen-Bredeney;2023-09-01;8.9;11.4;15.3;20.4;7.8;2.15
Fehmarn;2023-09-01;14.3;15;17.1;19.5;0;9.433
Feldberg/Mecklenburg;2023-09-01;6.5;9.7;13.6;18.8;0;4.317
Feldberg/Schwarzwald;2023-09-01;8.4;8.4;11.3;13.9;0;4.067
Feuchtwangen-Heilbronn;2023-09-01;9.3;11.7;15.6;21.2;0.1;2.65
Fichtelberg;2023-09-01;5.2;6.3;9.5;11.8;15.3;0
Fichtelberg/Oberfranken-Hüttstadl;2023-09-01;9.4;10.1;13.6;16.9;5.3;NULL
Frankfurt/Main;2023-09-01;11.8;13.9;17.4;21.5;5.2;1.133
Freiburg;2023-09-01;11.2;13.9;20.8;26.3;0;8.217
Freudenstadt;2023-09-01;11.1;11.5;14.9;20;1.4;5.2
Friesoythe-Altenoythe;2023-09-01;5.8;7;13.7;20.1;0;6.25
Fürstenzell;2023-09-01;12.1;11.9;16.2;22.2;2.7;5.717
Gardelegen;2023-09-01;5.2;6.5;14.4;20.4;0;6.167
Garmisch-Partenkirchen;2023-09-01;8;8.8;16.1;23.7;0;7.767
Geisenheim;2023-09-01;12.6;14.1;17.1;22.1;2.9;1.617
Gelbelsee;2023-09-01;11.4;11.8;15.9;20.2;0.8;1.3
Genthin;2023-09-01;5.9;7.7;15.1;21.5;0;6.583
Gera-Leumnitz;2023-09-01;8.2;9.7;14.6;19;6.4;2.417
Goldberg;2023-09-01;6.9;10.5;14.9;20.5;0;6.2
Gottfrieding;2023-09-01;12.6;13.2;17;23.1;0.6;4.3
Greifswald;2023-09-01;11;12.3;15.9;21.3;1;5.217
Greifswalder Oie;2023-09-01;13;13.7;16.7;19.8;0.1;7.283
Groß Lüsewitz;2023-09-01;7.3;11.4;15.5;21.1;0;NULL
Großer Arber;2023-09-01;NULL;6;9.2;11.4;6.6;0.317
Grünow;2023-09-01;9.4;10.4;14.8;21.2;0;NULL
Gülzow-Prüzen;2023-09-01;8.7;11.3;15.3;21.7;0;NULL
Günzburg;2023-09-01;10.8;11.9;17.5;23.8;1.4;NULL
Görlitz;2023-09-01;9;10.4;15.7;21.5;2.8;6.183
Göttingen;2023-09-01;7;8;14.2;18.6;3.5;3.117
Hahn;2023-09-01;9.5;12.1;15.3;17.9;1.9;1.383
Hamburg-Fuhlsbüttel;2023-09-01;5.6;9.4;15.1;19.9;0;10.567
Hannover;2023-09-01;4.9;8.5;15.2;19.7;0;4.717
Harburg;2023-09-01;12.2;12.6;16.7;22.3;2.2;4.283
Harzgerode;2023-09-01;6.7;7.6;13;18.1;0.6;4.967
Hasenkrug-Hardebek;2023-09-01;8.4;10.9;15.4;20.3;0.4;NULL
Heckelberg;2023-09-01;7.8;9.4;14.4;19.7;0;NULL
Helgoland;2023-09-01;NULL;15.5;17.5;19.5;0;11.533
Hersfeld, Bad;2023-09-01;8.9;9.3;14.3;17.3;14.9;0
Hof;2023-09-01;9.5;10.5;14.2;17;5.4;0.017
Hohenpeißenberg;2023-09-01;10.4;11;16.5;22.4;0;8.483
Hoherodskopf/Vogelsberg;2023-09-01;9.9;9.9;12.4;14.8;30.1;0
Holzdorf-Bernsdorf;2023-09-01;NULL;NULL;15.6;NULL;0.7;7.9
