Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2025-03-01;-4.6;-2;2.3;5.8;0;0.367
Alfeld;2025-03-01;-3.2;-1.3;3;5.9;0;NULL
Andernach;2025-03-01;-0.6;2;4.4;6.5;0;NULL
Angermünde;2025-03-01;-3.5;-1.5;2.9;6.5;0;NULL
Arkona;2025-03-01;0.6;0.3;1.7;3.3;0;0.483
Artern;2025-03-01;-3.8;-0.8;3.4;6;0;NULL
Augsburg;2025-03-01;-6;-2.6;0.8;5.5;0;2.917
Bamberg;2025-03-01;-5.2;-2.3;1.6;6.3;0;0.183
Barth;2025-03-01;0.2;0.1;2;3.7;0;NULL
Baruth;2025-03-01;-4.5;-1.2;2.9;7.1;0;NULL
Belm;2025-03-01;-4.9;-1.7;3.5;7.6;0;2.85
Berge;2025-03-01;-1.6;0.9;3.7;7;0.1;4.167
Berlin-Dahlem (FU);2025-03-01;-2.8;0.4;3.7;7.5;0;3.467
Berlin-Tempelhof;2025-03-01;-1.1;0.8;4.1;7.9;0;NULL
Bertsdorf-Hörnitz;2025-03-01;-2.9;-0.9;2.1;3.9;0.1;NULL
Berus;2025-03-01;-1.1;0.1;3;6.8;0;5.75
Boizenburg;2025-03-01;-0.8;0.9;3.9;9.2;0;2.883
Boltenhagen;2025-03-01;-1.3;0.9;2.4;4.7;0;0.367
Braunlage;2025-03-01;-5.8;-1.6;0.5;2.9;0;NULL
Braunschweig;2025-03-01;-2;0.3;3.9;8;0;3.55
Bremen;2025-03-01;-3.4;-2;3;6.1;0;1.4
Bremerhaven;2025-03-01;-0.1;0.9;2.9;4.6;0;0.15
Bremervörde;2025-03-01;-2.6;0;3.3;6.8;0;0.95
Carlsfeld;2025-03-01;-3;-2.8;-2;-1.4;0.1;NULL
Chemnitz;2025-03-01;-1.7;-0.7;1;2.5;0;0
Chieming;2025-03-01;-4.6;-2.2;2.6;6.3;0;0.733
Cottbus;2025-03-01;-5;-2.4;2.9;7.7;0;1.85
Cuxhaven;2025-03-01;-2.8;1.1;2.9;4.7;0;NULL
Deuselbach;2025-03-01;-2.1;0.6;2.3;4.7;0;0.1
Diepholz;2025-03-01;-5.6;-2.8;3.3;6.4;0;2.55
Doberlug-Kirchhain;2025-03-01;-5.2;-2.1;2.6;6.6;0.2;NULL
Dresden-Klotzsche;2025-03-01;-2.3;0;2.5;4.1;0;0
Düsseldorf;2025-03-01;-5;-1.6;2.8;6.1;0;NULL
Dörnick;2025-03-01;-0.7;0.8;2.4;5;0;1.467
Dörpen;2025-03-01;-3.8;-1.1;3.7;8.4;0;NULL
Eisenach;2025-03-01;-4.7;-1.1;2.5;3.7;0;NULL
Elpersbüttel;2025-03-01;-4.7;-3.3;1.6;4.1;0;NULL
Emden;2025-03-01;-3.2;-1.4;2.7;7.7;0;4.283
Erfurt-Weimar;2025-03-01;-5.3;-1.7;1.9;3.2;0;NULL
Essen-Bredeney;2025-03-01;-3.5;0.5;3.3;5.3;0;0
Fehmarn;2025-03-01;0.6;0.6;2;3.9;0;NULL
Feldberg/Mecklenburg;2025-03-01;-0.8;0.2;2.5;4.6;0;NULL
Feldberg/Schwarzwald;2025-03-01;-0.7;-6.2;-4.9;-3.2;0;3.067
Feuchtwangen-Heilbronn;2025-03-01;-6.9;-4;0.2;4;0;NULL
Fichtelberg;2025-03-01;0.1;-4.8;-3.8;-2.5;0.4;0.217
Fichtelberg/Oberfranken-Hüttstadl;2025-03-01;-6.2;-3.7;-0.3;2;0;NULL
Frankfurt/Main;2025-03-01;-2.5;0.1;4.8;7.9;0;3.2
Freiburg;2025-03-01;-5.5;-2.6;3.2;8.9;0;6.25
Freudenstadt;2025-03-01;-3.3;-1.8;-0.4;2.3;0;1.033
Friesoythe-Altenoythe;2025-03-01;-2.9;-0.6;2.9;7.6;0;2.05
Fürstenzell;2025-03-01;-4;-2.5;2.1;7.6;0;5.167
Gardelegen;2025-03-01;-5.6;-2.7;3;8.6;0;NULL
Garmisch-Partenkirchen;2025-03-01;-1.3;-0.1;1.8;4.6;0;0.483
Geisenheim;2025-03-01;-1.4;2.3;5.4;7.8;0;3.183
Gelbelsee;2025-03-01;-3.6;-1.4;1;5.5;0;NULL
Genthin;2025-03-01;-3.7;-0.7;3.6;7.9;0;NULL
Gera-Leumnitz;2025-03-01;-3;-0.5;1.7;3.2;0;0
Gießen/Wettenberg;2025-03-01;2;2.6;4.4;5.9;0;0
Goldberg;2025-03-01;-0.5;0.9;2.9;6.6;0;NULL
Gottfrieding;2025-03-01;-6.7;-3.6;1.9;8;0;4.467
Greifswald;2025-03-01;0.7;0.5;2.1;3.6;0;NULL
Greifswalder Oie;2025-03-01;0.9;0.7;2;3.2;0;NULL
Groß Lüsewitz;2025-03-01;-2.2;0.4;2.1;3.5;0;NULL
Großer Arber;2025-03-01;NULL;-6.6;-5;-2.5;0;1.65
Grünow;2025-03-01;-2.9;-0.5;2.6;4.4;0;NULL
Gülzow-Prüzen;2025-03-01;-1.2;0.1;2.5;5.5;0;NULL
Günzburg;2025-03-01;-4.6;-2.1;1.5;6.3;0;NULL
Görlitz;2025-03-01;-2.5;-0.3;2.3;4.6;0;0.167
Göttingen;2025-03-01;-4.7;-3;3.2;5.8;0;0.817
Hahn;2025-03-01;-0.4;0.2;1.9;4.3;NULL;0.533
Hamburg-Fuhlsbüttel;2025-03-01;0.7;2.3;3.7;6.1;0;2.95
Hannover;2025-03-01;-4.4;-2;3.5;7.9;0;2.383
Harburg;2025-03-01;-3.5;-1.3;1.2;6.1;0;NULL
Harzgerode;2025-03-01;-3;-1.1;1.7;4.3;0;NULL
Hasenkrug-Hardebek;2025-03-01;-2.8;-0.5;2.4;5.7;0;NULL
Heckelberg;2025-03-01;-3;-0.2;3;6.6;0;NULL
Helgoland;2025-03-01;-2.5;2.1;4.2;6.1;0;3.95
Hersfeld, Bad;2025-03-01;-3.2;-1.2;3.4;5.9;0;0
Hof;2025-03-01;-5.7;-2.8;0.2;1.2;0.2;0
Hohenpeißenberg;2025-03-01;-3.2;-2.6;-1.2;-0.3;0;0
Hoherodskopf/Vogelsberg;2025-03-01;-4.5;-1.2;-0.1;2.1;0;0.967
Hoyerswerda;2025-03-01;-6.8;-2.3;2.4;5.6;0;NULL
Itzehoe;2025-03-01;-3.7;-1.9;2.2;5.5;0;NULL
Kahler Asten;2025-03-01;-5.9;-2.8;-1.2;-0.3;0;0.033
Kaisersbach-Cronhütte;2025-03-01;-4.1;-1.4;1;5.3;0;NULL
Kall-Sistig;2025-03-01;-2.4;-0.8;0.7;1.8;0;NULL
Kaufbeuren-Oberbeuren Bayern;2025-03-01;-2.6;-1.6;-0.4;0.9;0;NULL
Kempten;2025-03-01;-4.6;-2.2;1.3;4.5;0;1.267
Kiel-Holtenau;2025-03-01;-2.9;-0.1;2.1;6.1;0;NULL
Kissingen, Bad;2025-03-01;-4.8;-1.9;1.7;5.5;0;0.817
Kleiner Feldberg/Taunus;2025-03-01;-2.2;-2.1;-1;0;0;0
Klippeneck;2025-03-01;-4.2;-2.8;-0.7;3.2;0;8.217
Konstanz;2025-03-01;-1.5;1.2;3.2;5.7;0;2.917
Krölpa-Rockendorf;2025-03-01;-2.6;-0.8;2;3.3;0.1;NULL
Kyritz;2025-03-01;-2.2;0.9;3.8;7.8;0;4.667
Köln/Bonn;2025-03-01;-3.9;-1.5;2.8;7.1;0;0.483
Königswinter-Heiderhof;2025-03-01;-3.3;0.1;3.1;6.3;0;NULL
Lahr;2025-03-01;-3.1;0.3;3.4;8.6;0;NULL
