Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2024-04-01;6;8.3;10.2;12.8;8.5;1.683
Alfeld;2024-04-01;5;6.6;9.2;11.2;15.3;0
Andernach;2024-04-01;1.4;5.3;10;13.3;3.6;1.333
Angermünde;2024-04-01;2.8;5.2;12;19.2;0;1.017
Arkona;2024-04-01;2.1;3.2;5.1;8.5;2.7;0.133
Artern;2024-04-01;4.6;8.3;10.3;13.2;1.3;NULL
Augsburg;2024-04-01;4.2;5.9;10;14.2;0;0.2
Bamberg;2024-04-01;5.3;6.5;9.6;13.9;0.6;0.283
Barth;2024-04-01;0.6;2.7;7.2;9.6;14.4;NULL
Baruth;2024-04-01;2.5;4.5;11.7;19.7;0.2;NULL
Belm;2024-04-01;5.8;8.3;9.8;11.3;7.4;0
Berge;2024-04-01;4.2;7.2;11.7;19.4;0.2;0.85
Berlin-Dahlem (FU);2024-04-01;5.2;8.7;12.9;20.3;1.9;2.717
Berlin-Tempelhof;2024-04-01;4.2;7.9;13.3;20.6;0.7;NULL
Bertsdorf-Hörnitz;2024-04-01;6.4;9;14.1;20.4;0.5;1.517
Berus;2024-04-01;4.4;5.6;7.5;10.2;6.9;1.05
Boizenburg;2024-04-01;3;5.3;8.3;10.6;16.3;0
Boltenhagen;2024-04-01;3.9;4.5;6.9;8.9;19.5;0
Braunlage;2024-04-01;4.3;4.7;8.1;12.5;17.1;NULL
Braunschweig;2024-04-01;5.2;7.2;9.4;10.8;14.9;0
Bremen;2024-04-01;6.9;8.1;9.8;11.3;13.1;0
Bremerhaven;2024-04-01;7.8;8.7;9.5;10.5;18.5;0
Bremervörde;2024-04-01;4.1;6.2;8.9;10.4;15.5;0
Carlsfeld;2024-04-01;2.2;3.1;8.2;12.6;0.5;0.483
Chemnitz;2024-04-01;5.1;6.2;12.3;17.6;0;0.817
Chieming;2024-04-01;4.9;6.5;9.5;20.7;5.7;2.467
Cottbus;2024-04-01;4;7.3;13.6;20.2;0;0.35
Cuxhaven;2024-04-01;6.3;7.8;8.7;9.3;11.5;0
Deuselbach;2024-04-01;3.9;5.5;7.3;9.5;6.8;0.383
Diepholz;2024-04-01;3.4;6.5;9.5;11.3;9.6;0
Doberlug-Kirchhain;2024-04-01;3.1;6.1;12.2;19.1;0;0.967
Dresden-Klotzsche;2024-04-01;8.2;9;13.8;18.4;0;0.25
Düsseldorf;2024-04-01;4.7;7.7;10.4;12.9;7.3;0
Dörnick;2024-04-01;2.7;4.8;7.2;8.9;20.9;0
Dörpen;2024-04-01;3.6;7.9;10.1;11.9;11.3;0
Eisenach;2024-04-01;5;6.4;8.6;10.2;6.7;0
Elpersbüttel;2024-04-01;2.7;5.2;7.8;8.9;11;0
Emden;2024-04-01;6;8;9.7;11.1;10.5;0
Erfurt-Weimar;2024-04-01;4.8;6.5;9.2;12.4;1;NULL
Essen-Bredeney;2024-04-01;7.8;8.7;10.1;12;6.9;0.9
Fehmarn;2024-04-01;3.8;4.9;6.4;7.9;22.5;0
Feldberg/Mecklenburg;2024-04-01;1.5;3.9;10.3;16.9;0.2;0.3
Feldberg/Schwarzwald;2024-04-01;-0.6;-1.4;0.8;5.2;2.5;0
Feuchtwangen-Heilbronn;2024-04-01;5.6;6.9;8.4;11.2;2.7;0.667
Fichtelberg;2024-04-01;0.7;0.5;6.2;11.2;0.8;0.25
Fichtelberg/Oberfranken-Hüttstadl;2024-04-01;4;5.1;7.7;13.7;3.6;NULL
Frankfurt/Main;2024-04-01;5.2;7.5;9.9;11.9;4.1;0.133
Freiburg;2024-04-01;7.4;8.5;10.1;12.1;0.2;0.15
Freudenstadt;2024-04-01;3;3.5;5.4;7.6;14.7;0.033
Friesoythe-Altenoythe;2024-04-01;6.8;8.4;10;11.4;12.2;0
Fürstenzell;2024-04-01;5.5;6.9;11.4;19.6;3.1;1.767
Gardelegen;2024-04-01;3.5;4.9;9.1;11.6;7.9;0
Garmisch-Partenkirchen;2024-04-01;3;3.9;8.2;17.4;7.3;0.167
Geisenheim;2024-04-01;3;5.9;9.7;12.6;1.5;0.3
Gelbelsee;2024-04-01;3.1;6.1;10;13.3;0.3;0.433
Genthin;2024-04-01;3.7;5.5;10.8;15.6;0.8;0.3
Gera-Leumnitz;2024-04-01;4.6;7.3;11.1;17.5;0;2.65
Gießen/Wettenberg;2024-04-01;4.9;6.6;9.1;11;5.2;0.2
Goldberg;2024-04-01;3.5;6;8.8;11.1;9.2;NULL
Gottfrieding;2024-04-01;3.1;5.6;10.9;17.1;0.1;0.117
Greifswald;2024-04-01;5.4;6;7.6;10.7;0.5;0
Greifswalder Oie;2024-04-01;5.1;4.7;6.6;10.2;0.6;NULL
Groß Lüsewitz;2024-04-01;7;7;8.8;10.7;13.1;NULL
Großer Arber;2024-04-01;NULL;-0.3;4.9;11.5;5.2;0.3
Grünow;2024-04-01;2.3;4.4;11.4;18.3;0;NULL
Gülzow-Prüzen;2024-04-01;7.1;6.7;8.9;10.9;11.4;NULL
Günzburg;2024-04-01;3.7;6.4;9;11;2.7;NULL
Görlitz;2024-04-01;6.5;7.8;14.8;21;0.8;0.567
Göttingen;2024-04-01;6.4;7.4;9.3;11.2;14.2;0
Hahn;2024-04-01;4;5.6;7.3;9.9;5.9;0.967
Hamburg-Fuhlsbüttel;2024-04-01;3.4;6.4;8.8;10.8;16.1;0
Hannover;2024-04-01;6.2;7.7;9.5;10.9;16.8;0
Harburg;2024-04-01;4.9;6.6;10;13.3;0;NULL
Harzgerode;2024-04-01;3.3;4.4;8.4;13.6;5.8;0.117
Hasenkrug-Hardebek;2024-04-01;1.7;4.2;7.6;10.3;16.6;NULL
Heckelberg;2024-04-01;2.8;6.4;12.7;19.4;0;NULL
Helgoland;2024-04-01;6.6;8;8.4;10;13.7;0.083
Hersfeld, Bad;2024-04-01;4.8;6.4;8.5;10;5.8;0
Hof;2024-04-01;3.2;5.2;9.2;14.8;2;2.633
Hohenpeißenberg;2024-04-01;2.9;3.5;7.5;14.1;2;0.433
Hoherodskopf/Vogelsberg;2024-04-01;3.8;3.3;6.3;11.4;10;0.017
Holzdorf-Bernsdorf;2024-04-01;NULL;NULL;11.7;NULL;0;1
Hoyerswerda;2024-04-01;1.7;6;12.9;19.5;0;NULL
Itzehoe;2024-04-01;1.3;3.5;8.1;10.5;12.4;NULL
Kahler Asten;2024-04-01;3.4;3.5;5.1;8.2;6.7;0
Kaisersbach-Cronhütte;2024-04-01;4.9;6.5;8.2;10.1;7.8;0.25
Kall-Sistig;2024-04-01;4.5;5.5;7.3;10.1;6.4;NULL
Kempten;2024-04-01;2.5;4.4;6.2;10.5;9.3;0
Kiel-Holtenau;2024-04-01;3.5;5;6.9;8.6;27.3;NULL
Kissingen, Bad;2024-04-01;5.1;6.8;9.1;10.9;6;0.9
Kleiner Feldberg/Taunus;2024-04-01;3.3;2.9;5.2;7.6;6.5;0
Klippeneck;2024-04-01;1.6;3.1;5.4;8.6;2.3;0.2
Konstanz;2024-04-01;2.6;4.2;9;11.6;4.2;0.483
Krölpa-Rockendorf;2024-04-01;4.5;5.7;10;17.9;0;NULL
Kyritz;2024-04-01;2.8;5.3;10.6;16.1;1.7;0.017
Köln/Bonn;2024-04-01;5;7.2;10.3;12.2;6.7;0.25
Königswinter-Heiderhof;2024-04-01;3.4;6.7;9.9;12.1;8.3;NULL
Lahr;2024-04-01;7.7;8.8;10;12.1;5.7;0
Langenlipsdorf;2024-04-01;3;6.5;11.7;19.5;0.1;NULL
Lauchstädt, Bad;2024-04-01;3.3;7.6;10.7;16.3;0.1;NULL
Lautertal-Oberlauter;2024-04-01;5.6;6.8;10.1;14.4;0.8;0.35
Leck;2024-04-01;2.7;4.3;7.5;8.7;24.1;0
Leinefelde;2024-04-01;5.7;7.1;9;11.1;12.9;0
Leipzig-Holzhausen;2024-04-01;4.9;7.3;11.6;18.4;0;NULL
Leipzig/Halle;2024-04-01;5.2;7.6;11.2;17.9;0;1.667
Leuchtturm Alte Weser;2024-04-01;NULL;8.3;8.9;10;NULL;0
Leutkirch-Herlazhofen;2024-04-01;2.3;4.2;6.1;10.3;10.4;NULL
Lichtenhain-Mittelndorf;2024-04-01;7.3;8.1;13.2;17.8;0.7;0.9
Lichtentanne;2024-04-01;4.7;6.9;11.7;17.8;0;NULL
Lindenberg;2024-04-01;8.5;10;13.9;19.3;0;2.233
Lingen-Baccum;2024-04-01;3.9;6.8;9.8;11.6;11.3;NULL
Lippspringe, Bad;2024-04-01;5.7;7.9;9.2;10.3;10.5;0
List auf Sylt;2024-04-01;4.7;5.6;7.5;8.7;31;0.017
Lübeck-Blankensee;2024-04-01;0.5;2.5;7.1;9.6;14.8;0
Lüchow;2024-04-01;2.7;4.7;8.6;10.8;16.6;0
Lüdenscheid;2024-04-01;4.9;6.5;8.3;10.4;9;0.067
Magdeburg;2024-04-01;4.6;6.9;10.5;13.6;1.9;0
Mannheim;2024-04-01;5.3;7.1;10;11;3.9;0.267
Manschnow;2024-04-01;3.3;6.4;13.2;20.1;0;2.483
Marienberg;2024-04-01;3.5;5;10.6;15;0;NULL
Marienberg, Bad;2024-04-01;3.7;5.3;6.9;8.3;9;0.05
Marnitz;2024-04-01;4.2;5.7;8.7;11.7;5.6;NULL
Meiningen;2024-04-01;4.8;6;8.3;11.4;7.2;0.083
Memmingen;2024-04-01;2.6;4.7;7.2;10;2.4;0.717
Meßstetten-Appental;2024-04-01;1.9;3.8;5.9;8.5;3.9;0.25
Michelstadt-Vielbrunn;2024-04-01;4.9;6.5;7.8;10;4.7;0.333
Mühlacker;2024-04-01;1.8;3.4;9;11.6;3.6;NULL
Mühldorf;2024-04-01;1.5;4.7;9.3;14.1;1.2;0.083
Müncheberg;2024-04-01;3.4;6.9;12.8;19.6;0;NULL
München-Flughafen;2024-04-01;3.7;6.4;11.1;18;0.3;0.05
München-Stadt;2024-04-01;6.5;7.7;11.1;16.4;0.7;0.017
Münsingen-Apfelstetten;2024-04-01;-1.9;2.6;7.3;9.8;4.4;NULL
Neu-Ulrichstein;2024-04-01;5.5;6.3;8.2;12;3.8;0
Neuhaus am Rennweg;2024-04-01;2.4;2.9;7;13;4.2;NULL
Neuhütten/Spessart;2024-04-01;5.2;7.1;8.4;10.2;4.4;0.067
Neuruppin-Alt Ruppin;2024-04-01;3;6.7;11;16.7;2.2;NULL
Norderney;2024-04-01;7.5;8.5;9.4;10.6;5;0
Nossen;2024-04-01;7.4;8.1;12.9;18;0;NULL
Nürburg-Barweiler;2024-04-01;4.5;5.7;7.2;9.5;4.3;1.017
Nürnberg;2024-04-01;5.6;7.7;10.7;14.2;0.3;0.55
Oberstdorf;2024-04-01;2.2;3.9;6.5;15.8;16.3;0
Oschatz;2024-04-01;4;6.1;11.5;18.4;0.7;0.867
Osterfeld;2024-04-01;5;8;11.1;18.1;0;NULL
Pelzerhaken;2024-04-01;1.5;3.9;6.7;9;20.7;NULL
Pforzheim-Ispringen;2024-04-01;3.9;7.2;8.8;10.6;3.6;NULL
Plauen;2024-04-01;3.6;5.3;9.8;16.6;0.3;NULL
Potsdam;2024-04-01;4.9;8.7;12.4;20.6;2.1;2.05
Putbus;2024-04-01;5.6;5.3;6.7;9.6;2.8;NULL
Quedlinburg;2024-04-01;4.7;6.5;9.8;12.7;5.1;NULL
Querfurt-Mühle Lodersleben;2024-04-01;4.4;6.8;9.9;14.1;0.9;NULL
Quickborn;2024-04-01;1.4;4.7;8.5;10.8;16.8;NULL
Regensburg;2024-04-01;5.2;7;11.8;15.3;1.1;0.167
Rheinstetten;2024-04-01;7.9;9;9.9;11;8.3;0.017
Rostock-Warnemünde;2024-04-01;6.6;6.4;7.5;9.2;20;0
Roth;2024-04-01;5.3;7.6;10.1;13.8;0;NULL
Runkel-Ennerich;2024-04-01;1.5;6;9.4;11.4;6;0.85
Saarbrücken-Ensheim;2024-04-01;5;6.9;8;10.2;6.5;0.217
Salzuflen, Bad;2024-04-01;5.6;7.9;9.6;12.2;9.8;NULL
Sankt Peter-Ording;2024-04-01;4.6;5.6;7.6;8.7;10.6;0.467
Schleiz;2024-04-01;3.7;5.7;10.4;16.2;0.3;NULL
Schleswig;2024-04-01;3.9;5.1;6.9;8.2;18.8;0
Schmücke;2024-04-01;2.1;2;6.7;11.3;6.7;0.017
Schwerin;2024-04-01;4;5.2;8.1;10.4;17.3;NULL
Schönhagen (Ostseebad);2024-04-01;1.4;4.2;6.6;8.2;29.1;NULL
Seehausen;2024-04-01;2.8;4.9;9.2;13;4.5;NULL
Soltau;2024-04-01;5.9;7.1;9.2;11.3;15;0
Straubing;2024-04-01;4.3;5.8;11.4;16.2;0.2;0.167
Stuttgart (Schnarrenberg);2024-04-01;6.4;8.2;9.9;11.7;2.7;1.517
Stuttgart-Echterdingen;2024-04-01;4.6;7;9.5;12.1;3.7;NULL
Stötten;2024-04-01;4.3;5.7;7.5;10;5.1;0.75
Tholey;2024-04-01;3.9;5.4;7.4;9;10.6;0.317
Trier-Petrisberg;2024-04-01;4.4;6.6;8.6;10.7;5.1;0.817
Trollenhagen;2024-04-01;5.1;5.1;9.2;12.8;0.4;0.367
Ueckermünde;2024-04-01;0.9;3.6;8.8;12.6;0;0.233
UFS TW Ems;2024-04-01;NULL;8.5;8.9;9.4;NULL;0.433
Ummendorf;2024-04-01;5.3;6.9;9.5;11.6;8;NULL
Waibstadt;2024-04-01;5.2;7.1;9.2;11.5;4.3;NULL
Waldmünchen;2024-04-01;3.5;5.7;9.5;17.3;4.2;0.167
Warburg;2024-04-01;5.5;7.4;8.8;10.2;5.6;NULL
Waren (Müritz);2024-04-01;5.5;5.3;9.3;13.5;1.7;0.033
Wasserkuppe;2024-04-01;2.2;2.3;5.9;10.2;11.7;0
Weiden;2024-04-01;3.6;5.8;10.6;15.8;1;0.117
Weihenstephan-Dürnast;2024-04-01;3.3;5.8;10.3;16.2;0.1;0
Weinbiet;2024-04-01;4.5;5.1;6.5;8.6;2.3;0.333
Weingarten, Kr. Ravensburg;2024-04-01;3.5;5.2;8.7;12.9;6.9;NULL
Weißenburg-Emetzheim;2024-04-01;5.1;7.3;10.1;13.9;0.1;1.25
Werl;2024-04-01;6.5;8.9;10.4;12.6;7.6;0.033
Wernigerode;2024-04-01;4.3;7.1;9.7;13.2;4.2;NULL
