Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2023-05-01;3.1;5.8;12.9;20.2;0.1;5.15
Alfeld;2023-05-01;0.5;2;11.6;18.6;2.1;7.217
Andernach;2023-05-01;3.8;7.1;12.8;19.4;0;3.417
Angermünde;2023-05-01;-1.7;1.1;10.7;17.7;0;11.517
Arkona;2023-05-01;0.9;3.5;8.9;13.5;0;12.3
Artern;2023-05-01;-1.4;2;11.3;18.1;0;NULL
Augsburg;2023-05-01;3.8;5.8;9.4;13.9;6.2;0
Bamberg;2023-05-01;3.7;5;10.9;15.8;1.4;2.9
Barth;2023-05-01;-4.1;-2.2;8.1;17.4;0;12.3
Baruth;2023-05-01;-2.7;-1.4;10.8;19.2;0;NULL
Belm;2023-05-01;2.4;4.8;12.9;19.2;0.9;7.783
Berge;2023-05-01;-0.6;2.6;12;18.9;0;11.5
Berlin-Dahlem (FU);2023-05-01;-0.7;2.5;12.1;19.4;0;11.7
Berlin-Tempelhof;2023-05-01;-0.2;3;12.7;19.3;0;NULL
Bertsdorf-Hörnitz;2023-05-01;-3.1;-1;11.3;19.1;0.4;11.3
Berus;2023-05-01;7.3;9.2;12.1;17.9;0.7;3.067
Boizenburg;2023-05-01;0.1;3.1;11.5;18.4;0;11.667
Boltenhagen;2023-05-01;0.6;2.7;10.4;18.4;0.8;11.95
Braunlage;2023-05-01;-1.1;3.1;9.9;15.3;0.1;NULL
Braunschweig;2023-05-01;-1;2;12.6;19.6;0.1;NULL
Bremen;2023-05-01;1;4.3;11.9;19.6;0;10.15
Bremerhaven;2023-05-01;4.6;6.3;11.3;17.9;0.3;12
Bremervörde;2023-05-01;-1;1.7;11;18.9;0.1;11.617
Carlsfeld;2023-05-01;-2.2;1.7;7.5;13.1;0.5;8.467
Chemnitz;2023-05-01;0;3.5;11.2;17.9;0;8.683
Chieming;2023-05-01;2.6;4.4;9.6;14.8;12.3;5.6
Cottbus;2023-05-01;-2.2;0.4;12.4;20.9;0.7;11.95
Cuxhaven;2023-05-01;4.1;6.5;11.1;15.9;0.2;11.967
Deuselbach;2023-05-01;3.8;7.3;11.2;16.7;0;2.4
Diepholz;2023-05-01;0.2;4.4;12.4;19.5;0.1;8.333
Doberlug-Kirchhain;2023-05-01;-2.8;-0.5;11.5;19.8;0;10.667
Dresden-Klotzsche;2023-05-01;-0.9;1.9;12.2;18.6;0.2;10.967
Düsseldorf;2023-05-01;3.8;6.3;13.2;19.5;0.1;4.3
Dörnick;2023-05-01;1.7;5.2;11.3;18;0.1;11.667
Dörpen;2023-05-01;0.8;4.6;12.2;19;0.3;10.5
Eisenach;2023-05-01;-0.2;2.6;10.1;15.9;0;4.467
Elpersbüttel;2023-05-01;0.3;3.3;10.4;16.7;0.1;12.167
Emden;2023-05-01;-0.6;3.1;10.8;17.4;0.5;9.45
Erfurt-Weimar;2023-05-01;-0.3;3.5;10.3;16.4;0;5.983
Essen-Bredeney;2023-05-01;6.5;8.9;13.1;19.1;1;3.767
Fehmarn;2023-05-01;2.7;4.4;10.5;15.9;0;11.3
Feldberg/Mecklenburg;2023-05-01;-2.4;1;10.6;18.2;0;12.383
Feldberg/Schwarzwald;2023-05-01;2.1;3.2;4.5;6.7;9.3;0.667
Feuchtwangen-Heilbronn;2023-05-01;2.6;5;8.9;13.4;1;4.55
Fichtelberg;2023-05-01;0.1;1.5;5.9;10.9;0.1;9.033
Fichtelberg/Oberfranken-Hüttstadl;2023-05-01;-0.9;0.7;7.8;15.7;0.4;NULL
Frankfurt/Main;2023-05-01;9.1;10.2;14.5;18.7;0;3.633
Freiburg;2023-05-01;8.4;10.6;13.9;18.3;3.4;1.6
Freudenstadt;2023-05-01;4.9;6.2;9.2;14.3;1;2.667
