Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2023-04-01;5.5;5.5;9.4;12.6;1.7;0.2
Alfeld;2023-04-01;3.8;3.9;8.8;11.4;6;0
Angermünde;2023-04-01;2.4;2.6;5.5;8.9;4.3;0
Arkona;2023-04-01;1.7;2.8;3.1;3.6;0;1.4
Artern;2023-04-01;4.6;4.8;9.3;11.5;5.7;NULL
Augsburg;2023-04-01;4.5;5.8;7.9;9.8;1.1;0.6
Bamberg;2023-04-01;7.6;7.9;9.5;10.3;7.6;0
Barth;2023-04-01;0.1;2.2;3.7;4.8;0.1;0
Baruth;2023-04-01;3.2;3.4;8.5;12.9;9;NULL
Belm;2023-04-01;3.5;3.7;8.4;10.9;12.7;0
Berge;2023-04-01;2.5;2.7;7;10.3;2.1;0
Berlin-Dahlem (FU);2023-04-01;2.8;3.3;7.5;11.1;1.6;0
Berlin-Tempelhof;2023-04-01;2.5;3.1;7.5;11.8;4.7;NULL
Bertsdorf-Hörnitz;2023-04-01;6.3;7.2;9.2;13.1;5.3;1.5
Berus;2023-04-01;6.5;6.7;7.6;9.1;8.6;0
Boizenburg;2023-04-01;-1.5;1;5.7;9.1;3.1;0
Boltenhagen;2023-04-01;1.9;3;4.7;8.1;5.3;0
Braunlage;2023-04-01;0.9;0.6;5.6;7.7;2.6;NULL
Braunschweig;2023-04-01;2.7;3.2;8.6;12.1;7;0.2
Bremen;2023-04-01;1;2.2;7.9;11.8;1.9;0
Bremerhaven;2023-04-01;0.8;2.1;6.8;9.7;0.8;0
Bremervörde;2023-04-01;-0.4;1.1;6.7;9.4;2.8;0
Carlsfeld;2023-04-01;3.4;3.6;4.4;5.6;12;0.3
Chemnitz;2023-04-01;6;6.8;8.2;10.3;4;0.3
Chieming;2023-04-01;5.2;6.7;8.2;10.9;0.5;1.5
Cottbus;2023-04-01;4.3;4.6;9.5;13.4;2.4;0.1
Cuxhaven;2023-04-01;1.6;3.1;6;9.1;0.7;0
Deuselbach;2023-04-01;5.7;6.1;7.2;8.8;21.9;0
Doberlug-Kirchhain;2023-04-01;4.1;4.3;9.3;12.5;1.6;0.2
Dresden-Klotzsche;2023-04-01;6.5;6.6;9.8;12.8;3.8;1.3
Düsseldorf;2023-04-01;6.7;7.1;9.7;10.9;10.7;0
Dörnick;2023-04-01;-0.6;1.9;4.3;8.5;5.9;0.1
Dörpen;2023-04-01;3.8;4.1;8.7;11.8;0.7;0
Eisenach;2023-04-01;5.8;6.1;8.8;10.6;11.5;0
Elpersbüttel;2023-04-01;-1.5;0.5;5.4;9.6;1.9;0.6
Emden;2023-04-01;0.8;2.4;7.7;10.5;0.7;0
Erfurt-Weimar;2023-04-01;5.5;5.4;9;11.2;16.1;0.4
Essen-Bredeney;2023-04-01;5.9;6;8.8;9.7;36.6;0
Fehmarn;2023-04-01;1.6;3.1;3.9;5.1;0;2.7
Feldberg/Mecklenburg;2023-04-01;1.9;2.1;4.3;8.5;5.2;0
Feldberg/Schwarzwald;2023-04-01;-0.4;-0.9;-0.3;0.1;9.5;0
Feuchtwangen-Heilbronn;2023-04-01;5.4;6.3;7.3;8.3;2.7;0.2
Fichtelberg;2023-04-01;1.5;1.5;2.3;3.3;11.2;0
Fichtelberg/Oberfranken-Hüttstadl;2023-04-01;4.8;5.4;6.1;6.7;26.2;NULL
Frankfurt/Main;2023-04-01;7.8;9.2;10.5;12;6.8;0
Freiburg;2023-04-01;6.5;8;9.8;12.3;0.8;0.6
Freudenstadt;2023-04-01;3;3.3;4.4;5.7;34.2;0
Friesoythe-Altenoythe;2023-04-01;2;2.9;8.2;11.6;0.5;0
Fürstenzell;2023-04-01;5.8;6.4;7.8;10.7;4.8;0.2
Gardelegen;2023-04-01;2.3;2.8;7.8;12;3.7;0
Garmisch-Partenkirchen;2023-04-01;1.2;3.2;7.2;13.4;0;4.1
Geisenheim;2023-04-01;7.8;9.2;10.7;13.1;1.5;0.2
Gelbelsee;2023-04-01;4.9;5.8;7;8.7;2;0.5
Genthin;2023-04-01;2.3;3;7.8;12.4;3.6;0.1
Gera-Leumnitz;2023-04-01;6.4;6.5;8.9;10.9;5.8;0.1
Gießen/Wettenberg;2023-04-01;7.2;8;9.6;12.3;4.9;0.5
Goldberg;2023-04-01;-0.4;1.1;4.5;8.9;2.6;0
Gottfrieding;2023-04-01;6.2;7.6;9;11.6;1.7;1.9
Greifswald;2023-04-01;1.7;3;3.9;4.8;0.1;0
Greifswalder Oie;2023-04-01;1.9;3.1;3.6;4.1;0;0.1
Groß Lüsewitz;2023-04-01;-1.2;0.9;3.6;5.5;0.7;NULL
Großer Arber;2023-04-01;NULL;-0.3;0.2;0.9;26.6;0
Grünow;2023-04-01;2.3;2.5;4.8;9;4.3;0
Gülzow-Prüzen;2023-04-01;0.7;1.9;4.2;6.9;1.9;NULL
Günzburg;2023-04-01;4.6;5.9;7.9;10.3;1;NULL
Görlitz;2023-04-01;5.4;5.4;9.5;13.1;10.8;1.4
Göttingen;2023-04-01;5.7;5.9;9.6;11.6;8;0.1
Hahn;2023-04-01;5.6;6;7.3;9.4;6.6;0.2
Hamburg-Fuhlsbüttel;2023-04-01;-0.2;1.1;6.1;10;1.9;0
Hannover;2023-04-01;2.1;2.7;8.4;12;5.9;0
Harburg;2023-04-01;4.7;5.9;7.4;8.9;0.4;0.4
Harzgerode;2023-04-01;2.2;1.9;7.3;10.1;12.1;0.2
Hasenkrug-Hardebek;2023-04-01;-1.7;1;5.1;9.7;1.3;NULL
Heckelberg;2023-04-01;2.3;2.3;6;8.6;7.8;0
Helgoland;2023-04-01;2.4;4.1;5.8;8.5;0.4;0.2
Hersfeld, Bad;2023-04-01;6.9;7.7;8.8;10.7;12.9;0
Hof;2023-04-01;5.2;6;7;8;21.6;0.1
Hohenpeißenberg;2023-04-01;1.6;2.3;4.4;9.1;0.3;5.4
Hoherodskopf/Vogelsberg;2023-04-01;4.3;4.3;5.3;6.5;16.8;0
Holzdorf-Bernsdorf;2023-04-01;NULL;NULL;9.4;NULL;7.5;0.1
Hoyerswerda;2023-04-01;5.2;5.5;10;13.6;0.6;2.2
Itzehoe;2023-04-01;-0.6;1.1;5.2;9.8;2.1;NULL
Kahler Asten;2023-04-01;3.4;3.6;4.6;5.6;20.8;0
Kaisersbach-Cronhütte;2023-04-01;4.7;5.7;6.9;7.5;20.1;0
Kall-Sistig;2023-04-01;5.7;6;7;8.8;8.3;0.1
Kempten;2023-04-01;2.3;4.1;5.9;9.2;6.8;0.7
Kiel-Holtenau;2023-04-01;0.7;2.5;4.2;6.8;1.7;NULL
Kissingen, Bad;2023-04-01;6.9;7.6;8.8;10.3;18.2;0
Kleiner Feldberg/Taunus;2023-04-01;3;3.7;4.8;6.2;15.7;0
Klippeneck;2023-04-01;1.5;2.1;3.4;5.3;1.1;0
Konstanz;2023-04-01;3.1;6;8.2;10.1;0.3;0.6
Krölpa-Rockendorf;2023-04-01;7.7;7.9;9.3;11;15.1;NULL
Kyritz;2023-04-01;1.5;2.4;6;8.5;2;0
Köln/Bonn;2023-04-01;8;8.4;9.8;11.1;5.2;0
Königswinter-Heiderhof;2023-04-01;7.6;8.2;9.7;11.2;4.2;NULL
Lahr;2023-04-01;6.8;7.9;9.4;11.7;5.3;0.1
Langenlipsdorf;2023-04-01;3.1;3.4;8.5;12.4;4.1;NULL
Lauchstädt, Bad;2023-04-01;4.6;4.8;9.6;12.3;5.8;0.2
Lautertal-Oberlauter;2023-04-01;6.8;7.5;8.3;9.4;17.9;0
Leck;2023-04-01;-2;0.4;4.3;7.2;0;2.5
Leinefelde;2023-04-01;4.2;4.4;8.3;10.5;4.3;0
Leipzig-Holzhausen;2023-04-01;4.6;4.8;9.5;12.9;4.8;NULL
Leipzig/Halle;2023-04-01;4.3;4.5;9.4;12.4;3.6;0
Leuchtturm Alte Weser;2023-04-01;NULL;3.5;6.2;9.5;NULL;0
Leutkirch-Herlazhofen;2023-04-01;2.6;4.6;6;7.8;3.5;0.2
Lichtenhain-Mittelndorf;2023-04-01;6.2;7.1;8.5;12;12.4;0.6
Lichtentanne;2023-04-01;6.7;7.5;9.2;11.3;7.4;NULL
Lindenberg;2023-04-01;2.9;3.2;7.5;11;4.3;0
Lingen-Baccum;2023-04-01;4.1;4.3;8.8;11.4;11;NULL
Lippspringe, Bad;2023-04-01;4.5;4.7;9;10.9;10.7;0
List auf Sylt;2023-04-01;0.5;2.3;4.5;7.2;0;1.9
Lübeck-Blankensee;2023-04-01;-0.7;1.2;5.1;9.5;2.6;0
Lüchow;2023-04-01;1.6;2.5;6.7;9.5;6;0
Lüdenscheid;2023-04-01;6.3;6.7;7.6;8.7;22.1;0
Lügde-Paenbruch;2023-04-01;3.3;3.4;8.2;10.8;11.1;0
Magdeburg;2023-04-01;2.9;3.4;9.2;14.1;9.7;1.2
Mannheim;2023-04-01;8.2;9;10.6;12.1;0.9;0
Manschnow;2023-04-01;3.2;3.5;7.2;9.5;7.4;0
Marienberg;2023-04-01;5.1;5.7;6.8;9.4;5.7;NULL
Marienberg, Bad;2023-04-01;5.5;5.6;6.6;8.4;14.3;0
Marnitz;2023-04-01;1.7;1.9;4.9;8.8;8;NULL
Meiningen;2023-04-01;5.8;6.3;7.4;8.9;12.6;0
Memmingen;2023-04-01;2.1;4.3;6.4;8.4;3.3;1
Meßstetten-Appental;2023-04-01;0.6;2.7;4.1;5.7;6.5;0
Michelstadt-Vielbrunn;2023-04-01;5.8;6.5;7.4;8.1;20.4;0
Mühlacker;2023-04-01;6.2;8.2;9.6;10.9;0.9;NULL
Mühldorf;2023-04-01;5;6.7;8.8;12.6;1.9;0.7
Müncheberg;2023-04-01;2.4;2.8;6.7;8.9;6.9;0
München-Flughafen;2023-04-01;6.1;7;8.6;11.7;1.3;1.3
München-Stadt;2023-04-01;6;7;8.5;11.5;0.9;2
Münsingen-Apfelstetten;2023-04-01;0;3.3;5.6;7.3;1.8;NULL
Neu-Ulrichstein;2023-04-01;6.4;6.8;8.1;9.7;10.3;0
Neuhaus am Rennweg;2023-04-01;3.7;3.7;4.6;5.7;24.6;NULL
Neuhütten/Spessart;2023-04-01;6.5;7.2;8.3;9.4;20.6;0
Neuruppin-Alt Ruppin;2023-04-01;1.6;2.5;5.7;8.5;1.6;NULL
Norderney;2023-04-01;2.2;3.3;6.7;9.2;0.8;0
Nossen;2023-04-01;6.2;5.9;8.9;11.9;8.8;1
Nürburg-Barweiler;2023-04-01;5.4;5.9;7.5;10.1;5.1;0
Nürnberg;2023-04-01;6.8;8.2;9.1;10.2;1.2;0
Nörvenich-Niederbolheim;2023-04-01;NULL;NULL;9.7;NULL;4;0
Oberstdorf;2023-04-01;2.8;3.1;5.3;8.4;7.7;0
Oschatz;2023-04-01;4.9;4.8;9.7;13.1;3.2;1.3
Osterfeld;2023-04-01;5.2;5.2;9.5;12.2;13.2;NULL
Pelzerhaken;2023-04-01;2.4;3.5;4.6;6.8;4.7;NULL
Pforzheim-Ispringen;2023-04-01;6.5;7.5;8.7;10.1;2.6;NULL
Plauen;2023-04-01;6.9;7.2;8.6;10.7;7.7;NULL
Potsdam;2023-04-01;2.5;3;7.5;11.5;7.7;0
Putbus;2023-04-01;1.5;2.4;3.1;3.8;0;0.1
Quedlinburg;2023-04-01;3.2;3.3;9.5;12.6;18.6;0
Querfurt-Mühle Lodersleben;2023-04-01;4.5;4.5;9.3;11.6;2.9;NULL
Quickborn;2023-04-01;-0.7;1.3;5.8;9.9;2;NULL
Regensburg;2023-04-01;5.3;7;8.9;12.1;1.7;0.8
Rheinstetten;2023-04-01;7.4;8.3;9.5;10.3;6.4;0
Rostock-Warnemünde;2023-04-01;0.9;2.4;4.1;6.4;1.4;0
Roth;2023-04-01;6.6;7.6;8.5;10.2;4.8;NULL
Runkel-Ennerich;2023-04-01;7.4;8.8;10.2;12.7;5.9;0.4
Saarbrücken-Ensheim;2023-04-01;6.6;7.1;8.1;9.1;7.4;0
Salzuflen, Bad;2023-04-01;3.7;3.8;8.6;11.6;5.5;NULL
Sankt Peter-Ording;2023-04-01;-2.5;0.9;4.9;9.7;0.7;1.6
Schleiz;2023-04-01;6.2;6.7;7.6;8.9;10.2;NULL
Schleswig;2023-04-01;-1;1.4;3.9;6.4;1.7;2.1
Schmücke;2023-04-01;3;3.1;4;4.9;25.9;0
Schwerin;2023-04-01;-0.2;1.7;4.7;9;4.2;0
Schönhagen (Ostseebad);2023-04-01;1.9;3.5;4.4;5.7;1;2.2
Seehausen;2023-04-01;1.5;2.6;6.6;9.5;3.8;0
Soltau;2023-04-01;-0.1;1;7;10.4;4.1;0
Straubing;2023-04-01;5.7;7.6;9;11.7;3.2;0.3
Stuttgart (Schnarrenberg);2023-04-01;5.8;7.2;9;10.8;0.4;0.1
Stuttgart-Echterdingen;2023-04-01;4.8;6.7;8.5;10.8;0.4;1.4
Stötten;2023-04-01;4.3;4.7;6;7;3.4;0
Tholey;2023-04-01;6.2;6.6;7.5;8.4;11.4;0
Trollenhagen;2023-04-01;1.9;2.4;3.9;6.1;2.5;0
Ueckermünde;2023-04-01;3.3;3.4;4.5;5.9;0.5;0
Waibstadt;2023-04-01;7.2;7.6;8.8;9.5;4.8;NULL
Waldmünchen;2023-04-01;5.5;6.2;7.2;9.1;9.6;0.1
Warburg;2023-04-01;5.1;5.3;8.9;10.8;17.2;0
Waren (Müritz);2023-04-01;1.8;2.3;4.2;8.8;2;0
Wasserkuppe;2023-04-01;3.2;3.2;4.2;5.4;27.6;0
Weiden;2023-04-01;6;6.6;7.9;10.1;3.2;0
Weihenstephan-Dürnast;2023-04-01;5.2;6.4;8.1;10.5;1.4;0.9
Weinbiet;2023-04-01;5.3;5.4;6.6;8.2;1;0.3
Weingarten, Kr. Ravensburg;2023-04-01;2.6;4.9;7.8;9.6;1.5;0
Weißenburg-Emetzheim;2023-04-01;4.6;6.2;7.9;9.1;3.3;0.2
Werl;2023-04-01;5.7;6.1;9.7;11.2;11.5;0
Wernigerode;2023-04-01;2.8;2.7;8.8;12;8.9;0
Wielenbach (Demollstr.);2023-04-01;4.3;5.8;8.1;11.2;0;3.3
Wiesenburg;2023-04-01;2.3;2.1;7.6;13;4.7;0.4
Wittenberg;2023-04-01;3.1;3.2;8.7;13.2;2;0.3
Wunsiedel-Schönbrunn;2023-04-01;4.9;5.6;6.5;7.3;10.3;0
Würzburg;2023-04-01;7.7;8.2;9.1;10.2;3.6;0.4
Zinnwald-Georgenfeld;2023-04-01;3.6;3.9;5.1;8.2;7.6;1.3
Zugspitze;2023-04-01;NULL;-9.8;-9.1;-8.2;3.3;1
Öhringen;2023-04-01;6.8;7.9;9;9.8;9.5;0
Ahaus;2023-04-02;-0.5;2.1;5;8.6;0;7.3
Alfeld;2023-04-02;-1.8;1;3.8;7.1;0;1.1
Angermünde;2023-04-02;-3.2;-0.9;3.6;8.4;0;5.7
