Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2024-09-01;13.3;14.9;21.3;27.5;0;12.1
Alfeld;2024-09-01;10.7;12.3;18.8;25.9;0;NULL
Andernach;2024-09-01;13.6;16.2;24.3;33.2;0;12.4
Angermünde;2024-09-01;8.7;9.6;17.1;24.2;0;9.5
Arkona;2024-09-01;11.2;15;17.7;21.1;0;8
Artern;2024-09-01;13.4;14.2;20.5;28.8;0;NULL
Augsburg;2024-09-01;15.4;16.8;22.7;28.6;5.7;8.8
Bamberg;2024-09-01;14.9;17.2;23.4;31.5;0;11.2
Barth;2024-09-01;3;4.6;13.7;21.4;0;NULL
Baruth;2024-09-01;7.6;10.3;18.3;26.3;0;NULL
Belm;2024-09-01;13.3;14.2;19.8;25.6;0;12.3
Berge;2024-09-01;9.7;12.8;18.6;24.9;0;10.3
Berlin-Dahlem (FU);2024-09-01;10;14.3;19.4;26.1;0;10.8
Berlin-Tempelhof;2024-09-01;10.5;13.6;19.7;25.8;0;NULL
Bertsdorf-Hörnitz;2024-09-01;11.2;12.4;18.4;24.9;0;NULL
Berus;2024-09-01;18.1;18.8;24.1;30.3;0;11.9
Boizenburg;2024-09-01;7.6;10.9;17.8;25;0;11
Boltenhagen;2024-09-01;12.3;14.9;17.6;20.5;0;10.4
Braunlage;2024-09-01;11.9;13.7;18;22.9;0;NULL
Braunschweig;2024-09-01;13.3;14.4;19.9;26.1;0;12.6
Bremen;2024-09-01;12.1;13.4;19.4;25.4;0;12.5
Bremervörde;2024-09-01;10.5;12.3;18;23.9;0;12.4
Carlsfeld;2024-09-01;12.9;15.2;19.3;24.3;0;8.9
Chemnitz;2024-09-01;13.9;14.9;20.3;26.8;0;12.4
Chieming;2024-09-01;15.8;16.7;21.7;28.1;0;10
Cottbus;2024-09-01;10.9;14;19.3;25.9;0;10.1
Cuxhaven;2024-09-01;13.1;15;18.7;22.7;0;12.4
Deuselbach;2024-09-01;15.6;18.5;23.6;29.3;0;11.4
Diepholz;2024-09-01;13.4;14.6;19.9;25.7;0;12.3
Doberlug-Kirchhain;2024-09-01;12.3;13.4;19.5;26.2;0;11.3
Dresden-Klotzsche;2024-09-01;13.3;14.6;20;26.1;0;12.4
Düsseldorf;2024-09-01;14.3;15.4;23.6;32.3;0;12
Dörnick;2024-09-01;4.2;5.9;15.2;21.4;0;11.2
Dörpen;2024-09-01;12.7;13.8;19.8;26;0;12.3
Eisenach;2024-09-01;12;12.9;19.2;26.6;0;NULL
Elpersbüttel;2024-09-01;6.2;8.8;16.5;22.9;0;12.7
Emden;2024-09-01;12;12.9;18.9;25;0;12.1
Erfurt-Weimar;2024-09-01;11.7;14.2;19.7;26.7;0;NULL
Essen-Bredeney;2024-09-01;14.9;15.7;23.1;30;0;12
Fehmarn;2024-09-01;10.9;13.1;17.1;20.1;0;NULL
Feldberg/Mecklenburg;2024-09-01;9.3;10.8;16.4;22.4;0;8.8
Feldberg/Schwarzwald;2024-09-01;9.4;12.1;17.5;20.6;13.1;6.1
Feuchtwangen-Heilbronn;2024-09-01;14.4;16.2;22.7;29.8;0;NULL
Fichtelberg;2024-09-01;13;14.6;18.2;23.3;0;11.9
Fichtelberg/Oberfranken-Hüttstadl;2024-09-01;11.6;14;20.1;28.3;0;NULL
Frankfurt/Main;2024-09-01;18.2;19.1;25.8;32.9;0;12.1
Freiburg;2024-09-01;14.2;16.6;23.5;30.6;26.7;9.9
