Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2023-03-01;-8.6;-6.1;0.5;6.7;0;9.7
Alfeld;2023-03-01;-8.2;-6.9;-1;5.3;0;9.8
Angermünde;2023-03-01;-7.4;-6;0.6;8.6;0;9.8
Arkona;2023-03-01;-1;-0.6;2.1;5.4;0;9.2
Artern;2023-03-01;-9.3;-5.9;-0.5;6;0;NULL
Augsburg;2023-03-01;-4.5;-2.9;1.6;6.6;0;7.1
Bamberg;2023-03-01;-7.5;-3.9;1.4;8;0;10
Barth;2023-03-01;-6.4;-4.9;0.6;5.7;0;2.6
Baruth;2023-03-01;-10.1;-8.4;-1.3;8.4;0;NULL
Belm;2023-03-01;-8.1;-5.7;0.6;6.1;0;9.9
Berge;2023-03-01;-6.8;-5.7;0.4;7;0;10.1
Berlin-Dahlem (FU);2023-03-01;-7.3;-5.4;0.7;8.3;0;10.3
Berlin-Tempelhof;2023-03-01;-9.4;-5.8;1.5;7.9;0;NULL
Bertsdorf-Hörnitz;2023-03-01;-9.2;-7.7;-1.8;5.1;0;10
Berus;2023-03-01;-4.6;-3.3;1;6.2;0;10.1
Boizenburg;2023-03-01;-6.9;-3.5;1.7;9;0;6.4
Boltenhagen;2023-03-01;-3.2;-2.2;0.5;2.9;0;3.3
Braunlage;2023-03-01;-6.3;-5.8;-1.9;1.9;0;NULL
Braunschweig;2023-03-01;-8.2;-5.6;0.1;6.4;0;10.3
Bremen;2023-03-01;-6.6;-5.2;1.3;8.1;0;7.1
Bremerhaven;2023-03-01;-2.6;-0.8;2.2;7.2;0;6.1
Bremervörde;2023-03-01;-7.3;-4.9;0.2;6.9;0;7.8
Carlsfeld;2023-03-01;-1.3;-10.6;-4.1;1.7;0;10.3
Chemnitz;2023-03-01;-9.7;-7;-1.8;2.3;0;10.3
Chieming;2023-03-01;-4;-2.4;-0.3;3.7;0;4.4
Cottbus;2023-03-01;-9.7;-8;-1.4;7.1;0;9.7
Cuxhaven;2023-03-01;-5.1;-0.5;2.1;4.3;0;0
Deuselbach;2023-03-01;-6.6;-4.1;0.1;4.8;0;8.9
Diepholz;2023-03-01;-10.1;-6.7;1;7;0;9.8
Doberlug-Kirchhain;2023-03-01;-9.4;-6.8;-1.2;6.5;0;10
Dresden-Klotzsche;2023-03-01;-9.1;-7.3;-0.5;4.8;0;10.4
Düsseldorf;2023-03-01;-7.8;-4.4;1.9;7.1;0;10.1
Dörnick;2023-03-01;-4.3;-2.8;-0.5;1.5;0;0
Dörpen;2023-03-01;-6.2;-4.8;1.5;7.6;0;10.2
Eisenach;2023-03-01;-8.3;-5.2;-0.8;3.7;0;10
Elpersbüttel;2023-03-01;-3.4;-1.9;1.5;3.3;0;0
Emden;2023-03-01;-6.8;-5.6;1.1;8.3;0;9.1
Erfurt-Weimar;2023-03-01;-8;-4.8;-0.8;3.8;0;9.9
Essen-Bredeney;2023-03-01;-5.1;-2.8;1.5;6.1;0;10.3
Fehmarn;2023-03-01;0.7;0.5;2.1;3.4;0;1
Feldberg/Mecklenburg;2023-03-01;-6.3;-4.3;1.2;7.8;0;9.3
Feldberg/Schwarzwald;2023-03-01;-1;-8.1;-6.1;-4;0.1;2
Feuchtwangen-Heilbronn;2023-03-01;-5.9;-4.6;0.6;6.5;0;10.4
Fichtelberg;2023-03-01;-0.2;-8.8;-5.6;-1.8;0;10.7
Fichtelberg/Oberfranken-Hüttstadl;2023-03-01;-9.7;-6.5;-1.6;3.3;0;NULL
Frankfurt/Main;2023-03-01;-1.7;-0.7;3;8.2;0;9.2
Freiburg;2023-03-01;-7.9;-4.8;1.1;7.9;0;3.2
Freudenstadt;2023-03-01;-7.8;-5.6;-1.4;3.1;0;7.3
Friesoythe-Altenoythe;2023-03-01;-6.2;-4.8;1.3;7.8;0;8.9
Fürstenzell;2023-03-01;-4.6;-3.2;2.3;9.3;0;10.1
Gardelegen;2023-03-01;-10.1;-7.9;-0.9;7.9;0;9.7
Garmisch-Partenkirchen;2023-03-01;-2.4;-3.5;-1;2.7;0;3.5
Geisenheim;2023-03-01;-5.1;-1.9;3.3;9.4;0;9.8
Gelbelsee;2023-03-01;-5;-3.4;0.9;6.4;0;10.2
Genthin;2023-03-01;-10.5;-7.7;-0.9;7.5;0;9.5
Gera-Leumnitz;2023-03-01;-7.3;-5.2;-0.6;3.6;0;9.8
Gießen/Wettenberg;2023-03-01;-4.2;-3.1;1.4;6.2;0;9.7
Goldberg;2023-03-01;-5.9;-4;1;8.2;0;9.3
Gottfrieding;2023-03-01;-7.2;-3.8;2.4;9.1;0;10.3
Greifswald;2023-03-01;-4.1;-2;1.4;7.2;0;9.3
Greifswalder Oie;2023-03-01;-2;0.1;2.1;4.6;0;6.5
Groß Lüsewitz;2023-03-01;-6.1;-3.4;-0.1;3.5;0;NULL
