Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2024-02-01;0.4;3.6;6;8.2;0;5.45
Alfeld;2024-02-01;1.4;4.2;6;8;0.3;3.983
Andernach;2024-02-01;-4.9;-1.6;6.1;9.3;1.2;6.05
Angermünde;2024-02-01;3;3.9;5.8;7.7;0;3.45
Arkona;2024-02-01;2.9;3.5;4.5;5.8;0.1;6.717
Artern;2024-02-01;1.3;3.1;6.1;8.8;0;NULL
Augsburg;2024-02-01;-0.7;1.7;5.9;7.7;5.3;0
Bamberg;2024-02-01;-3.9;-1.3;5.9;10;1.3;1.817
Barth;2024-02-01;2.3;3.9;5.2;6.8;0;NULL
Baruth;2024-02-01;2.4;3.9;6;9.5;0.6;NULL
Belm;2024-02-01;0.6;3.1;5.5;7.5;0.2;4.917
Berge;2024-02-01;2.6;4.2;5.9;7.7;0.1;4.917
Berlin-Dahlem (FU);2024-02-01;2.8;4.3;6.2;8.4;0.1;4.9
Berlin-Tempelhof;2024-02-01;2.6;4.4;6.4;8.7;0.1;NULL
Bertsdorf-Hörnitz;2024-02-01;-1.7;1;4.3;8.2;0.3;2.7
Berus;2024-02-01;-1.4;2.8;6.4;10.7;3;2.55
Boizenburg;2024-02-01;2.4;4.1;5.8;8;0;2.9
Boltenhagen;2024-02-01;2.7;3.7;5.6;7.9;0;5
Braunlage;2024-02-01;-0.1;0.3;2.1;4.5;1.1;NULL
Braunschweig;2024-02-01;1.6;3.6;6;7.6;0;4.5
Bremen;2024-02-01;1.1;2.8;5.6;8.2;0;6.7
Bremerhaven;2024-02-01;3;4.6;6;7.7;0;7.533
Bremervörde;2024-02-01;2.4;3.9;5.8;8.2;0.1;6.667
Carlsfeld;2024-02-01;-2.5;-1.6;0.6;2.8;6.4;1.3
Chemnitz;2024-02-01;1.5;2;4.4;7.2;1.6;2.783
Chieming;2024-02-01;-1.4;1;5.6;8;6.7;0
Cottbus;2024-02-01;2.5;4.2;6.2;8.9;0.3;3.533
Cuxhaven;2024-02-01;3.1;5.1;6.2;7.3;0;7.45
Deuselbach;2024-02-01;-3.5;0.1;5.1;8.3;0.5;2.783
Diepholz;2024-02-01;1.4;3.4;5.9;8.1;0.1;5.633
Doberlug-Kirchhain;2024-02-01;2.3;4;5.8;8.2;0.2;3.9
Dresden-Klotzsche;2024-02-01;-1.6;0;4.9;7.6;1.4;4.083
Düsseldorf;2024-02-01;-3.3;0.5;6.4;9.1;0;6.217
Dörnick;2024-02-01;1.8;4;5.6;7.7;0;3.717
Dörpen;2024-02-01;1.7;3.8;6.2;8.6;0.3;6.367
Eisenach;2024-02-01;-1.8;2.3;5;7.5;0.6;3.967
Elpersbüttel;2024-02-01;2.5;4.1;5.5;6.9;0.1;7.533
Emden;2024-02-01;1.4;3.5;5.8;8;0;7.367
Erfurt-Weimar;2024-02-01;-1.9;0.7;5;8;0.1;NULL
Essen-Bredeney;2024-02-01;1;3.1;6.2;8.5;0;6.25
Fehmarn;2024-02-01;3.2;3.9;4.9;6.1;0.2;3.533
Feldberg/Mecklenburg;2024-02-01;1.8;3.3;5.2;7.3;0;3.617
Feldberg/Schwarzwald;2024-02-01;-1.7;-1.2;0.5;1.9;4.3;0
Feuchtwangen-Heilbronn;2024-02-01;-2.4;0.7;5.4;7.7;5.5;0.283
Fichtelberg;2024-02-01;0.1;-3.3;-1.4;0.1;7.2;0.017
Fichtelberg/Oberfranken-Hüttstadl;2024-02-01;-3.7;-1.2;2.9;4.9;5;NULL
Frankfurt/Main;2024-02-01;-3.2;-1.2;6.4;11.3;0.2;4.167
Freiburg;2024-02-01;0.8;3.4;9.1;11.4;4.4;0
Freudenstadt;2024-02-01;1.4;2.9;5;6.8;11.8;0.033
Friesoythe-Altenoythe;2024-02-01;2.4;4;6;8.3;0;6.717
Fürstenzell;2024-02-01;0.6;0.8;4.2;6;7;0.017
Gardelegen;2024-02-01;2.1;3.8;6.1;8;0;4.183
Garmisch-Partenkirchen;2024-02-01;-4.8;-2.4;1.7;6;4.7;0
Geisenheim;2024-02-01;-1.6;0.3;6.5;11;0.2;4.85
Gelbelsee;2024-02-01;-0.8;1.5;4.9;6.9;4.7;0
Genthin;2024-02-01;2.7;4.4;6.5;8.7;0;4.517
Gera-Leumnitz;2024-02-01;1.4;2.8;5.2;8.2;0.2;4.183
Gießen/Wettenberg;2024-02-01;-2;2.1;5.4;9.3;0.1;5.633
Goldberg;2024-02-01;1.6;3.1;5.5;7.5;0;NULL
Gottfrieding;2024-02-01;-1.4;-0.2;4.1;7.8;5.9;0.067
Greifswald;2024-02-01;2.4;4.1;5.5;7.5;0;1.733
Greifswalder Oie;2024-02-01;3.4;3.9;4.6;5.7;0.2;NULL
Groß Lüsewitz;2024-02-01;1.6;3.3;5.4;7.6;0;NULL
Großer Arber;2024-02-01;NULL;-3.4;-1;0;5.8;0
Grünow;2024-02-01;2.8;3.9;5.4;7.1;0;NULL
Gülzow-Prüzen;2024-02-01;2;3.4;5.7;7.9;0;NULL
Günzburg;2024-02-01;-1;1.8;5.5;8;2.6;NULL
Görlitz;2024-02-01;-0.4;1.5;4.6;8;1.1;2.7
Göttingen;2024-02-01;-2.2;1.7;5.2;7.7;0.2;5.1
Hahn;2024-02-01;-3.6;0.3;4.9;8.4;0.2;4.017
Hamburg-Fuhlsbüttel;2024-02-01;2.2;4.4;6.1;8.1;0;4.967
Hannover;2024-02-01;1.9;3.5;5.8;7.8;0;4.283
Harburg;2024-02-01;1.6;2.9;5.9;7.6;3.4;NULL
Harzgerode;2024-02-01;-0.4;0.8;3.9;6.7;0;5.8
Hasenkrug-Hardebek;2024-02-01;0.3;3.8;5.7;8;0;NULL
Heckelberg;2024-02-01;2;3.9;5.5;7.5;0.1;NULL
Helgoland;2024-02-01;4.4;5.9;6.6;7.4;0;7.417
Hersfeld, Bad;2024-02-01;-2.1;0.3;5.2;9.3;0.3;4.65
Hof;2024-02-01;-2.6;0.4;3.7;6.6;1.5;2.067
Hohenpeißenberg;2024-02-01;1.8;2.5;3.7;5;5.1;0
Hoherodskopf/Vogelsberg;2024-02-01;-1.6;-0.8;1.9;4.9;1;3.183
Holzdorf-Bernsdorf;2024-02-01;NULL;NULL;5.8;NULL;0.1;4.4
Hoyerswerda;2024-02-01;-2.2;0.5;5.3;9;0.6;NULL
Itzehoe;2024-02-01;2.1;4.1;5.9;7.6;0;NULL
Kahler Asten;2024-02-01;-1.1;-0.5;1;3.3;0.8;3.783
Kaisersbach-Cronhütte;2024-02-01;-0.8;1.1;6;7.6;9.5;0
Kall-Sistig;2024-02-01;-1.1;0.2;4.2;6.1;1.2;NULL
Kempten;2024-02-01;0.4;3.4;5.5;7.1;5.8;0
Kiel-Holtenau;2024-02-01;2;4.1;5.8;8.2;0;NULL
Kissingen, Bad;2024-02-01;-0.4;2.8;6.2;9.9;0.7;2.867
Kleiner Feldberg/Taunus;2024-02-01;-1.9;-0.8;1.6;3.7;0.8;3.017
Klippeneck;2024-02-01;2;2.1;4.2;5.4;2.1;0
Konstanz;2024-02-01;0;1.5;6.2;7.8;5.9;0
Krölpa-Rockendorf;2024-02-01;0.2;1.7;5.7;8.9;0.2;NULL
Kyritz;2024-02-01;2.9;4.1;5.9;NULL;0;5.017
Köln/Bonn;2024-02-01;-2.1;0.9;6.5;9.1;0.2;6.05
Königswinter-Heiderhof;2024-02-01;-1;1.8;6.5;8.7;0.2;NULL
Lahr;2024-02-01;0.4;2;7.7;10.4;5.8;0
