Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2024-10-01;11.4;11.6;12.6;13.9;22.4;0
Alfeld;2024-10-01;10.7;11.3;12.4;14.5;17.7;NULL
Andernach;2024-10-01;3.1;7.6;12.9;17.1;0;1.667
Angermünde;2024-10-01;6.2;7.7;9.1;10.6;4.1;NULL
Arkona;2024-10-01;10.5;12;12.4;13;0;1.35
Artern;2024-10-01;7.2;10.6;13;17.1;1.4;NULL
Augsburg;2024-10-01;10.2;11.6;13.5;16.8;8.6;3.467
Bamberg;2024-10-01;6.3;7.8;12.4;17.2;7.8;2.983
Barth;2024-10-01;6.1;8.4;9.8;12.8;1.3;NULL
Baruth;2024-10-01;6.9;7.5;10.1;13.4;7.2;NULL
Belm;2024-10-01;11.1;11.3;12.4;13.3;11.2;0
Berge;2024-10-01;7.4;8.1;9.9;11.1;9.9;0
Berlin-Dahlem (FU);2024-10-01;7.1;7.9;9.8;11.3;7.7;0
Berlin-Tempelhof;2024-10-01;6.8;8;9.7;11.2;8.5;NULL
Bertsdorf-Hörnitz;2024-10-01;5.4;7.7;11;15.1;4.2;NULL
Berus;2024-10-01;7.5;9.5;12;16.3;0.6;4.267
Boizenburg;2024-10-01;7.6;7.9;9;9.8;3.9;0
Boltenhagen;2024-10-01;7.9;8.1;9.6;11;3.7;0
Braunlage;2024-10-01;8.3;8.1;9.4;12.4;11;NULL
Braunschweig;2024-10-01;9.9;10.4;12.2;15.3;13.9;0.917
Bremen;2024-10-01;9.6;9.8;12.4;15.5;9.3;0.833
Bremerhaven;2024-10-01;9.1;9.3;11.1;12.8;2.1;0
Bremervörde;2024-10-01;9;9.2;10.8;14.2;3.7;0.033
Carlsfeld;2024-10-01;1.1;5.3;7.5;10.2;7.2;1.55
Chemnitz;2024-10-01;5.3;7.9;11.7;15.2;2.5;2.383
Chieming;2024-10-01;9.4;10.4;13.2;17.8;2.3;1.45
Cottbus;2024-10-01;6.1;7;9.9;12.3;16.4;0.017
Cuxhaven;2024-10-01;9;9.4;10.4;11.6;7.2;NULL
Deuselbach;2024-10-01;3.9;6.3;11;14.6;0;2.417
Diepholz;2024-10-01;9.5;11;12.3;13.5;18.9;0
Doberlug-Kirchhain;2024-10-01;8.2;8.6;12.3;18.6;1.5;NULL
Dresden-Klotzsche;2024-10-01;5.6;8.5;12.1;17.2;0.9;1.7
Düsseldorf;2024-10-01;5.8;9.1;13.4;15.1;2.4;0
Dörnick;2024-10-01;7.9;8.2;9.3;10.7;2.6;0
Dörpen;2024-10-01;10.7;11.2;13;14.6;1.7;0.05
Eisenach;2024-10-01;6.2;9.1;12.1;14.8;2.2;NULL
Elpersbüttel;2024-10-01;8;8.4;9.3;10.6;4.2;NULL
Emden;2024-10-01;10.3;10.3;13.3;16.9;0.2;1.683
Erfurt-Weimar;2024-10-01;6.5;9.4;12.1;15.5;0.9;NULL
Essen-Bredeney;2024-10-01;8.1;10.2;12.4;13.8;8.5;0
Fehmarn;2024-10-01;8.3;8.8;10.2;12;5.4;NULL
Feldberg/Mecklenburg;2024-10-01;5.1;6.3;7.9;9.4;12.1;NULL
Feldberg/Schwarzwald;2024-10-01;5;4.4;5.8;7.5;51.3;0.033
Feuchtwangen-Heilbronn;2024-10-01;8.2;9.8;12;15.8;10.2;NULL
Fichtelberg;2024-10-01;3.4;4.3;5.8;7.8;10.4;1.167
Fichtelberg/Oberfranken-Hüttstadl;2024-10-01;3.7;5.6;9.1;13;16.6;NULL
Frankfurt/Main;2024-10-01;4.9;7.9;13.4;17.6;1.3;1.667
Freiburg;2024-10-01;11.5;11.6;14.5;17;30.9;0.45
Freudenstadt;2024-10-01;8.9;8.9;10.5;12.7;18.2;0.35
Friesoythe-Altenoythe;2024-10-01;10.5;10.3;13.1;16.3;1.6;2.917
Fürstenzell;2024-10-01;6.4;7.6;11.9;17.2;3.3;1.3
