Standort	Datum	Min_2m	Mittel_2m	Max_2m	Niederschlagshoehe	Sonnenscheindauer	Mittel_Windstaerke	Max_Windgeschwindigkeit
Neuruppin-Alt Ruppin	2021-01-01	0.2	1.4	2.8	0.1	NULL	1.3	5.9
Neuruppin-Alt Ruppin	2021-01-02	0.7	2.1	4.8	0	NULL	1.4	4.5
Neuruppin-Alt Ruppin	2021-01-03	0.5	1.2	2.1	7.1	NULL	2.9	9.4
Neuruppin-Alt Ruppin	2021-01-04	0.3	0.7	1.1	1.3	NULL	2.2	6.5
Neuruppin-Alt Ruppin	2021-01-05	0.9	2	3.4	1.2	NULL	2.5	7.8
Neuruppin-Alt Ruppin	2021-01-06	0.6	1.6	3.5	0.9	NULL	2.5	8
Neuruppin-Alt Ruppin	2021-01-07	0.2	0.7	1.2	0.1	NULL	2.7	6.9
Neuruppin-Alt Ruppin	2021-01-08	0.3	0.8	1.8	0.5	NULL	1.7	5.2
Neuruppin-Alt Ruppin	2021-01-09	-0.2	1.3	2.4	0.1	NULL	1.3	4.4
Neuruppin-Alt Ruppin	2021-01-10	-1.1	0.2	1.9	0.7	NULL	2.2	6.5
Neuruppin-Alt Ruppin	2021-01-11	-0.2	0.8	1.9	5	NULL	3.5	10.2
Neuruppin-Alt Ruppin	2021-01-12	-0.2	1.3	3.2	4.3	NULL	3.2	10.6
Neuruppin-Alt Ruppin	2021-01-13	-0.5	1.1	3.5	4.1	NULL	4.5	15.2
Neuruppin-Alt Ruppin	2021-01-14	-0.1	1.2	2.6	0.1	NULL	3.1	9.2
Neuruppin-Alt Ruppin	2021-01-15	-2.5	-0.7	0.8	0	NULL	3	9.6
Neuruppin-Alt Ruppin	2021-01-16	-3	-1.7	-0.4	0	NULL	2.3	9
Neuruppin-Alt Ruppin	2021-01-17	-6.3	-3.2	-0.4	0	NULL	0.8	2.8
Neuruppin-Alt Ruppin	2021-01-18	-6.1	-1.2	3	4.2	NULL	2	8.3
Neuruppin-Alt Ruppin	2021-01-19	0.2	1.7	4.9	14.4	NULL	2.8	10
Neuruppin-Alt Ruppin	2021-01-20	2.5	5	7.4	0.2	NULL	3.4	9
Neuruppin-Alt Ruppin	2021-01-21	2	6.4	12.3	1.3	NULL	3.9	13.4
Neuruppin-Alt Ruppin	2021-01-22	-0.8	5.6	9.7	0	NULL	3.8	14.2
Neuruppin-Alt Ruppin	2021-01-23	-1.8	0.1	2.5	0	NULL	0.8	3.2
Neuruppin-Alt Ruppin	2021-01-24	-2.1	0.3	2	3.3	NULL	1	3
