Standort	Datum	Min_2m	Mittel_2m	Max_2m	Niederschlagshoehe	Sonnenscheindauer	Mittel_Windstaerke	Max_Windgeschwindigkeit
Neuruppin-Alt Ruppin	2021-01-25	0	0.4	0.9	0.3	NULL	1.9	5.6
Neuruppin-Alt Ruppin	2021-01-26	-3.2	-0.1	1.7	0	NULL	2	8.1
Neuruppin-Alt Ruppin	2021-01-27	-1.3	1	4.4	0.4	NULL	2.3	5.9
Neuruppin-Alt Ruppin	2021-01-28	-2.5	0.8	3.3	0	NULL	2.1	7.1
Neuruppin-Alt Ruppin	2021-01-29	-4	-1.5	0	1	NULL	2	6.3
Neuruppin-Alt Ruppin	2021-01-30	-8.1	-1.8	1.6	0.1	NULL	1.5	6
Neuruppin-Alt Ruppin	2021-01-31	-9.4	-5.8	-0.1	0	NULL	1.4	5.2
Neuruppin-Alt Ruppin	2021-02-01	-8.9	-3.3	1.2	0.1	NULL	2.5	7.9
Neuruppin-Alt Ruppin	2021-02-02	-1.1	-0.2	0.9	1.4	NULL	1.7	5.4
Neuruppin-Alt Ruppin	2021-02-03	-0.1	1	2.1	17.6	NULL	2.4	8.3
Neuruppin-Alt Ruppin	2021-02-04	-0.3	0.4	1	0.3	NULL	2.2	6.4
Neuruppin-Alt Ruppin	2021-02-05	-1.5	-0.1	1.2	0.2	NULL	3.9	10.1
Neuruppin-Alt Ruppin	2021-02-06	-4.5	-2.4	-0.9	0	NULL	4.4	12
Neuruppin-Alt Ruppin	2021-02-07	-6.9	-5.7	-4.4	0	NULL	5.9	16.8
Neuruppin-Alt Ruppin	2021-02-08	-9.6	-8.3	-6.1	1.8	NULL	4	12.8
Neuruppin-Alt Ruppin	2021-02-09	-11.6	-8.9	-6.4	0	NULL	1.2	4.3
Neuruppin-Alt Ruppin	2021-02-10	-11.7	-6.9	-2.7	0	NULL	1.6	5.9
Neuruppin-Alt Ruppin	2021-02-11	-10.9	-4.9	-1.6	0	NULL	2.9	7.4
Neuruppin-Alt Ruppin	2021-02-12	-11.4	-6.2	-0.3	0	NULL	2.1	8
Neuruppin-Alt Ruppin	2021-02-13	-13.3	-7.2	0	0	NULL	1.2	4.5
Neuruppin-Alt Ruppin	2021-02-14	-13.6	-7.2	-4.4	0	NULL	1.4	5.7
Neuruppin-Alt Ruppin	2021-02-15	-15.8	-6.4	0	6	NULL	2.2	11.1
Neuruppin-Alt Ruppin	2021-02-16	-1.6	0.9	3.3	1.8	NULL	1.3	4.3
Neuruppin-Alt Ruppin	2021-02-17	0.5	3.9	6.8	0.2	NULL	2.1	7.7
Neuruppin-Alt Ruppin	2021-02-18	1.8	5.5	10.3	4.4	NULL	1.8	7.1
Neuruppin-Alt Ruppin	2021-02-19	-1.5	4.4	8.9	0	NULL	2.5	7.8
Neuruppin-Alt Ruppin	2021-02-20	-1.7	4.8	12.2	0	NULL	1.7	4.8
Neuruppin-Alt Ruppin	2021-02-21	0	6.8	15.7	0	NULL	1.6	5
Neuruppin-Alt Ruppin	2021-02-22	-1.5	4.8	13.1	0	NULL	1.4	4.9
Neuruppin-Alt Ruppin	2021-02-23	1.3	8.1	17.3	0	NULL	1.4	6.2
Neuruppin-Alt Ruppin	2021-02-24	3.4	9.9	19.1	0	NULL	1.5	5.9
Neuruppin-Alt Ruppin	2021-02-25	2.8	9.5	18.5	4	NULL	1.4	5.3
Neuruppin-Alt Ruppin	2021-02-26	4.1	7.1	10.2	0	NULL	2.3	8
Neuruppin-Alt Ruppin	2021-02-27	0.1	4.8	7.5	0	NULL	2.6	9.2
Neuruppin-Alt Ruppin	2021-02-28	-1.2	2.7	6.3	0	NULL	1.6	6.1
Neuruppin-Alt Ruppin	2021-03-01	-2.3	3.4	7.2	0	NULL	1.3	5.6
Neuruppin-Alt Ruppin	2021-03-02	-3.3	0.5	9.2	0	NULL	0.8	2.9
Neuruppin-Alt Ruppin	2021-03-03	-3	5.4	13.8	0	NULL	1.6	7
Neuruppin-Alt Ruppin	2021-03-04	1.5	3.4	6	0	NULL	2.3	7.5
Neuruppin-Alt Ruppin	2021-03-05	-3.6	1.2	6.2	0	NULL	2.1	8
Neuruppin-Alt Ruppin	2021-03-06	-4.7	0.7	3.9	0.1	NULL	2.3	7.9
Neuruppin-Alt Ruppin	2021-03-07	0.6	2.5	5.1	1.4	NULL	3.3	9.9
Neuruppin-Alt Ruppin	2021-03-08	-4	1	6.7	0	NULL	1.5	7.1
Neuruppin-Alt Ruppin	2021-03-09	-4.7	0.1	7	0	NULL	1.4	4.5
Neuruppin-Alt Ruppin	2021-03-10	-6.3	1.6	8.4	2.2	NULL	2.1	6.6
Neuruppin-Alt Ruppin	2021-03-11	2.3	6.2	11.9	8.5	NULL	4.8	23.7
Neuruppin-Alt Ruppin	2021-03-12	4.4	6.7	10.1	0.9	NULL	4.6	13.9
Neuruppin-Alt Ruppin	2021-03-13	2.6	5.4	8.6	9.9	NULL	4.7	15.9
Neuruppin-Alt Ruppin	2021-03-14	3.2	5	8.7	0.6	NULL	4.8	16.7
Neuruppin-Alt Ruppin	2021-03-15	2.9	4.4	6.6	9	NULL	3.3	9.4
Neuruppin-Alt Ruppin	2021-03-16	-1.4	3.8	8.2	0	NULL	3.1	12
Neuruppin-Alt Ruppin	2021-03-17	-2.3	1.3	6.8	0.6	NULL	1.7	8.8
Neuruppin-Alt Ruppin	2021-03-18	-2	2.3	7.4	0.1	NULL	1.6	7.5
Neuruppin-Alt Ruppin	2021-03-19	-2.9	0.3	4.3	0	NULL	2.5	11.1
Neuruppin-Alt Ruppin	2021-03-20	-2.2	1	3.8	0.6	NULL	3.2	10.8
Neuruppin-Alt Ruppin	2021-03-21	0.3	5.3	10.4	1	NULL	3.9	12.9
Neuruppin-Alt Ruppin	2021-03-22	0.3	5.5	10.6	0.5	NULL	2.3	8.6
Neuruppin-Alt Ruppin	2021-03-23	4	5.4	6.7	0.2	NULL	2.1	6.4
Neuruppin-Alt Ruppin	2021-03-24	1.3	6.7	12.5	0	NULL	1.5	8.5
Neuruppin-Alt Ruppin	2021-03-25	-1	6.8	14.3	0	NULL	1.1	5.8
Neuruppin-Alt Ruppin	2021-03-26	1.9	8.4	15.8	0.1	NULL	1.4	5.7
Neuruppin-Alt Ruppin	2021-03-27	1.5	5.5	10.8	4.2	NULL	3.4	13.5
Neuruppin-Alt Ruppin	2021-03-28	-0.2	6.6	11.7	0.1	NULL	3.1	11
Neuruppin-Alt Ruppin	2021-03-29	7.4	13.2	19.7	0	NULL	3.1	11.6
Neuruppin-Alt Ruppin	2021-03-30	4.4	12.4	21.3	0	NULL	1.6	6.9
Neuruppin-Alt Ruppin	2021-03-31	2.1	12.6	23.3	0	NULL	1.1	5.2
Neuruppin-Alt Ruppin	2021-04-01	3.2	9.1	16.1	0.2	NULL	2.4	10.4
Neuruppin-Alt Ruppin	2021-04-02	0.7	5.4	11	0	NULL	3	11.1
Neuruppin-Alt Ruppin	2021-04-03	-2.1	4.9	10	0	NULL	3.3	11.4
Neuruppin-Alt Ruppin	2021-04-04	-4	3.7	9.6	0	NULL	2.9	10.4
Neuruppin-Alt Ruppin	2021-04-05	-0.3	3.5	5.9	2.6	NULL	5	16
Neuruppin-Alt Ruppin	2021-04-06	-1.7	1.3	6.2	1.4	NULL	4.1	14.1
Neuruppin-Alt Ruppin	2021-04-07	0.6	2.3	5.9	1.4	NULL	4.5	11.7
Neuruppin-Alt Ruppin	2021-04-08	0.9	3.9	7.4	0	NULL	4.3	11.1
Neuruppin-Alt Ruppin	2021-04-09	0	7	13.1	0.4	NULL	3.6	12.4
Neuruppin-Alt Ruppin	2021-04-10	2.3	6.3	10.1	6.7	NULL	1.7	6.6
Neuruppin-Alt Ruppin	2021-04-11	2.8	9.8	19	4.5	NULL	3	11.8
Neuruppin-Alt Ruppin	2021-04-12	1	4.4	8.6	0.2	NULL	2.6	8.4
Neuruppin-Alt Ruppin	2021-04-13	-0.4	3.9	11.2	0.2	NULL	2.5	9.2
Neuruppin-Alt Ruppin	2021-04-14	-0.8	4.1	9.4	0	NULL	2.4	7.9
Neuruppin-Alt Ruppin	2021-04-15	0.4	4.8	8.7	0.1	NULL	3.2	11.7
Neuruppin-Alt Ruppin	2021-04-16	4	7.1	11.7	0	NULL	3.7	10.4
Neuruppin-Alt Ruppin	2021-04-17	4.7	9	14.4	0	NULL	2.6	9.2
Neuruppin-Alt Ruppin	2021-04-18	3.7	6.7	11.4	8.5	NULL	2	9.8
Neuruppin-Alt Ruppin	2021-04-19	4.1	10.2	18.3	0	NULL	2	7.3
Neuruppin-Alt Ruppin	2021-04-20	1.6	10.4	18.7	0	NULL	1.7	7.2
Neuruppin-Alt Ruppin	2021-04-21	2.2	9.3	17.1	0	NULL	3	11.6
Neuruppin-Alt Ruppin	2021-04-22	3.5	7.1	11.8	0	NULL	4.2	13.9
Neuruppin-Alt Ruppin	2021-04-23	4.4	8.2	13.7	0	NULL	3.4	13.6
Neuruppin-Alt Ruppin	2021-04-24	2.1	6.8	12.1	0	NULL	2.2	7
Neuruppin-Alt Ruppin	2021-04-25	-0.8	5.5	11.1	0	NULL	2.1	11.5
Neuruppin-Alt Ruppin	2021-04-26	-2.8	4	9.4	0	NULL	1.5	6.5
Neuruppin-Alt Ruppin	2021-04-27	-3.2	5.7	12.7	0	NULL	2.4	9.4
Neuruppin-Alt Ruppin	2021-04-28	1.5	10.1	18.5	0.4	NULL	2.4	8
Neuruppin-Alt Ruppin	2021-04-29	6.9	9.3	14.6	3.5	NULL	2.3	11
Neuruppin-Alt Ruppin	2021-04-30	5.6	7.8	9.9	0	NULL	2.7	10.7
Neuruppin-Alt Ruppin	2021-05-01	4.6	8.2	12	0	NULL	1.6	5.6
Neuruppin-Alt Ruppin	2021-05-02	5.3	7.6	11.9	19.2	NULL	1.8	9.5
Neuruppin-Alt Ruppin	2021-05-03	3.1	6.7	10.7	2	NULL	3.6	14.6
Neuruppin-Alt Ruppin	2021-05-04	3.3	9.3	14.4	0.4	NULL	4.3	16.2
Neuruppin-Alt Ruppin	2021-05-05	5.2	8.3	12.8	1.5	NULL	5.9	16.8
Neuruppin-Alt Ruppin	2021-05-06	2.8	7.5	12.6	1.3	NULL	3.9	11.8
Neuruppin-Alt Ruppin	2021-05-07	1.1	4.9	9.5	5.1	NULL	2.4	14
Neuruppin-Alt Ruppin	2021-05-08	2.1	9.1	14.7	0	NULL	2.5	7.6
Neuruppin-Alt Ruppin	2021-05-09	10.2	18.5	26	0	NULL	3.2	10.4
Neuruppin-Alt Ruppin	2021-05-10	13.9	21.2	29.3	0	NULL	2.9	11.1
Neuruppin-Alt Ruppin	2021-05-11	12.7	18.8	26.1	15.6	NULL	2.7	9.3
Neuruppin-Alt Ruppin	2021-05-12	11.2	13	15.2	3.1	NULL	2.4	8
Neuruppin-Alt Ruppin	2021-05-13	10.4	11.1	12.2	5.8	NULL	2.5	7.5
Neuruppin-Alt Ruppin	2021-05-14	7.2	9.1	10.5	3.8	NULL	2.5	8.3
Neuruppin-Alt Ruppin	2021-05-15	5.4	11.7	18.5	2.8	NULL	1.6	9.6
Neuruppin-Alt Ruppin	2021-05-16	5.6	11.3	17.6	1.2	NULL	1.5	8.4
Neuruppin-Alt Ruppin	2021-05-17	6.5	12.5	18.8	0.4	NULL	1.7	7.2
Neuruppin-Alt Ruppin	2021-05-18	6.1	10.7	15	0	NULL	1.9	7.8
Neuruppin-Alt Ruppin	2021-05-19	5	11.6	17.5	0	NULL	2.1	7.6
Neuruppin-Alt Ruppin	2021-05-20	8	12.1	16.7	0	NULL	2.4	8.5
Neuruppin-Alt Ruppin	2021-05-21	7.9	13.4	20.7	2	NULL	2.8	12.1
Neuruppin-Alt Ruppin	2021-05-22	6.2	11.3	17.6	1.2	NULL	3.1	15.6
Neuruppin-Alt Ruppin	2021-05-23	6.6	11.4	16.9	0.6	NULL	2.8	10.9
Neuruppin-Alt Ruppin	2021-05-24	5.1	14.8	21.5	0.6	NULL	2.5	9.8
Neuruppin-Alt Ruppin	2021-05-25	8.9	11.5	15.1	1.3	NULL	2.9	12.6
Neuruppin-Alt Ruppin	2021-05-26	8.9	11.7	16.3	0.6	NULL	2.7	9.8
Neuruppin-Alt Ruppin	2021-05-27	8.1	11.1	14.7	6.7	NULL	3	10.2
Neuruppin-Alt Ruppin	2021-05-28	8	12.3	16.9	0.3	NULL	2.4	9.8
Neuruppin-Alt Ruppin	2021-05-29	7.4	12.4	18.2	0	NULL	2.9	8.7
Neuruppin-Alt Ruppin	2021-05-30	6.9	14.4	20.3	0	NULL	2.1	7.8
Neuruppin-Alt Ruppin	2021-05-31	4.6	14.7	22.5	0	NULL	1.7	8
Neuruppin-Alt Ruppin	2021-06-01	9.2	16.7	24.1	0	NULL	2.2	9.5
Neuruppin-Alt Ruppin	2021-06-02	9.8	17.5	25.7	0	NULL	2.7	8.9
Neuruppin-Alt Ruppin	2021-06-03	11.9	20.3	26.7	0	NULL	3	9.7
Neuruppin-Alt Ruppin	2021-06-04	15	20	26.1	0	NULL	2.4	7.6
Neuruppin-Alt Ruppin	2021-06-05	12.4	21.3	28.2	0	NULL	2.1	7.2
Neuruppin-Alt Ruppin	2021-06-06	13.4	20.9	27.8	0	NULL	1.5	7.3
Neuruppin-Alt Ruppin	2021-06-07	10	20.5	27.6	0	NULL	1.6	8.1
Neuruppin-Alt Ruppin	2021-06-08	11.4	20	25.9	0	NULL	2	7.4
Neuruppin-Alt Ruppin	2021-06-09	8.7	19.5	27.4	0	NULL	1.2	4.9
Neuruppin-Alt Ruppin	2021-06-10	13.4	21.1	27.4	0	NULL	1.7	7.8
Neuruppin-Alt Ruppin	2021-06-11	13.4	21	27	0.2	NULL	1.4	7
Neuruppin-Alt Ruppin	2021-06-12	12.8	17.5	21.3	2.4	NULL	2.7	14.5
Neuruppin-Alt Ruppin	2021-06-13	9.9	15.2	21.5	0	NULL	3	9.9
Neuruppin-Alt Ruppin	2021-06-14	7.8	18.4	26.9	0	NULL	1.4	6.4
Neuruppin-Alt Ruppin	2021-06-15	11.6	18.3	23.4	0	NULL	2.1	7.1
Neuruppin-Alt Ruppin	2021-06-16	9.1	19.8	27.9	0	NULL	1.7	6.5
Neuruppin-Alt Ruppin	2021-06-17	16.3	25.6	34.1	0	NULL	2.5	7.9
Neuruppin-Alt Ruppin	2021-06-18	18	27.1	34.9	0	NULL	NULL	9.5
Neuruppin-Alt Ruppin	2021-06-19	16.4	27	34.8	0	NULL	NULL	NULL
Neuruppin-Alt Ruppin	2021-06-20	20.3	26.6	32.6	1.5	NULL	NULL	NULL
Neuruppin-Alt Ruppin	2021-06-21	19.4	23.7	30	0	NULL	2.7	NULL
Neuruppin-Alt Ruppin	2021-06-22	12.5	17.7	21.4	0	NULL	2.4	7.7
Neuruppin-Alt Ruppin	2021-06-23	11.2	15.4	18.5	0.2	NULL	1.4	5.4
Neuruppin-Alt Ruppin	2021-06-24	11	16.7	21.3	0	NULL	1.2	5.2
Neuruppin-Alt Ruppin	2021-06-25	13	19	24.2	0	NULL	1.9	8.3
Neuruppin-Alt Ruppin	2021-06-26	10.9	19.4	25.9	0	NULL	NULL	NULL
Neuruppin-Alt Ruppin	2021-06-27	11.4	20.3	27.1	0	NULL	NULL	NULL
Neuruppin-Alt Ruppin	2021-06-28	13.1	23.7	31.7	0.2	NULL	1.5	NULL
Neuruppin-Alt Ruppin	2021-06-29	17.8	22.4	28.7	9.4	NULL	1.7	10.8
Neuruppin-Alt Ruppin	2021-06-30	16.4	17.6	18.8	57.2	NULL	2.5	9.2
Neuruppin-Alt Ruppin	2021-07-01	14.5	15.6	16.8	1.5	NULL	3	8.5
Neuruppin-Alt Ruppin	2021-07-02	15.6	19.3	23.6	0	NULL	2.6	7.8
Neuruppin-Alt Ruppin	2021-07-03	13.2	18.8	23.6	0	NULL	2.1	8
Neuruppin-Alt Ruppin	2021-07-04	12.8	20.7	27.6	0	NULL	1.3	5.1
Neuruppin-Alt Ruppin	2021-07-05	13.9	19.1	23.9	0.9	NULL	1.8	7.2
Neuruppin-Alt Ruppin	2021-07-06	13.8	21.5	28.6	0.7	NULL	2.2	9.8
Neuruppin-Alt Ruppin	2021-07-07	14.2	18.6	22.8	1.1	NULL	1.6	6.2
Neuruppin-Alt Ruppin	2021-07-08	13.9	18.2	21.9	1.1	NULL	1.5	5.9
Neuruppin-Alt Ruppin	2021-07-09	15	16.8	19	20.8	NULL	2.8	10.9
Neuruppin-Alt Ruppin	2021-07-10	14.9	18.3	24.4	0	NULL	2.7	8.6
Neuruppin-Alt Ruppin	2021-07-11	15.6	22.3	28.2	0	NULL	NULL	NULL
Neuruppin-Alt Ruppin	2021-07-12	16.1	21.7	27.5	0	NULL	NULL	7.8
Neuruppin-Alt Ruppin	2021-07-13	15.5	23.5	29.6	1.4	NULL	1.8	8
Neuruppin-Alt Ruppin	2021-07-14	15.8	21.7	25.6	0	NULL	1.9	7.2
Neuruppin-Alt Ruppin	2021-07-15	14.9	21.4	27.8	0	NULL	1.4	5.5
Neuruppin-Alt Ruppin	2021-07-16	16.2	22.9	29.2	3.2	NULL	1.7	7.4
Neuruppin-Alt Ruppin	2021-07-17	17.7	23.2	28.9	0	NULL	2.7	9.7
Neuruppin-Alt Ruppin	2021-07-18	15.2	21.1	26.2	0	NULL	2.8	10.4
Neuruppin-Alt Ruppin	2021-07-19	11	16.3	19.9	0	NULL	2.2	7.5
Neuruppin-Alt Ruppin	2021-07-20	10.7	16.5	21.9	0	NULL	1.6	7.2
Neuruppin-Alt Ruppin	2021-07-21	14.6	17.9	22.5	0	NULL	1.9	8.6
Neuruppin-Alt Ruppin	2021-07-22	12.8	18.3	23.7	0	NULL	1.5	7.1
Neuruppin-Alt Ruppin	2021-07-23	12.9	18.4	23.9	0	NULL	1.5	7.2
Neuruppin-Alt Ruppin	2021-07-24	13.2	22.6	29.6	0	NULL	2.2	7.9
Neuruppin-Alt Ruppin	2021-07-25	18.3	23.5	30.8	0.1	NULL	2.6	14.2
Neuruppin-Alt Ruppin	2021-07-26	17.2	21.9	29.5	19.7	NULL	1.5	8.7
Neuruppin-Alt Ruppin	2021-07-27	16.5	21.7	26.9	0	NULL	1.8	8.6
Neuruppin-Alt Ruppin	2021-07-28	14.7	19.2	25	3.4	NULL	1.6	13.2
Neuruppin-Alt Ruppin	2021-07-29	12.2	18.7	23.7	0	NULL	3.2	13.8
Neuruppin-Alt Ruppin	2021-07-30	11.2	18.9	25	0	NULL	2.5	12.1
Neuruppin-Alt Ruppin	2021-07-31	15.7	19.1	22.9	0	NULL	3.5	12.8
Neuruppin-Alt Ruppin	2021-08-01	13.9	16.7	22.2	8	NULL	2	7
Neuruppin-Alt Ruppin	2021-08-02	13.5	16.5	20.4	0	NULL	2.9	9.4
Neuruppin-Alt Ruppin	2021-08-03	11.1	17.2	22.6	2	NULL	1.4	5.6
Neuruppin-Alt Ruppin	2021-08-04	13.8	17.9	22.4	0	NULL	1.6	6.6
Neuruppin-Alt Ruppin	2021-08-05	12.3	18.7	24.3	0.4	NULL	1.9	7.9
Neuruppin-Alt Ruppin	2021-08-06	14.3	19.2	26	0	NULL	1.5	8.3
Neuruppin-Alt Ruppin	2021-08-07	13.3	19.2	24.6	0	NULL	1.7	7.1
Neuruppin-Alt Ruppin	2021-08-08	11.8	17.8	23.6	3.4	NULL	2.5	11.5
Neuruppin-Alt Ruppin	2021-08-09	10.4	16.1	22.5	4.1	NULL	1.6	12.7
Neuruppin-Alt Ruppin	2021-08-10	10.8	16.5	22.9	6.3	NULL	1.4	11.9
Neuruppin-Alt Ruppin	2021-08-11	12.5	16.5	22.7	0	NULL	1.7	6.5
Neuruppin-Alt Ruppin	2021-08-12	10.6	19.2	26.6	0	NULL	1.2	6.4
Neuruppin-Alt Ruppin	2021-08-13	14	22	29	0	NULL	1.5	6.6
Neuruppin-Alt Ruppin	2021-08-14	13.9	20	25.8	0	NULL	2.2	8.9
Neuruppin-Alt Ruppin	2021-08-15	12.1	19.1	25.9	3.5	NULL	1.7	7.8
Neuruppin-Alt Ruppin	2021-08-16	12.2	16.3	21.8	3.6	NULL	2.9	12.1
Neuruppin-Alt Ruppin	2021-08-17	12.2	14.4	16.7	2.8	NULL	5	14.7
Neuruppin-Alt Ruppin	2021-08-18	13.4	16	18.5	0.1	NULL	4.1	12.6
Neuruppin-Alt Ruppin	2021-08-19	15.6	17.2	20.9	3.8	NULL	3.3	9.7
Neuruppin-Alt Ruppin	2021-08-20	13	15.9	19	6.1	NULL	1.5	6.1
Neuruppin-Alt Ruppin	2021-08-21	11.4	17.1	22.8	0	NULL	1.1	4.2
Neuruppin-Alt Ruppin	2021-08-22	14.9	17.3	21.5	4.4	NULL	2	9.2
Neuruppin-Alt Ruppin	2021-08-23	12.5	17.4	23.3	0	NULL	3.2	12.5
Neuruppin-Alt Ruppin	2021-08-24	8	15.5	21.9	0	NULL	2.3	8.8
Neuruppin-Alt Ruppin	2021-08-25	6.4	14.1	21.6	4	NULL	2.7	11.6
Neuruppin-Alt Ruppin	2021-08-26	11.4	14	17	6.6	NULL	2.4	9.6
Neuruppin-Alt Ruppin	2021-08-27	12	14.3	18.5	0.8	NULL	1.6	6.2
Neuruppin-Alt Ruppin	2021-08-28	11.4	15.3	19.7	8.5	NULL	1.5	5.2
Neuruppin-Alt Ruppin	2021-08-29	14.3	15.6	18.8	25.4	NULL	1.6	8.7
Neuruppin-Alt Ruppin	2021-08-30	13.7	15.4	17.8	9.9	NULL	2.6	8.3
Neuruppin-Alt Ruppin	2021-08-31	11.5	15.7	20.3	0	NULL	3	9.9
Neuruppin-Alt Ruppin	2021-09-01	11.4	15.5	21.6	0	NULL	1.9	6.8
Neuruppin-Alt Ruppin	2021-09-02	9.3	13.9	18.5	0	NULL	1.4	6.4
Neuruppin-Alt Ruppin	2021-09-03	8.9	15.3	22.6	0	NULL	1.8	7.5
Neuruppin-Alt Ruppin	2021-09-04	11	13.9	17.7	0	NULL	1.5	5.2
Neuruppin-Alt Ruppin	2021-09-05	9.8	14.6	19.7	0	NULL	1.6	6.1
Neuruppin-Alt Ruppin	2021-09-06	9.1	15.8	21.9	0	NULL	1.2	4.9
Neuruppin-Alt Ruppin	2021-09-07	10.6	16.2	22.4	0	NULL	1.3	5.6
Neuruppin-Alt Ruppin	2021-09-08	8.6	16.9	24.5	0	NULL	1.2	5.8
Neuruppin-Alt Ruppin	2021-09-09	11.3	18.2	26.2	0	NULL	1.4	6.4
Neuruppin-Alt Ruppin	2021-09-10	12.6	19.3	26.1	0.2	NULL	1.2	6.2
Neuruppin-Alt Ruppin	2021-09-11	14.4	18.5	23.8	0.7	NULL	1.5	5.7
Neuruppin-Alt Ruppin	2021-09-12	14.1	17.6	22	0	NULL	1.8	6.9
Neuruppin-Alt Ruppin	2021-09-13	8.9	14.5	18.8	0	NULL	1.5	6
Neuruppin-Alt Ruppin	2021-09-14	6.8	14.3	21.4	0.2	NULL	1.2	5.7
Neuruppin-Alt Ruppin	2021-09-15	12.8	17.5	23.1	5.3	NULL	2	5.9
Neuruppin-Alt Ruppin	2021-09-16	15.4	16.9	19	0.2	NULL	3.1	8.9
Neuruppin-Alt Ruppin	2021-09-17	12.2	14.1	15.5	0.8	NULL	2.7	8.8
Neuruppin-Alt Ruppin	2021-09-18	11.9	13.9	17.3	0.1	NULL	2	9.1
Neuruppin-Alt Ruppin	2021-09-19	10.9	12.7	15.4	0	NULL	1.4	5.2
Neuruppin-Alt Ruppin	2021-09-20	10	12.3	15.7	0	NULL	1.5	5.3
Neuruppin-Alt Ruppin	2021-09-21	9.6	12	15.2	0	NULL	2.1	8.4
Neuruppin-Alt Ruppin	2021-09-22	9.8	13.2	18.2	0	NULL	1.8	6.3
Neuruppin-Alt Ruppin	2021-09-23	10.1	14	17.2	2	NULL	4.2	14.3
Neuruppin-Alt Ruppin	2021-09-24	10.8	14.5	17.2	0.1	NULL	3.7	10.1
Neuruppin-Alt Ruppin	2021-09-25	13.9	16.6	19.8	0.2	NULL	2	7.6
Neuruppin-Alt Ruppin	2021-09-26	12.8	18.3	24.3	0	NULL	2	7.6
Neuruppin-Alt Ruppin	2021-09-27	13.7	16.7	19.7	0.5	NULL	1.5	5.4
Neuruppin-Alt Ruppin	2021-09-28	9.2	14.6	19.4	0.3	NULL	1.5	8.4
Neuruppin-Alt Ruppin	2021-09-29	8.3	12.4	16.1	10.2	NULL	1.9	9.6
Neuruppin-Alt Ruppin	2021-09-30	6.8	10.6	16.2	0	NULL	2.8	11
Neuruppin-Alt Ruppin	2021-10-01	6.6	11.4	18.1	0	NULL	2.1	9.9
Neuruppin-Alt Ruppin	2021-10-02	6.5	12.8	18.7	0	NULL	1.6	8.3
Neuruppin-Alt Ruppin	2021-10-03	14.6	17	20.6	0	NULL	2.7	9.5
Neuruppin-Alt Ruppin	2021-10-04	9.6	13.1	16.8	1.3	NULL	1.2	6.1
Neuruppin-Alt Ruppin	2021-10-05	9.6	11.1	12.4	19.2	NULL	1.5	6.1
Neuruppin-Alt Ruppin	2021-10-06	5.6	11.9	17	0	NULL	1.5	6.3
Neuruppin-Alt Ruppin	2021-10-07	3.1	10	17.8	0	NULL	0.8	3.7
