Standort	Geo_Breite	Geo_Laenge
Bertsdorf-Hörnitz	50.899	14.746
Hof	50.312	11.876
Hofgeismar-Beberbeck	51.534	9.479
Hohenpeißenberg	47.801	11.011
Hohlstedt-Kötschau	50.963	11.485
Hohn	54.316	9.539
Holzdorf-Bernsdorf	51.766	13.167
Bevern, Kr. Holzminden	51.853	9.495
Hornisgrinde	48.614	8.203
Idar-Oberstein	49.693	7.326
Ihringen	48.042	7.632
Itzehoe	53.990	9.570
Schleswig-Jagel	54.457	9.520
Jena (Sternwarte)	50.925	11.583
Jever	53.532	7.881
Jork	53.532	9.675
Jülich (Forsch.-Anlage)	50.910	6.409
Kahler Asten	51.180	8.489
Kaisersbach-Cronhütte	48.917	9.687
Kaiserslautern	49.426	7.756
Kalkar	51.733	6.269
Kall-Sistig	50.501	6.526
Kaltennordheim	50.627	10.146
Karlshuld	48.672	11.309
Karlsruhe	49.038	8.364
Kassel	51.296	9.442
Kaufbeuren	47.865	10.601
Kempten	47.723	10.335
Kiel-Holtenau	54.378	10.142
Kiel-Kronshagen	54.338	10.093
Kissingen, Bad	50.224	10.079
Kleiner Feldberg/Taunus	50.222	8.447
Schipkau-Klettwitz	51.555	13.884
Kleve	51.761	6.095
Klippeneck	48.105	8.755
Köln/Bonn	50.864	7.157
Königsmoos-Untermaxfeld	48.671	11.217
Kösching	48.830	11.487
Kösen, Bad	51.133	11.725
Kohlgrub, Bad (Rosshof)	47.665	11.081
Konstanz	47.695	9.131
Kronach	50.252	11.321
Krumbach-Edenhausen	48.251	10.416
Kümmersbruck	49.428	11.902
Kumhausen	48.513	12.151
Kyritz	52.936	12.409
Lahr	48.365	7.828
Merklingen	48.512	9.764
Landsberg (Flugplatz)	48.077	10.914
Langenlipsdorf	51.917	13.088
Langeoog	53.745	7.478
Lauchstädt, Bad	51.391	11.879
Laupheim	48.218	9.910
Lechfeld	48.185	10.851
Leck	54.790	8.951
Leiblfing	48.765	12.512
Leinefelde	51.393	10.312
Leipzig-Holzhausen	51.315	12.446
Leipzig/Halle	51.435	12.240
Lennestadt-Theten	51.133	8.035
Lenzen/Elbe	53.101	11.486
Lenzkirch-Ruhbühl	47.860	8.231
Leuchtturm Kiel	54.500	10.274
Köln-Stammheim	50.989	6.978
Lichtenhain-Mittelndorf	50.938	14.209
Liliental	48.067	7.677
Limburg/Lahn-Offheim	50.412	8.060
Lindenberg	52.209	14.118
Lingen	52.518	7.308
Lippspringe, Bad	51.785	8.839
Lippstadt-Bökenförde	51.634	8.395
List auf Sylt	55.011	8.412
Löningen	52.720	7.747
Lübben-Blumenfelde	51.927	13.880
Lübeck	53.877	10.691
Lübeck-Blankensee	53.803	10.699
Lüchow	52.972	11.137
Lüdenscheid (Zeppelin-Gymnasium)	51.213	7.636
Lüdenscheid	51.245	7.643
Lüdinghausen	51.769	7.413
Lüneburg	53.266	10.424
Magdeburg	52.103	11.583
Manderscheid-Sonnenhof	50.102	6.801
Manschnow	52.547	14.545
Cölbe, Kr. Marburg-Biedenkopf	50.849	8.774
Marienberg	50.651	13.147
Marienberg, Bad	50.662	7.960
Marnitz	53.322	11.932
Martinroda	50.733	10.882
Meinerzhagen (A)	51.098	7.667
Meiningen	50.561	10.377
Memmingen	47.982	10.138
Meßstetten-Appental	48.169	8.943
Metten	48.855	12.919
Mettlach-Orscholz (Kurort)	49.507	6.521
Metzingen	48.538	9.273
Michelstadt-Vielbrunn	49.718	9.100
Mittel-Gründau	50.228	9.106
Mölln	53.613	10.694
Mühlacker	48.972	8.874
Mühldorf	48.279	12.502
Müncheberg	52.518	14.123
München-Stadt	48.163	11.543
München-Nymphenburg	48.166	11.501
München-Riem	48.137	11.709
Münsingen-Apfelstetten	48.385	9.484
Münster	51.949	7.591
Leutenberg-Steinsdorf	50.585	11.493
Muskau, Bad	51.566	14.701
Neubrandenburg	53.547	13.191
Neuburg an der Donau	48.709	11.215
Neuburg/Kammel-Langenhaslach	48.311	10.377
Neuenahr, Bad-Ahrweiler	50.535	7.085
Neuhaus am Rennweg	50.500	11.134
Neuhausen ob Eck	47.976	8.910
Neuhausen ob Eck-Unterschwandorf	47.952	8.993
Neukirchen-Hauptschwenda	50.892	9.405
Neunkirchen-Seelscheid-Krawinkel	50.845	7.372
Neuruppin	52.904	12.807
Neustadt am Kulm-Filchendorf	49.817	11.864
Neustadt/Weinstraße	49.357	8.140
Neustadt/Weinstraße (Heidehof)	49.348	8.182
Nienburg	52.671	9.223
Reimlingen	48.825	10.507
Nörvenich-Niederbolheim	50.829	6.660
Norderney	53.712	7.152
Nordholz-Wanhöden	53.765	8.658
Nürburg	50.339	6.950
Nürburg-Barweiler	50.360	6.870
Nürnberg	49.503	11.055
